filename,n_blocks,cache_hits
CODED_405,10,0
CODED_172,10,0
CODED_169,10,0
CODED_128,10,0
CODED_565,10,0
CODED_316,10,0
CODED_318,10,0
CODED_293,10,0
CODED_311,10,0
CODED_266,10,0
CODED_404,10,0
CODED_337,10,0
CODED_331,10,0
CODED_93,10,0
CODED_428,10,0
CODED_371,10,0
CODED_465,10,0
CODED_192,10,0
CODED_265,10,0
CODED_386,10,0
CODED_270,10,0
CODED_407,10,0
CODED_175,10,0
CODED_528,10,0
CODED_418,10,0
CODED_33,10,0
CODED_658,10,0
CODED_378,10,0
CODED_161,10,0
CODED_107,10,0
CODED_299,10,0
CODED_195,10,0
CODED_221,10,0
CODED_322,10,0
CODED_207,10,0
CODED_575,10,0
CODED_164,10,0
CODED_323,10,0
CODED_10,10,0
CODED_54,10,0
CODED_305,10,0
CODED_40,10,0
CODED_367,10,0
CODED_183,10,0
CODED_360,10,0
CODED_333,10,0
CODED_341,10,0
CODED_405,10,1
CODED_693,10,0
CODED_295,10,0
CODED_328,10,0
CODED_188,10,0
CODED_139,10,0
CODED_281,10,0
CODED_470,10,0
CODED_381,10,0
CODED_572,10,0
CODED_144,10,0
CODED_178,10,0
CODED_293,10,1
CODED_352,10,0
CODED_69,10,0
CODED_261,10,0
CODED_295,10,1
CODED_169,10,1
CODED_114,10,0
CODED_317,10,0
CODED_171,10,0
CODED_300,10,0
CODED_358,10,0
CODED_546,10,0
CODED_443,10,0
CODED_418,10,1
CODED_354,10,0
CODED_22,10,0
CODED_189,10,0
CODED_531,10,0
CODED_251,10,0
CODED_96,10,0
CODED_271,10,0
CODED_436,10,0
CODED_246,10,0
CODED_156,10,0
CODED_38,10,0
CODED_422,10,0
CODED_286,10,0
CODED_411,10,0
CODED_370,10,0
CODED_464,10,0
CODED_342,10,0
CODED_549,10,0
CODED_205,10,0
CODED_351,10,0
CODED_189,10,1
CODED_238,10,0
CODED_111,10,0
CODED_421,10,0
CODED_276,10,0
CODED_460,10,0
CODED_498,10,0
CODED_312,10,0
CODED_285,10,0
CODED_244,10,0
CODED_397,10,0
CODED_492,10,0
CODED_32,10,0
CODED_113,10,0
CODED_208,10,0
CODED_411,10,1
CODED_264,10,0
CODED_559,10,0
CODED_173,10,0
CODED_224,10,0
CODED_463,10,0
CODED_260,10,0
CODED_268,10,0
CODED_294,10,0
CODED_280,10,0
CODED_306,10,0
CODED_95,10,0
CODED_32,10,1
CODED_22,10,1
CODED_293,10,2
CODED_528,10,1
CODED_179,10,0
CODED_348,10,0
CODED_203,10,0
CODED_257,10,0
CODED_246,10,1
CODED_385,10,0
CODED_588,10,0
CODED_421,10,1
CODED_393,10,0
CODED_611,10,0
CODED_177,10,0
CODED_193,10,0
CODED_144,10,1
CODED_441,10,0
CODED_291,10,0
CODED_244,10,1
CODED_539,10,0
CODED_559,10,1
CODED_74,10,0
CODED_424,10,0
CODED_268,10,1
CODED_383,10,0
CODED_454,10,0
CODED_492,10,1
CODED_93,10,1
CODED_340,10,0
CODED_86,10,0
CODED_251,10,1
CODED_484,10,0
CODED_471,10,0
CODED_67,10,0
CODED_199,10,0
CODED_188,10,1
CODED_295,10,2
CODED_318,10,1
CODED_135,10,0
CODED_271,10,1
CODED_411,10,2
CODED_191,10,0
CODED_478,10,0
CODED_365,10,0
CODED_46,10,0
CODED_132,10,0
CODED_42,10,0
CODED_214,10,0
CODED_413,10,0
CODED_160,10,0
CODED_111,10,1
CODED_282,10,0
CODED_663,10,0
CODED_152,10,0
CODED_517,10,0
CODED_430,10,0
CODED_84,10,0
CODED_148,10,0
CODED_386,10,1
CODED_475,10,0
CODED_252,10,0
CODED_390,10,0
CODED_274,10,0
CODED_159,10,0
CODED_395,10,0
CODED_185,10,0
CODED_363,10,0
CODED_449,10,0
CODED_430,10,1
CODED_533,10,0
CODED_376,10,0
CODED_562,10,0
CODED_382,10,0
CODED_466,10,0
CODED_297,10,0
CODED_144,10,2
CODED_148,10,1
CODED_316,10,1
CODED_412,10,0
CODED_358,10,1
CODED_539,10,1
CODED_15,10,0
CODED_327,10,0
CODED_267,10,0
CODED_498,10,1
CODED_190,10,0
CODED_294,10,1
CODED_308,10,0
CODED_202,10,0
CODED_179,10,1
CODED_171,10,1
CODED_165,10,0
CODED_110,10,0
CODED_112,10,0
CODED_31,10,0
CODED_19,10,0
CODED_682,10,0
CODED_428,10,1
CODED_337,10,1
CODED_375,10,0
CODED_211,10,0
CODED_464,10,1
CODED_490,10,0
CODED_260,10,1
CODED_305,10,1
CODED_352,10,1
CODED_177,10,1
CODED_183,10,1
CODED_220,10,0
CODED_319,10,0
CODED_497,10,0
CODED_309,10,0
CODED_317,10,1
CODED_444,10,0
CODED_485,10,0
CODED_444,10,1
CODED_130,10,0
CODED_448,10,0
CODED_315,10,0
CODED_336,10,0
CODED_135,10,1
CODED_364,10,0
CODED_407,10,1
CODED_192,10,1
CODED_440,10,0
CODED_41,10,0
CODED_170,10,0
CODED_228,10,0
CODED_384,10,0
CODED_302,10,0
CODED_204,10,0
CODED_486,10,0
CODED_278,10,0
CODED_424,10,1
CODED_179,10,2
CODED_361,10,0
CODED_347,10,0
CODED_637,10,0
CODED_187,10,0
CODED_669,10,0
CODED_514,10,0
CODED_51,10,0
CODED_313,10,0
CODED_346,10,0
CODED_454,10,1
CODED_322,10,1
CODED_341,10,1
CODED_126,10,0
CODED_197,10,0
CODED_371,10,1
CODED_275,10,0
CODED_9,10,0
CODED_553,10,0
CODED_299,10,1
CODED_213,10,0
CODED_27,10,0
CODED_95,10,1
CODED_394,10,0
CODED_115,10,0
CODED_211,10,1
CODED_277,10,0
CODED_327,10,1
CODED_399,10,0
CODED_436,10,1
CODED_583,10,0
CODED_295,10,3
CODED_169,10,2
CODED_98,10,0
