filename,n_blocks,cache_hits
CODED_126,10,0
CODED_195,10,0
CODED_28,10,0
CODED_81,10,0
CODED_212,10,0
CODED_248,10,0
CODED_189,10,0
CODED_61,10,0
CODED_76,10,0
CODED_384,10,0
CODED_236,10,0
CODED_233,10,0
CODED_365,10,0
CODED_198,10,0
CODED_237,10,0
CODED_467,10,0
CODED_392,10,0
CODED_219,10,0
CODED_190,10,0
CODED_128,10,0
CODED_277,10,0
CODED_183,10,0
CODED_258,10,0
CODED_104,10,0
CODED_92,10,0
CODED_306,10,0
CODED_67,10,0
CODED_210,10,0
CODED_414,10,0
CODED_266,10,0
CODED_134,10,0
CODED_454,10,0
CODED_387,10,0
CODED_259,10,0
CODED_50,10,0
CODED_180,10,0
CODED_323,10,0
CODED_167,10,0
CODED_334,10,0
CODED_36,10,0
CODED_48,10,0
CODED_288,10,0
CODED_200,10,0
CODED_72,10,0
CODED_146,10,0
CODED_37,10,0
CODED_224,10,0
CODED_236,10,10
CODED_235,10,0
CODED_18,10,0
CODED_463,10,0
CODED_413,10,0
CODED_233,10,10
CODED_320,10,0
CODED_194,10,0
CODED_250,10,0
CODED_448,10,0
CODED_305,10,0
CODED_382,10,0
CODED_122,10,0
CODED_225,10,0
CODED_13,10,0
CODED_100,10,0
CODED_158,10,0
CODED_219,10,10
CODED_235,10,10
CODED_269,10,0
CODED_88,10,0
CODED_70,10,0
CODED_134,10,10
CODED_106,10,0
CODED_79,10,0
CODED_453,10,0
CODED_341,10,0
CODED_208,10,0
CODED_358,10,0
CODED_424,10,0
CODED_395,10,0
CODED_413,10,10
CODED_425,10,0
CODED_378,10,0
CODED_318,10,0
CODED_363,10,0
CODED_23,10,0
CODED_192,10,0
CODED_23,10,10
CODED_272,10,0
CODED_345,10,0
CODED_59,10,0
CODED_166,10,0
CODED_356,10,0
CODED_266,10,10
CODED_198,10,10
CODED_373,10,0
CODED_7,10,0
CODED_163,10,0
CODED_263,10,0
CODED_194,10,10
CODED_257,10,0
CODED_362,10,0
CODED_304,10,0
CODED_481,10,0
CODED_475,10,0
CODED_266,10,10
CODED_219,10,10
CODED_27,10,0
CODED_111,10,0
CODED_282,10,0
CODED_451,10,0
CODED_36,10,10
CODED_211,10,0
CODED_348,10,0
CODED_183,10,10
CODED_422,10,0
CODED_271,10,0
CODED_312,10,0
CODED_302,10,0
CODED_347,10,0
CODED_284,10,0
CODED_233,10,10
CODED_277,10,10
CODED_434,10,0
CODED_343,10,0
CODED_30,10,0
CODED_105,10,0
CODED_215,10,0
CODED_66,10,0
CODED_8,10,0
CODED_7,10,10
CODED_204,10,0
CODED_268,10,0
CODED_183,10,10
CODED_39,10,0
CODED_233,10,10
CODED_227,10,0
CODED_211,10,9
CODED_391,10,0
CODED_342,10,0
CODED_161,10,0
CODED_336,10,0
CODED_92,10,10
CODED_198,10,10
CODED_176,10,0
CODED_450,10,0
CODED_245,10,0
CODED_266,10,10
CODED_454,10,10
CODED_240,10,0
CODED_279,10,0
CODED_383,10,0
CODED_140,10,0
CODED_387,10,10
CODED_258,10,10
CODED_84,10,0
CODED_169,10,0
CODED_199,10,0
CODED_92,10,10
CODED_2,10,0
CODED_224,10,10
CODED_242,10,0
CODED_134,10,10
CODED_21,10,0
CODED_271,10,8
CODED_291,10,0
CODED_53,10,0
CODED_481,10,10
CODED_33,10,0
CODED_145,10,0
CODED_343,10,8
CODED_178,10,0
CODED_281,10,0
CODED_173,10,0
CODED_183,10,10
CODED_294,10,0
CODED_464,10,0
CODED_326,10,0
CODED_79,10,10
CODED_198,10,10
CODED_320,10,10
CODED_365,10,10
CODED_230,10,0
CODED_15,10,0
CODED_166,10,10
CODED_134,10,10
CODED_134,10,10
CODED_325,10,0
CODED_71,10,0
CODED_379,10,0
CODED_246,10,0
CODED_134,10,10
CODED_90,10,0
CODED_479,10,0
CODED_235,10,10
CODED_56,10,0
CODED_298,10,0
CODED_325,10,5
CODED_17,10,0
CODED_40,10,0
CODED_403,10,0
CODED_233,10,10
CODED_165,10,0
CODED_174,10,0
CODED_138,10,0
CODED_57,10,0
CODED_238,10,0
CODED_187,10,0
CODED_433,10,0
CODED_76,10,10
CODED_271,10,10
CODED_279,10,5
CODED_177,10,0
CODED_347,10,8
CODED_463,10,10
CODED_163,10,10
CODED_192,10,10
CODED_387,10,10
CODED_230,10,5
CODED_103,10,0
CODED_488,10,0
CODED_490,10,0
CODED_161,10,6
CODED_346,10,0
CODED_184,10,0
CODED_474,10,0
CODED_457,10,0
CODED_219,10,10
CODED_342,10,6
CODED_428,10,0
CODED_260,10,0
CODED_152,10,0
CODED_231,10,0
CODED_148,10,0
CODED_257,10,10
CODED_332,10,0
CODED_386,10,0
CODED_262,10,0
CODED_125,10,0
CODED_130,10,0
CODED_79,10,10
CODED_419,10,0
CODED_206,10,0
CODED_139,10,0
CODED_312,10,8
CODED_421,10,0
CODED_214,10,0
CODED_470,10,0
CODED_179,10,0
CODED_330,10,0
CODED_43,10,0
CODED_280,10,0
CODED_227,10,6
CODED_399,10,0
CODED_77,10,0
CODED_120,10,0
CODED_159,10,0
CODED_314,10,0
CODED_336,10,6
CODED_209,10,0
CODED_226,10,0
CODED_468,10,0
CODED_451,10,9
CODED_106,10,10
CODED_220,10,0
CODED_165,10,5
CODED_65,10,0
CODED_31,10,0
CODED_184,10,4
CODED_171,10,0
CODED_160,10,0
CODED_375,10,0
CODED_306,10,10
CODED_211,10,10
CODED_462,10,0
CODED_80,10,0
CODED_126,10,4
CODED_225,10,10
CODED_222,10,0
CODED_378,10,10
CODED_340,10,0
CODED_425,10,10
CODED_229,10,0
CODED_106,10,10
CODED_295,10,0
CODED_167,10,10
CODED_381,10,0
CODED_337,10,0
CODED_153,10,0
CODED_151,10,0
CODED_394,10,0
CODED_424,10,10
CODED_221,10,0
CODED_260,10,4
CODED_163,10,10
CODED_468,10,4
CODED_278,10,0
CODED_475,10,9
CODED_421,10,4
CODED_215,10,8
CODED_341,10,10
CODED_108,10,0
CODED_31,10,3
CODED_286,10,0
CODED_178,10,5
CODED_262,10,4
CODED_271,10,10
CODED_309,10,0
CODED_214,10,4
CODED_155,10,0
CODED_27,10,9
CODED_462,10,3
