filename,n_blocks,cache_hits
DEDUP_269,10,0
DEDUP_399,10,0
DEDUP_153,10,0
DEDUP_312,10,0
DEDUP_272,10,0
DEDUP_160,10,0
DEDUP_234,10,0
DEDUP_159,10,0
DEDUP_301,10,0
DEDUP_300,10,0
DEDUP_276,10,0
DEDUP_328,10,0
DEDUP_323,10,0
DEDUP_407,10,0
DEDUP_213,10,0
DEDUP_218,10,0
DEDUP_242,10,0
DEDUP_270,10,0
DEDUP_238,10,0
DEDUP_280,10,0
DEDUP_171,10,0
DEDUP_247,10,0
DEDUP_227,10,0
DEDUP_267,10,0
DEDUP_314,10,0
DEDUP_311,10,0
DEDUP_219,10,0
DEDUP_238,10,0
DEDUP_202,10,0
DEDUP_260,10,0
DEDUP_190,10,0
DEDUP_246,10,0
DEDUP_241,10,0
DEDUP_151,10,0
DEDUP_208,10,0
DEDUP_269,10,0
DEDUP_225,10,0
DEDUP_267,10,0
DEDUP_308,10,0
DEDUP_316,10,0
DEDUP_250,10,0
DEDUP_213,10,0
DEDUP_287,10,0
DEDUP_201,10,0
DEDUP_307,10,0
DEDUP_269,10,0
DEDUP_179,10,0
DEDUP_277,10,0
DEDUP_223,10,0
DEDUP_321,10,0
DEDUP_265,10,0
DEDUP_296,10,0
DEDUP_241,10,0
DEDUP_223,10,0
DEDUP_216,10,0
DEDUP_207,10,0
DEDUP_192,10,0
DEDUP_211,10,0
DEDUP_229,10,0
DEDUP_193,10,0
DEDUP_258,10,0
DEDUP_217,10,0
DEDUP_240,10,0
DEDUP_306,10,0
DEDUP_180,10,0
DEDUP_319,10,0
DEDUP_276,10,0
DEDUP_242,10,0
DEDUP_340,10,0
DEDUP_223,10,0
DEDUP_295,10,0
DEDUP_135,10,0
DEDUP_128,10,0
DEDUP_336,10,0
DEDUP_320,10,0
DEDUP_280,10,0
DEDUP_262,10,0
DEDUP_210,10,0
DEDUP_68,10,0
DEDUP_276,10,0
DEDUP_233,10,0
DEDUP_216,10,0
DEDUP_239,10,0
DEDUP_212,10,0
DEDUP_294,10,0
DEDUP_322,10,0
DEDUP_201,10,0
DEDUP_305,10,0
DEDUP_243,10,0
DEDUP_249,10,0
DEDUP_318,10,0
DEDUP_184,10,0
DEDUP_160,10,0
DEDUP_237,10,0
DEDUP_293,10,0
DEDUP_140,10,0
DEDUP_335,10,0
DEDUP_393,10,0
DEDUP_191,10,0
DEDUP_233,10,0
DEDUP_321,10,0
DEDUP_222,10,0
DEDUP_302,10,0
DEDUP_231,10,0
DEDUP_334,10,0
DEDUP_262,10,0
DEDUP_363,10,0
DEDUP_267,10,0
DEDUP_154,10,0
DEDUP_228,10,0
DEDUP_256,10,0
DEDUP_176,10,0
DEDUP_235,10,0
DEDUP_221,10,0
DEDUP_184,10,0
DEDUP_257,10,0
DEDUP_265,10,0
DEDUP_116,10,0
DEDUP_257,10,0
DEDUP_223,10,0
DEDUP_288,10,0
DEDUP_334,10,0
DEDUP_295,10,0
DEDUP_323,10,0
DEDUP_197,10,0
DEDUP_281,10,0
DEDUP_310,10,0
