filename,n_blocks,cache_hits
DEDUP_SD60_323,10,0
DEDUP_SD60_417,10,0
DEDUP_SD60_398,10,0
DEDUP_SD60_370,10,0
DEDUP_SD60_283,10,0
DEDUP_SD60_212,10,0
DEDUP_SD60_397,10,0
DEDUP_SD60_273,10,0
DEDUP_SD60_395,10,0
DEDUP_SD60_207,10,0
DEDUP_SD60_287,10,0
DEDUP_SD60_182,10,0
DEDUP_SD60_184,10,0
DEDUP_SD60_223,10,0
DEDUP_SD60_62,10,0
DEDUP_SD60_289,10,0
DEDUP_SD60_383,10,0
DEDUP_SD60_423,10,0
DEDUP_SD60_273,10,0
DEDUP_SD60_160,10,0
DEDUP_SD60_100,10,0
DEDUP_SD60_194,10,0
DEDUP_SD60_273,10,0
DEDUP_SD60_267,10,0
DEDUP_SD60_357,10,0
DEDUP_SD60_315,10,0
DEDUP_SD60_296,10,0
DEDUP_SD60_350,10,0
DEDUP_SD60_244,10,0
DEDUP_SD60_166,10,0
DEDUP_SD60_266,10,0
DEDUP_SD60_420,10,0
DEDUP_SD60_420,10,0
DEDUP_SD60_320,10,0
DEDUP_SD60_218,10,0
DEDUP_SD60_376,10,0
DEDUP_SD60_191,10,0
DEDUP_SD60_232,10,0
DEDUP_SD60_304,10,0
DEDUP_SD60_295,10,0
DEDUP_SD60_230,10,0
DEDUP_SD60_309,10,0
DEDUP_SD60_236,10,0
DEDUP_SD60_274,10,0
DEDUP_SD60_130,10,0
DEDUP_SD60_165,10,0
DEDUP_SD60_213,10,0
DEDUP_SD60_259,10,0
DEDUP_SD60_278,10,0
DEDUP_SD60_275,10,0
DEDUP_SD60_310,10,0
DEDUP_SD60_398,10,0
DEDUP_SD60_116,10,0
DEDUP_SD60_229,10,0
DEDUP_SD60_434,10,0
DEDUP_SD60_293,10,0
DEDUP_SD60_210,10,0
DEDUP_SD60_269,10,0
DEDUP_SD60_265,10,0
DEDUP_SD60_402,10,0
DEDUP_SD60_187,10,0
DEDUP_SD60_221,10,0
DEDUP_SD60_361,10,0
DEDUP_SD60_32,10,0
DEDUP_SD60_384,10,0
DEDUP_SD60_273,10,0
DEDUP_SD60_111,10,0
DEDUP_SD60_259,10,0
DEDUP_SD60_362,10,0
DEDUP_SD60_129,10,0
DEDUP_SD60_150,10,0
DEDUP_SD60_209,10,0
DEDUP_SD60_445,10,0
DEDUP_SD60_254,10,0
DEDUP_SD60_120,10,0
DEDUP_SD60_78,10,0
DEDUP_SD60_90,10,0
DEDUP_SD60_269,10,0
DEDUP_SD60_380,10,0
DEDUP_SD60_220,10,0
DEDUP_SD60_322,10,0
DEDUP_SD60_168,10,0
DEDUP_SD60_63,10,0
DEDUP_SD60_157,10,0
DEDUP_SD60_255,10,0
DEDUP_SD60_18,10,0
DEDUP_SD60_369,10,0
DEDUP_SD60_237,10,0
DEDUP_SD60_322,10,0
DEDUP_SD60_173,10,0
DEDUP_SD60_320,10,0
DEDUP_SD60_129,10,0
DEDUP_SD60_240,10,0
DEDUP_SD60_265,10,0
DEDUP_SD60_294,10,0
DEDUP_SD60_226,10,0
DEDUP_SD60_358,10,0
DEDUP_SD60_204,10,0
DEDUP_SD60_225,10,0
DEDUP_SD60_222,10,0
DEDUP_SD60_311,10,0
DEDUP_SD60_301,10,0
DEDUP_SD60_128,10,0
DEDUP_SD60_268,10,0
DEDUP_SD60_400,10,0
DEDUP_SD60_393,10,0
DEDUP_SD60_370,10,0
DEDUP_SD60_433,10,0
DEDUP_SD60_118,10,0
DEDUP_SD60_208,10,0
DEDUP_SD60_251,10,0
DEDUP_SD60_356,10,0
DEDUP_SD60_241,10,0
DEDUP_SD60_286,10,0
DEDUP_SD60_163,10,0
DEDUP_SD60_263,10,0
DEDUP_SD60_191,10,0
DEDUP_SD60_268,10,0
DEDUP_SD60_422,10,0
DEDUP_SD60_314,10,0
DEDUP_SD60_430,10,0
DEDUP_SD60_264,10,0
DEDUP_SD60_174,10,0
DEDUP_SD60_341,10,0
DEDUP_SD60_239,10,0
DEDUP_SD60_156,10,0
DEDUP_SD60_499,10,0
DEDUP_SD60_156,10,0
DEDUP_SD60_207,10,0
DEDUP_SD60_303,10,0
DEDUP_SD60_119,10,0
DEDUP_SD60_221,10,0
DEDUP_SD60_191,10,0
DEDUP_SD60_82,10,0
DEDUP_SD60_298,10,0
DEDUP_SD60_135,10,0
DEDUP_SD60_329,10,0
DEDUP_SD60_369,10,0
DEDUP_SD60_189,10,0
DEDUP_SD60_184,10,0
DEDUP_SD60_130,10,0
DEDUP_SD60_200,10,0
DEDUP_SD60_152,10,0
DEDUP_SD60_370,10,0
DEDUP_SD60_186,10,0
DEDUP_SD60_290,10,0
DEDUP_SD60_127,10,0
DEDUP_SD60_117,10,0
DEDUP_SD60_71,10,0
DEDUP_SD60_288,10,0
DEDUP_SD60_245,10,0
DEDUP_SD60_287,10,0
DEDUP_SD60_253,10,0
DEDUP_SD60_425,10,0
DEDUP_SD60_392,10,0
DEDUP_SD60_254,10,0
DEDUP_SD60_210,10,0
DEDUP_SD60_283,10,0
DEDUP_SD60_165,10,0
DEDUP_SD60_221,10,0
DEDUP_SD60_241,10,0
DEDUP_SD60_199,10,0
DEDUP_SD60_362,10,0
DEDUP_SD60_140,10,0
DEDUP_SD60_205,10,0
DEDUP_SD60_244,10,0
DEDUP_SD60_68,10,0
DEDUP_SD60_329,10,0
DEDUP_SD60_235,10,0
DEDUP_SD60_228,10,0
DEDUP_SD60_277,10,0
DEDUP_SD60_307,10,0
DEDUP_SD60_475,10,0
DEDUP_SD60_290,10,0
DEDUP_SD60_217,10,0
DEDUP_SD60_348,10,0
DEDUP_SD60_273,10,0
DEDUP_SD60_129,10,0
