filename,n_blocks,cache_hits
FULL_FILE_323,,0
FULL_FILE_246,,0
FULL_FILE_311,,0
FULL_FILE_237,,0
FULL_FILE_285,,0
FULL_FILE_337,,0
FULL_FILE_313,,0
FULL_FILE_320,,0
FULL_FILE_237,,1
FULL_FILE_279,,0
FULL_FILE_346,,0
FULL_FILE_265,,0
FULL_FILE_325,,0
FULL_FILE_279,,1
FULL_FILE_128,,0
FULL_FILE_350,,0
FULL_FILE_305,,0
FULL_FILE_203,,0
FULL_FILE_333,,0
FULL_FILE_193,,0
FULL_FILE_349,,0
FULL_FILE_348,,0
FULL_FILE_218,,0
FULL_FILE_129,,0
FULL_FILE_282,,0
FULL_FILE_126,,0
FULL_FILE_252,,0
FULL_FILE_268,,0
FULL_FILE_228,,0
FULL_FILE_251,,0
FULL_FILE_222,,0
FULL_FILE_269,,0
FULL_FILE_280,,0
FULL_FILE_206,,0
FULL_FILE_250,,0
FULL_FILE_328,,0
FULL_FILE_227,,0
FULL_FILE_305,,0
FULL_FILE_127,,0
FULL_FILE_327,,0
FULL_FILE_218,,0
FULL_FILE_297,,0
FULL_FILE_213,,0
FULL_FILE_261,,0
FULL_FILE_278,,0
FULL_FILE_202,,0
FULL_FILE_304,,0
FULL_FILE_213,,1
FULL_FILE_144,,0
FULL_FILE_234,,0
FULL_FILE_225,,0
FULL_FILE_271,,0
FULL_FILE_291,,0
FULL_FILE_303,,0
FULL_FILE_183,,0
FULL_FILE_269,,0
FULL_FILE_310,,0
FULL_FILE_196,,0
FULL_FILE_202,,0
FULL_FILE_282,,0
FULL_FILE_306,,0
FULL_FILE_205,,0
FULL_FILE_213,,0
FULL_FILE_231,,0
FULL_FILE_172,,0
FULL_FILE_228,,0
FULL_FILE_236,,0
FULL_FILE_136,,0
FULL_FILE_245,,0
FULL_FILE_296,,0
FULL_FILE_216,,0
FULL_FILE_224,,0
FULL_FILE_277,,0
FULL_FILE_220,,0
FULL_FILE_289,,0
FULL_FILE_235,,0
FULL_FILE_246,,0
FULL_FILE_239,,0
FULL_FILE_265,,0
FULL_FILE_197,,0
FULL_FILE_291,,0
FULL_FILE_259,,0
FULL_FILE_309,,0
FULL_FILE_102,,0
FULL_FILE_215,,0
FULL_FILE_190,,0
FULL_FILE_141,,0
FULL_FILE_326,,0
FULL_FILE_226,,0
FULL_FILE_204,,0
FULL_FILE_345,,0
FULL_FILE_333,,0
FULL_FILE_191,,0
FULL_FILE_89,,0
FULL_FILE_394,,0
FULL_FILE_194,,0
FULL_FILE_202,,0
FULL_FILE_207,,0
FULL_FILE_119,,0
FULL_FILE_301,,0
FULL_FILE_180,,0
FULL_FILE_225,,0
FULL_FILE_217,,0
FULL_FILE_221,,0
FULL_FILE_264,,0
FULL_FILE_185,,0
FULL_FILE_226,,0
FULL_FILE_265,,0
FULL_FILE_261,,0
FULL_FILE_212,,0
FULL_FILE_179,,0
FULL_FILE_167,,0
FULL_FILE_309,,0
FULL_FILE_237,,0
FULL_FILE_316,,0
FULL_FILE_249,,0
FULL_FILE_242,,0
FULL_FILE_288,,0
FULL_FILE_228,,0
FULL_FILE_279,,0
FULL_FILE_215,,0
FULL_FILE_243,,0
FULL_FILE_255,,0
FULL_FILE_247,,0
FULL_FILE_288,,1
FULL_FILE_187,,0
FULL_FILE_282,,0
FULL_FILE_325,,0
FULL_FILE_273,,0
FULL_FILE_199,,0
FULL_FILE_274,,0
FULL_FILE_324,,0
FULL_FILE_275,,0
FULL_FILE_306,,0
