filename,n_blocks,cache_hits
FULL_FILE_SD80_90,,0
FULL_FILE_SD80_144,,0
FULL_FILE_SD80_294,,0
FULL_FILE_SD80_179,,0
FULL_FILE_SD80_299,,0
FULL_FILE_SD80_212,,0
FULL_FILE_SD80_137,,0
FULL_FILE_SD80_151,,0
FULL_FILE_SD80_284,,0
FULL_FILE_SD80_295,,0
FULL_FILE_SD80_460,,0
FULL_FILE_SD80_366,,0
FULL_FILE_SD80_302,,0
FULL_FILE_SD80_102,,0
FULL_FILE_SD80_129,,0
FULL_FILE_SD80_258,,0
FULL_FILE_SD80_405,,0
FULL_FILE_SD80_173,,0
FULL_FILE_SD80_288,,0
FULL_FILE_SD80_203,,0
FULL_FILE_SD80_250,,0
FULL_FILE_SD80_253,,0
FULL_FILE_SD80_421,,0
FULL_FILE_SD80_254,,0
FULL_FILE_SD80_246,,0
FULL_FILE_SD80_309,,0
FULL_FILE_SD80_183,,0
FULL_FILE_SD80_132,,0
FULL_FILE_SD80_47,,0
FULL_FILE_SD80_154,,0
FULL_FILE_SD80_188,,0
FULL_FILE_SD80_128,,0
FULL_FILE_SD80_305,,0
FULL_FILE_SD80_96,,0
FULL_FILE_SD80_250,,1
FULL_FILE_SD80_214,,0
FULL_FILE_SD80_244,,0
FULL_FILE_SD80_217,,0
FULL_FILE_SD80_304,,0
FULL_FILE_SD80_250,,1
FULL_FILE_SD80_607,,0
FULL_FILE_SD80_60,,0
FULL_FILE_SD80_285,,0
FULL_FILE_SD80_228,,0
FULL_FILE_SD80_160,,0
FULL_FILE_SD80_260,,0
FULL_FILE_SD80_101,,0
FULL_FILE_SD80_297,,0
FULL_FILE_SD80_127,,0
FULL_FILE_SD80_238,,0
FULL_FILE_SD80_238,,1
FULL_FILE_SD80_412,,0
FULL_FILE_SD80_122,,0
FULL_FILE_SD80_325,,0
FULL_FILE_SD80_61,,0
FULL_FILE_SD80_277,,0
FULL_FILE_SD80_253,,1
FULL_FILE_SD80_266,,0
FULL_FILE_SD80_297,,1
FULL_FILE_SD80_170,,0
FULL_FILE_SD80_365,,0
FULL_FILE_SD80_288,,1
FULL_FILE_SD80_286,,0
FULL_FILE_SD80_207,,0
FULL_FILE_SD80_373,,0
FULL_FILE_SD80_156,,0
FULL_FILE_SD80_35,,0
FULL_FILE_SD80_204,,0
FULL_FILE_SD80_257,,0
