filename,chunk,inCache
FULL_FILE_219,FULL_FILE_219,0
FULL_FILE_688,FULL_FILE_688,0
FULL_FILE_211,FULL_FILE_211,0
FULL_FILE_240,FULL_FILE_240,0
FULL_FILE_730,FULL_FILE_730,0
FULL_FILE_141,FULL_FILE_141,0
FULL_FILE_310,FULL_FILE_310,0
FULL_FILE_498,FULL_FILE_498,0
FULL_FILE_621,FULL_FILE_621,0
FULL_FILE_267,FULL_FILE_267,0
FULL_FILE_389,FULL_FILE_389,0
FULL_FILE_465,FULL_FILE_465,0
FULL_FILE_443,FULL_FILE_443,0
FULL_FILE_472,FULL_FILE_472,0
FULL_FILE_11,FULL_FILE_11,0
FULL_FILE_31,FULL_FILE_31,0
FULL_FILE_162,FULL_FILE_162,0
FULL_FILE_144,FULL_FILE_144,0
FULL_FILE_138,FULL_FILE_138,0
FULL_FILE_119,FULL_FILE_119,0
FULL_FILE_205,FULL_FILE_205,0
FULL_FILE_108,FULL_FILE_108,0
FULL_FILE_90,FULL_FILE_90,0
FULL_FILE_201,FULL_FILE_201,0
FULL_FILE_34,FULL_FILE_34,0
FULL_FILE_377,FULL_FILE_377,0
FULL_FILE_426,FULL_FILE_426,0
FULL_FILE_100,FULL_FILE_100,0
FULL_FILE_429,FULL_FILE_429,0
FULL_FILE_170,FULL_FILE_170,0
FULL_FILE_580,FULL_FILE_580,0
FULL_FILE_459,FULL_FILE_459,0
FULL_FILE_252,FULL_FILE_252,0
FULL_FILE_283,FULL_FILE_283,0
FULL_FILE_9,FULL_FILE_9,0
FULL_FILE_406,FULL_FILE_406,0
FULL_FILE_295,FULL_FILE_295,0
FULL_FILE_69,FULL_FILE_69,0
FULL_FILE_247,FULL_FILE_247,0
FULL_FILE_177,FULL_FILE_177,0
FULL_FILE_252,FULL_FILE_252,1
FULL_FILE_192,FULL_FILE_192,0
FULL_FILE_223,FULL_FILE_223,0
FULL_FILE_306,FULL_FILE_306,0
FULL_FILE_123,FULL_FILE_123,0
FULL_FILE_224,FULL_FILE_224,0
FULL_FILE_361,FULL_FILE_361,0
FULL_FILE_196,FULL_FILE_196,0
FULL_FILE_220,FULL_FILE_220,0
FULL_FILE_101,FULL_FILE_101,0
FULL_FILE_442,FULL_FILE_442,0
FULL_FILE_251,FULL_FILE_251,0
FULL_FILE_452,FULL_FILE_452,0
FULL_FILE_235,FULL_FILE_235,0
FULL_FILE_355,FULL_FILE_355,0
FULL_FILE_323,FULL_FILE_323,0
FULL_FILE_19,FULL_FILE_19,0
FULL_FILE_49,FULL_FILE_49,0
FULL_FILE_393,FULL_FILE_393,0
FULL_FILE_55,FULL_FILE_55,0
FULL_FILE_319,FULL_FILE_319,0
FULL_FILE_85,FULL_FILE_85,0
FULL_FILE_524,FULL_FILE_524,0
FULL_FILE_265,FULL_FILE_265,0
FULL_FILE_152,FULL_FILE_152,0
FULL_FILE_193,FULL_FILE_193,0
FULL_FILE_246,FULL_FILE_246,0
FULL_FILE_208,FULL_FILE_208,0
FULL_FILE_437,FULL_FILE_437,0
FULL_FILE_151,FULL_FILE_151,0
FULL_FILE_267,FULL_FILE_267,1
FULL_FILE_270,FULL_FILE_270,0
FULL_FILE_366,FULL_FILE_366,0
FULL_FILE_79,FULL_FILE_79,0
FULL_FILE_518,FULL_FILE_518,0
FULL_FILE_646,FULL_FILE_646,0
FULL_FILE_318,FULL_FILE_318,0
FULL_FILE_158,FULL_FILE_158,0
FULL_FILE_173,FULL_FILE_173,0
FULL_FILE_52,FULL_FILE_52,0
FULL_FILE_243,FULL_FILE_243,0
FULL_FILE_287,FULL_FILE_287,0
FULL_FILE_443,FULL_FILE_443,1
FULL_FILE_127,FULL_FILE_127,0
FULL_FILE_190,FULL_FILE_190,0
FULL_FILE_529,FULL_FILE_529,0
FULL_FILE_532,FULL_FILE_532,0
FULL_FILE_348,FULL_FILE_348,0
FULL_FILE_482,FULL_FILE_482,0
FULL_FILE_248,FULL_FILE_248,0
FULL_FILE_596,FULL_FILE_596,0
FULL_FILE_424,FULL_FILE_424,0
FULL_FILE_31,FULL_FILE_31,1
FULL_FILE_409,FULL_FILE_409,0
FULL_FILE_210,FULL_FILE_210,0
FULL_FILE_657,FULL_FILE_657,0
FULL_FILE_170,FULL_FILE_170,1
FULL_FILE_431,FULL_FILE_431,0
FULL_FILE_470,FULL_FILE_470,0
FULL_FILE_312,FULL_FILE_312,0
FULL_FILE_136,FULL_FILE_136,0
FULL_FILE_402,FULL_FILE_402,0
FULL_FILE_175,FULL_FILE_175,0
FULL_FILE_480,FULL_FILE_480,0
FULL_FILE_670,FULL_FILE_670,0
FULL_FILE_362,FULL_FILE_362,0
FULL_FILE_313,FULL_FILE_313,0
FULL_FILE_316,FULL_FILE_316,0
FULL_FILE_180,FULL_FILE_180,0
FULL_FILE_236,FULL_FILE_236,0
FULL_FILE_377,FULL_FILE_377,1
FULL_FILE_409,FULL_FILE_409,1
FULL_FILE_35,FULL_FILE_35,0
FULL_FILE_165,FULL_FILE_165,0
FULL_FILE_99,FULL_FILE_99,0
FULL_FILE_61,FULL_FILE_61,0
FULL_FILE_479,FULL_FILE_479,0
FULL_FILE_400,FULL_FILE_400,0
FULL_FILE_282,FULL_FILE_282,0
FULL_FILE_291,FULL_FILE_291,0
FULL_FILE_254,FULL_FILE_254,0
FULL_FILE_429,FULL_FILE_429,1
FULL_FILE_301,FULL_FILE_301,0
FULL_FILE_282,FULL_FILE_282,1
FULL_FILE_213,FULL_FILE_213,0
FULL_FILE_235,FULL_FILE_235,1
FULL_FILE_639,FULL_FILE_639,0
FULL_FILE_257,FULL_FILE_257,0
FULL_FILE_259,FULL_FILE_259,0
FULL_FILE_334,FULL_FILE_334,0
FULL_FILE_47,FULL_FILE_47,0
FULL_FILE_262,FULL_FILE_262,0
FULL_FILE_115,FULL_FILE_115,0
FULL_FILE_148,FULL_FILE_148,0
FULL_FILE_383,FULL_FILE_383,0
FULL_FILE_336,FULL_FILE_336,0
FULL_FILE_5,FULL_FILE_5,0
FULL_FILE_470,FULL_FILE_470,0
FULL_FILE_473,FULL_FILE_473,0
FULL_FILE_277,FULL_FILE_277,0
FULL_FILE_256,FULL_FILE_256,0
FULL_FILE_501,FULL_FILE_501,0
FULL_FILE_377,FULL_FILE_377,1
FULL_FILE_183,FULL_FILE_183,0
FULL_FILE_354,FULL_FILE_354,0
FULL_FILE_474,FULL_FILE_474,0
FULL_FILE_668,FULL_FILE_668,0
FULL_FILE_259,FULL_FILE_259,0
FULL_FILE_97,FULL_FILE_97,0
FULL_FILE_25,FULL_FILE_25,0
FULL_FILE_330,FULL_FILE_330,0
FULL_FILE_242,FULL_FILE_242,0
FULL_FILE_177,FULL_FILE_177,1
FULL_FILE_749,FULL_FILE_749,0
FULL_FILE_501,FULL_FILE_501,1
FULL_FILE_16,FULL_FILE_16,0
FULL_FILE_445,FULL_FILE_445,0
FULL_FILE_506,FULL_FILE_506,0
FULL_FILE_362,FULL_FILE_362,0
FULL_FILE_411,FULL_FILE_411,0
FULL_FILE_217,FULL_FILE_217,0
FULL_FILE_11,FULL_FILE_11,1
FULL_FILE_311,FULL_FILE_311,0
FULL_FILE_17,FULL_FILE_17,0
FULL_FILE_645,FULL_FILE_645,0
FULL_FILE_16,FULL_FILE_16,1
FULL_FILE_242,FULL_FILE_242,1
FULL_FILE_249,FULL_FILE_249,0
FULL_FILE_178,FULL_FILE_178,0
FULL_FILE_232,FULL_FILE_232,0
FULL_FILE_226,FULL_FILE_226,0
FULL_FILE_385,FULL_FILE_385,0
FULL_FILE_655,FULL_FILE_655,0
FULL_FILE_612,FULL_FILE_612,0
FULL_FILE_96,FULL_FILE_96,0
FULL_FILE_297,FULL_FILE_297,0
FULL_FILE_460,FULL_FILE_460,0
FULL_FILE_102,FULL_FILE_102,0
FULL_FILE_391,FULL_FILE_391,0
FULL_FILE_692,FULL_FILE_692,0
FULL_FILE_263,FULL_FILE_263,0
FULL_FILE_15,FULL_FILE_15,0
FULL_FILE_364,FULL_FILE_364,0
FULL_FILE_90,FULL_FILE_90,1
FULL_FILE_227,FULL_FILE_227,0
FULL_FILE_277,FULL_FILE_277,0
FULL_FILE_57,FULL_FILE_57,0
FULL_FILE_232,FULL_FILE_232,0
FULL_FILE_139,FULL_FILE_139,0
FULL_FILE_302,FULL_FILE_302,0
FULL_FILE_8,FULL_FILE_8,0
FULL_FILE_395,FULL_FILE_395,0
FULL_FILE_109,FULL_FILE_109,0
FULL_FILE_138,FULL_FILE_138,1
FULL_FILE_512,FULL_FILE_512,0
FULL_FILE_27,FULL_FILE_27,0
FULL_FILE_224,FULL_FILE_224,1
FULL_FILE_213,FULL_FILE_213,0
FULL_FILE_34,FULL_FILE_34,1
FULL_FILE_163,FULL_FILE_163,0
FULL_FILE_681,FULL_FILE_681,0
FULL_FILE_156,FULL_FILE_156,0
FULL_FILE_188,FULL_FILE_188,0
FULL_FILE_69,FULL_FILE_69,1
FULL_FILE_83,FULL_FILE_83,0
FULL_FILE_456,FULL_FILE_456,0
FULL_FILE_254,FULL_FILE_254,0
FULL_FILE_478,FULL_FILE_478,0
FULL_FILE_508,FULL_FILE_508,0
FULL_FILE_455,FULL_FILE_455,0
FULL_FILE_471,FULL_FILE_471,0
FULL_FILE_183,FULL_FILE_183,0
FULL_FILE_534,FULL_FILE_534,0
FULL_FILE_513,FULL_FILE_513,0
FULL_FILE_130,FULL_FILE_130,0
FULL_FILE_108,FULL_FILE_108,1
FULL_FILE_150,FULL_FILE_150,0
FULL_FILE_98,FULL_FILE_98,0
FULL_FILE_175,FULL_FILE_175,0
FULL_FILE_313,FULL_FILE_313,0
FULL_FILE_288,FULL_FILE_288,0
FULL_FILE_119,FULL_FILE_119,1
FULL_FILE_70,FULL_FILE_70,0
FULL_FILE_618,FULL_FILE_618,0
FULL_FILE_62,FULL_FILE_62,0
FULL_FILE_371,FULL_FILE_371,0
FULL_FILE_351,FULL_FILE_351,0
FULL_FILE_83,FULL_FILE_83,0
FULL_FILE_284,FULL_FILE_284,0
FULL_FILE_545,FULL_FILE_545,0
FULL_FILE_248,FULL_FILE_248,0
FULL_FILE_291,FULL_FILE_291,0
FULL_FILE_659,FULL_FILE_659,0
FULL_FILE_351,FULL_FILE_351,1
FULL_FILE_239,FULL_FILE_239,0
FULL_FILE_240,FULL_FILE_240,1
FULL_FILE_14,FULL_FILE_14,0
FULL_FILE_498,FULL_FILE_498,1
FULL_FILE_221,FULL_FILE_221,0
FULL_FILE_176,FULL_FILE_176,0
FULL_FILE_149,FULL_FILE_149,0
FULL_FILE_373,FULL_FILE_373,0
FULL_FILE_334,FULL_FILE_334,0
FULL_FILE_352,FULL_FILE_352,0
FULL_FILE_367,FULL_FILE_367,0
FULL_FILE_623,FULL_FILE_623,0
FULL_FILE_313,FULL_FILE_313,0
FULL_FILE_110,FULL_FILE_110,0
FULL_FILE_317,FULL_FILE_317,0
FULL_FILE_281,FULL_FILE_281,0
FULL_FILE_392,FULL_FILE_392,0
FULL_FILE_559,FULL_FILE_559,0
FULL_FILE_337,FULL_FILE_337,0
FULL_FILE_444,FULL_FILE_444,0
FULL_FILE_264,FULL_FILE_264,0
FULL_FILE_538,FULL_FILE_538,0
FULL_FILE_59,FULL_FILE_59,0
FULL_FILE_488,FULL_FILE_488,0
FULL_FILE_186,FULL_FILE_186,0
FULL_FILE_504,FULL_FILE_504,0
FULL_FILE_265,FULL_FILE_265,0
FULL_FILE_623,FULL_FILE_623,1
FULL_FILE_118,FULL_FILE_118,0
FULL_FILE_188,FULL_FILE_188,0
FULL_FILE_49,FULL_FILE_49,1
FULL_FILE_461,FULL_FILE_461,0
FULL_FILE_302,FULL_FILE_302,0
FULL_FILE_246,FULL_FILE_246,0
FULL_FILE_318,FULL_FILE_318,0
FULL_FILE_334,FULL_FILE_334,0
FULL_FILE_276,FULL_FILE_276,0
FULL_FILE_295,FULL_FILE_295,1
FULL_FILE_261,FULL_FILE_261,0
FULL_FILE_309,FULL_FILE_309,0
FULL_FILE_29,FULL_FILE_29,0
FULL_FILE_188,FULL_FILE_188,1
FULL_FILE_323,FULL_FILE_323,1
FULL_FILE_39,FULL_FILE_39,0
FULL_FILE_308,FULL_FILE_308,0
FULL_FILE_163,FULL_FILE_163,0
FULL_FILE_472,FULL_FILE_472,1
FULL_FILE_312,FULL_FILE_312,0
FULL_FILE_364,FULL_FILE_364,0
FULL_FILE_501,FULL_FILE_501,1
FULL_FILE_311,FULL_FILE_311,0
FULL_FILE_202,FULL_FILE_202,0
FULL_FILE_341,FULL_FILE_341,0
FULL_FILE_301,FULL_FILE_301,0
FULL_FILE_144,FULL_FILE_144,1
FULL_FILE_176,FULL_FILE_176,0
FULL_FILE_455,FULL_FILE_455,0
FULL_FILE_68,FULL_FILE_68,0
FULL_FILE_251,FULL_FILE_251,1
FULL_FILE_271,FULL_FILE_271,0
FULL_FILE_379,FULL_FILE_379,0
FULL_FILE_391,FULL_FILE_391,0
FULL_FILE_210,FULL_FILE_210,0
FULL_FILE_280,FULL_FILE_280,0
FULL_FILE_96,FULL_FILE_96,0
FULL_FILE_113,FULL_FILE_113,0
FULL_FILE_34,FULL_FILE_34,1
FULL_FILE_286,FULL_FILE_286,0
FULL_FILE_313,FULL_FILE_313,0
FULL_FILE_363,FULL_FILE_363,0
FULL_FILE_464,FULL_FILE_464,0
FULL_FILE_8,FULL_FILE_8,0
FULL_FILE_336,FULL_FILE_336,0
FULL_FILE_182,FULL_FILE_182,0
FULL_FILE_410,FULL_FILE_410,0
FULL_FILE_454,FULL_FILE_454,0
FULL_FILE_272,FULL_FILE_272,0
FULL_FILE_95,FULL_FILE_95,0
FULL_FILE_120,FULL_FILE_120,0
FULL_FILE_485,FULL_FILE_485,0
FULL_FILE_385,FULL_FILE_385,0
FULL_FILE_220,FULL_FILE_220,1
FULL_FILE_232,FULL_FILE_232,0
FULL_FILE_439,FULL_FILE_439,0
FULL_FILE_348,FULL_FILE_348,0
FULL_FILE_823,FULL_FILE_823,0
FULL_FILE_360,FULL_FILE_360,0
FULL_FILE_306,FULL_FILE_306,1
FULL_FILE_327,FULL_FILE_327,0
FULL_FILE_348,FULL_FILE_348,1
FULL_FILE_358,FULL_FILE_358,0
FULL_FILE_589,FULL_FILE_589,0
FULL_FILE_747,FULL_FILE_747,0
FULL_FILE_297,FULL_FILE_297,0
FULL_FILE_56,FULL_FILE_56,0
FULL_FILE_161,FULL_FILE_161,0
FULL_FILE_390,FULL_FILE_390,0
FULL_FILE_216,FULL_FILE_216,0
FULL_FILE_361,FULL_FILE_361,1
FULL_FILE_404,FULL_FILE_404,0
FULL_FILE_427,FULL_FILE_427,0
FULL_FILE_537,FULL_FILE_537,0
FULL_FILE_543,FULL_FILE_543,0
FULL_FILE_26,FULL_FILE_26,0
FULL_FILE_469,FULL_FILE_469,0
FULL_FILE_147,FULL_FILE_147,0
FULL_FILE_188,FULL_FILE_188,1
FULL_FILE_342,FULL_FILE_342,0
FULL_FILE_334,FULL_FILE_334,0
FULL_FILE_185,FULL_FILE_185,0
FULL_FILE_405,FULL_FILE_405,0
FULL_FILE_216,FULL_FILE_216,1
FULL_FILE_37,FULL_FILE_37,0
FULL_FILE_182,FULL_FILE_182,0
FULL_FILE_45,FULL_FILE_45,0
FULL_FILE_486,FULL_FILE_486,0
FULL_FILE_227,FULL_FILE_227,0
FULL_FILE_30,FULL_FILE_30,0
FULL_FILE_242,FULL_FILE_242,1
FULL_FILE_318,FULL_FILE_318,0
FULL_FILE_353,FULL_FILE_353,0
FULL_FILE_380,FULL_FILE_380,0
FULL_FILE_378,FULL_FILE_378,0
FULL_FILE_356,FULL_FILE_356,0
FULL_FILE_639,FULL_FILE_639,0
FULL_FILE_250,FULL_FILE_250,0
FULL_FILE_316,FULL_FILE_316,0
FULL_FILE_175,FULL_FILE_175,0
FULL_FILE_245,FULL_FILE_245,0
FULL_FILE_402,FULL_FILE_402,0
FULL_FILE_329,FULL_FILE_329,0
FULL_FILE_328,FULL_FILE_328,0
FULL_FILE_185,FULL_FILE_185,0
FULL_FILE_71,FULL_FILE_71,0
FULL_FILE_56,FULL_FILE_56,0
FULL_FILE_205,FULL_FILE_205,1
FULL_FILE_2,FULL_FILE_2,0
FULL_FILE_301,FULL_FILE_301,0
FULL_FILE_297,FULL_FILE_297,0
FULL_FILE_266,FULL_FILE_266,0
FULL_FILE_161,FULL_FILE_161,0
FULL_FILE_386,FULL_FILE_386,0
FULL_FILE_34,FULL_FILE_34,1
FULL_FILE_477,FULL_FILE_477,0
FULL_FILE_170,FULL_FILE_170,1
FULL_FILE_79,FULL_FILE_79,0
FULL_FILE_231,FULL_FILE_231,0
FULL_FILE_408,FULL_FILE_408,0
FULL_FILE_506,FULL_FILE_506,0
FULL_FILE_332,FULL_FILE_332,0
FULL_FILE_107,FULL_FILE_107,0
FULL_FILE_151,FULL_FILE_151,0
FULL_FILE_240,FULL_FILE_240,1
FULL_FILE_339,FULL_FILE_339,0
FULL_FILE_90,FULL_FILE_90,1
FULL_FILE_187,FULL_FILE_187,0
FULL_FILE_311,FULL_FILE_311,0
FULL_FILE_21,FULL_FILE_21,0
FULL_FILE_445,FULL_FILE_445,0
FULL_FILE_398,FULL_FILE_398,0
FULL_FILE_557,FULL_FILE_557,0
FULL_FILE_288,FULL_FILE_288,0
FULL_FILE_412,FULL_FILE_412,0
FULL_FILE_262,FULL_FILE_262,0
FULL_FILE_155,FULL_FILE_155,0
FULL_FILE_562,FULL_FILE_562,0
FULL_FILE_489,FULL_FILE_489,0
FULL_FILE_410,FULL_FILE_410,0
FULL_FILE_32,FULL_FILE_32,0
FULL_FILE_40,FULL_FILE_40,0
FULL_FILE_114,FULL_FILE_114,0
FULL_FILE_15,FULL_FILE_15,0
FULL_FILE_211,FULL_FILE_211,1
FULL_FILE_424,FULL_FILE_424,0
FULL_FILE_13,FULL_FILE_13,0
FULL_FILE_157,FULL_FILE_157,0
FULL_FILE_106,FULL_FILE_106,0
FULL_FILE_298,FULL_FILE_298,0
FULL_FILE_261,FULL_FILE_261,0
FULL_FILE_151,FULL_FILE_151,0
FULL_FILE_120,FULL_FILE_120,0
FULL_FILE_428,FULL_FILE_428,0
FULL_FILE_63,FULL_FILE_63,0
FULL_FILE_123,FULL_FILE_123,1
FULL_FILE_558,FULL_FILE_558,0
FULL_FILE_114,FULL_FILE_114,1
FULL_FILE_410,FULL_FILE_410,1
FULL_FILE_152,FULL_FILE_152,0
FULL_FILE_284,FULL_FILE_284,0
FULL_FILE_285,FULL_FILE_285,0
FULL_FILE_210,FULL_FILE_210,0
FULL_FILE_99,FULL_FILE_99,0
FULL_FILE_366,FULL_FILE_366,0
FULL_FILE_480,FULL_FILE_480,0
FULL_FILE_173,FULL_FILE_173,0
FULL_FILE_62,FULL_FILE_62,0
FULL_FILE_565,FULL_FILE_565,0
FULL_FILE_305,FULL_FILE_305,0
FULL_FILE_162,FULL_FILE_162,1
FULL_FILE_19,FULL_FILE_19,0
FULL_FILE_92,FULL_FILE_92,0
FULL_FILE_52,FULL_FILE_52,0
FULL_FILE_490,FULL_FILE_490,0
FULL_FILE_201,FULL_FILE_201,1
FULL_FILE_310,FULL_FILE_310,1
FULL_FILE_148,FULL_FILE_148,0
FULL_FILE_416,FULL_FILE_416,0
FULL_FILE_262,FULL_FILE_262,0
FULL_FILE_249,FULL_FILE_249,0
FULL_FILE_260,FULL_FILE_260,0
FULL_FILE_176,FULL_FILE_176,0
FULL_FILE_351,FULL_FILE_351,1
FULL_FILE_507,FULL_FILE_507,0
FULL_FILE_157,FULL_FILE_157,0
FULL_FILE_202,FULL_FILE_202,0
FULL_FILE_30,FULL_FILE_30,0
FULL_FILE_372,FULL_FILE_372,0
FULL_FILE_620,FULL_FILE_620,0
FULL_FILE_294,FULL_FILE_294,0
FULL_FILE_114,FULL_FILE_114,1
FULL_FILE_254,FULL_FILE_254,0
FULL_FILE_593,FULL_FILE_593,0
FULL_FILE_634,FULL_FILE_634,0
FULL_FILE_258,FULL_FILE_258,0
FULL_FILE_300,FULL_FILE_300,0
FULL_FILE_127,FULL_FILE_127,0
FULL_FILE_253,FULL_FILE_253,0
FULL_FILE_488,FULL_FILE_488,0
FULL_FILE_59,FULL_FILE_59,0
FULL_FILE_624,FULL_FILE_624,0
FULL_FILE_801,FULL_FILE_801,0
FULL_FILE_172,FULL_FILE_172,0
FULL_FILE_258,FULL_FILE_258,1
FULL_FILE_80,FULL_FILE_80,0
FULL_FILE_170,FULL_FILE_170,1
FULL_FILE_387,FULL_FILE_387,0
FULL_FILE_309,FULL_FILE_309,0
FULL_FILE_179,FULL_FILE_179,0
FULL_FILE_104,FULL_FILE_104,0
FULL_FILE_467,FULL_FILE_467,0
FULL_FILE_232,FULL_FILE_232,0
FULL_FILE_434,FULL_FILE_434,0
FULL_FILE_235,FULL_FILE_235,1
FULL_FILE_208,FULL_FILE_208,0
FULL_FILE_237,FULL_FILE_237,0
FULL_FILE_87,FULL_FILE_87,0
FULL_FILE_438,FULL_FILE_438,0
FULL_FILE_403,FULL_FILE_403,0
FULL_FILE_280,FULL_FILE_280,0
FULL_FILE_37,FULL_FILE_37,0
FULL_FILE_241,FULL_FILE_241,0
FULL_FILE_181,FULL_FILE_181,0
FULL_FILE_158,FULL_FILE_158,0
FULL_FILE_257,FULL_FILE_257,0
FULL_FILE_259,FULL_FILE_259,0
FULL_FILE_21,FULL_FILE_21,0
FULL_FILE_287,FULL_FILE_287,0
FULL_FILE_392,FULL_FILE_392,0
FULL_FILE_47,FULL_FILE_47,0
FULL_FILE_347,FULL_FILE_347,0
FULL_FILE_269,FULL_FILE_269,0
FULL_FILE_0,FULL_FILE_0,0
FULL_FILE_361,FULL_FILE_361,1
FULL_FILE_322,FULL_FILE_322,0
FULL_FILE_320,FULL_FILE_320,0
FULL_FILE_321,FULL_FILE_321,0
FULL_FILE_286,FULL_FILE_286,0
FULL_FILE_135,FULL_FILE_135,0
FULL_FILE_389,FULL_FILE_389,1
FULL_FILE_39,FULL_FILE_39,0
FULL_FILE_470,FULL_FILE_470,0
FULL_FILE_828,FULL_FILE_828,0
FULL_FILE_177,FULL_FILE_177,1
FULL_FILE_205,FULL_FILE_205,1
FULL_FILE_382,FULL_FILE_382,0
FULL_FILE_238,FULL_FILE_238,0
FULL_FILE_252,FULL_FILE_252,1
FULL_FILE_603,FULL_FILE_603,0
FULL_FILE_278,FULL_FILE_278,0
FULL_FILE_69,FULL_FILE_69,1
FULL_FILE_319,FULL_FILE_319,0
FULL_FILE_316,FULL_FILE_316,0
FULL_FILE_523,FULL_FILE_523,0
FULL_FILE_602,FULL_FILE_602,0
FULL_FILE_489,FULL_FILE_489,0
FULL_FILE_238,FULL_FILE_238,1
FULL_FILE_362,FULL_FILE_362,0
FULL_FILE_153,FULL_FILE_153,0
FULL_FILE_80,FULL_FILE_80,0
FULL_FILE_297,FULL_FILE_297,0
FULL_FILE_12,FULL_FILE_12,0
FULL_FILE_321,FULL_FILE_321,0
FULL_FILE_357,FULL_FILE_357,0
FULL_FILE_177,FULL_FILE_177,1
FULL_FILE_52,FULL_FILE_52,0
FULL_FILE_442,FULL_FILE_442,0
FULL_FILE_153,FULL_FILE_153,1
FULL_FILE_623,FULL_FILE_623,1
FULL_FILE_20,FULL_FILE_20,0
FULL_FILE_303,FULL_FILE_303,0
FULL_FILE_432,FULL_FILE_432,0
FULL_FILE_216,FULL_FILE_216,1
FULL_FILE_181,FULL_FILE_181,0
FULL_FILE_272,FULL_FILE_272,0
FULL_FILE_82,FULL_FILE_82,0
FULL_FILE_187,FULL_FILE_187,0
FULL_FILE_312,FULL_FILE_312,0
FULL_FILE_262,FULL_FILE_262,0
FULL_FILE_360,FULL_FILE_360,0
FULL_FILE_384,FULL_FILE_384,0
FULL_FILE_224,FULL_FILE_224,1
FULL_FILE_156,FULL_FILE_156,0
FULL_FILE_322,FULL_FILE_322,0
FULL_FILE_386,FULL_FILE_386,0
FULL_FILE_328,FULL_FILE_328,0
FULL_FILE_42,FULL_FILE_42,0
FULL_FILE_533,FULL_FILE_533,0
FULL_FILE_305,FULL_FILE_305,0
FULL_FILE_106,FULL_FILE_106,0
FULL_FILE_275,FULL_FILE_275,0
FULL_FILE_179,FULL_FILE_179,0
FULL_FILE_184,FULL_FILE_184,0
FULL_FILE_342,FULL_FILE_342,0
FULL_FILE_187,FULL_FILE_187,0
FULL_FILE_153,FULL_FILE_153,1
FULL_FILE_47,FULL_FILE_47,0
FULL_FILE_137,FULL_FILE_137,0
FULL_FILE_69,FULL_FILE_69,1
FULL_FILE_470,FULL_FILE_470,0
FULL_FILE_189,FULL_FILE_189,0
FULL_FILE_315,FULL_FILE_315,0
FULL_FILE_316,FULL_FILE_316,0
FULL_FILE_499,FULL_FILE_499,0
FULL_FILE_280,FULL_FILE_280,0
FULL_FILE_289,FULL_FILE_289,0
FULL_FILE_22,FULL_FILE_22,0
FULL_FILE_111,FULL_FILE_111,0
FULL_FILE_282,FULL_FILE_282,1
FULL_FILE_611,FULL_FILE_611,0
FULL_FILE_15,FULL_FILE_15,0
FULL_FILE_233,FULL_FILE_233,0
FULL_FILE_473,FULL_FILE_473,0
FULL_FILE_369,FULL_FILE_369,0
FULL_FILE_206,FULL_FILE_206,0
FULL_FILE_432,FULL_FILE_432,0
FULL_FILE_555,FULL_FILE_555,0
FULL_FILE_608,FULL_FILE_608,0
FULL_FILE_314,FULL_FILE_314,0
FULL_FILE_342,FULL_FILE_342,0
FULL_FILE_424,FULL_FILE_424,0
FULL_FILE_347,FULL_FILE_347,0
FULL_FILE_101,FULL_FILE_101,0
FULL_FILE_125,FULL_FILE_125,0
FULL_FILE_353,FULL_FILE_353,0
FULL_FILE_270,FULL_FILE_270,0
FULL_FILE_288,FULL_FILE_288,0
FULL_FILE_332,FULL_FILE_332,0
FULL_FILE_146,FULL_FILE_146,0
FULL_FILE_506,FULL_FILE_506,0
