filename,chunk,inCache
FULL_FILE_SD5_343,FULL_FILE_SD5_343,0
FULL_FILE_SD5_229,FULL_FILE_SD5_229,0
FULL_FILE_SD5_331,FULL_FILE_SD5_331,0
FULL_FILE_SD5_236,FULL_FILE_SD5_236,0
FULL_FILE_SD5_387,FULL_FILE_SD5_387,0
FULL_FILE_SD5_70,FULL_FILE_SD5_70,0
FULL_FILE_SD5_166,FULL_FILE_SD5_166,0
FULL_FILE_SD5_456,FULL_FILE_SD5_456,0
FULL_FILE_SD5_382,FULL_FILE_SD5_382,0
FULL_FILE_SD5_478,FULL_FILE_SD5_478,0
FULL_FILE_SD5_5,FULL_FILE_SD5_5,0
FULL_FILE_SD5_119,FULL_FILE_SD5_119,0
FULL_FILE_SD5_137,FULL_FILE_SD5_137,0
FULL_FILE_SD5_390,FULL_FILE_SD5_390,0
FULL_FILE_SD5_268,FULL_FILE_SD5_268,0
FULL_FILE_SD5_74,FULL_FILE_SD5_74,0
FULL_FILE_SD5_376,FULL_FILE_SD5_376,0
FULL_FILE_SD5_274,FULL_FILE_SD5_274,0
FULL_FILE_SD5_259,FULL_FILE_SD5_259,0
FULL_FILE_SD5_147,FULL_FILE_SD5_147,0
FULL_FILE_SD5_477,FULL_FILE_SD5_477,0
FULL_FILE_SD5_125,FULL_FILE_SD5_125,0
FULL_FILE_SD5_394,FULL_FILE_SD5_394,0
FULL_FILE_SD5_197,FULL_FILE_SD5_197,0
FULL_FILE_SD5_207,FULL_FILE_SD5_207,0
FULL_FILE_SD5_61,FULL_FILE_SD5_61,0
FULL_FILE_SD5_165,FULL_FILE_SD5_165,0
FULL_FILE_SD5_382,FULL_FILE_SD5_382,1
FULL_FILE_SD5_183,FULL_FILE_SD5_183,0
FULL_FILE_SD5_397,FULL_FILE_SD5_397,0
FULL_FILE_SD5_208,FULL_FILE_SD5_208,0
FULL_FILE_SD5_200,FULL_FILE_SD5_200,0
FULL_FILE_SD5_303,FULL_FILE_SD5_303,0
FULL_FILE_SD5_112,FULL_FILE_SD5_112,0
FULL_FILE_SD5_213,FULL_FILE_SD5_213,0
FULL_FILE_SD5_421,FULL_FILE_SD5_421,0
FULL_FILE_SD5_386,FULL_FILE_SD5_386,0
FULL_FILE_SD5_462,FULL_FILE_SD5_462,0
FULL_FILE_SD5_326,FULL_FILE_SD5_326,0
FULL_FILE_SD5_218,FULL_FILE_SD5_218,0
FULL_FILE_SD5_124,FULL_FILE_SD5_124,0
FULL_FILE_SD5_340,FULL_FILE_SD5_340,0
FULL_FILE_SD5_169,FULL_FILE_SD5_169,0
FULL_FILE_SD5_403,FULL_FILE_SD5_403,0
FULL_FILE_SD5_112,FULL_FILE_SD5_112,0
FULL_FILE_SD5_88,FULL_FILE_SD5_88,0
FULL_FILE_SD5_392,FULL_FILE_SD5_392,0
FULL_FILE_SD5_353,FULL_FILE_SD5_353,0
FULL_FILE_SD5_305,FULL_FILE_SD5_305,0
FULL_FILE_SD5_62,FULL_FILE_SD5_62,0
FULL_FILE_SD5_243,FULL_FILE_SD5_243,0
FULL_FILE_SD5_30,FULL_FILE_SD5_30,0
FULL_FILE_SD5_371,FULL_FILE_SD5_371,0
FULL_FILE_SD5_73,FULL_FILE_SD5_73,0
FULL_FILE_SD5_263,FULL_FILE_SD5_263,0
FULL_FILE_SD5_398,FULL_FILE_SD5_398,0
FULL_FILE_SD5_449,FULL_FILE_SD5_449,0
FULL_FILE_SD5_360,FULL_FILE_SD5_360,0
FULL_FILE_SD5_202,FULL_FILE_SD5_202,0
FULL_FILE_SD5_97,FULL_FILE_SD5_97,0
FULL_FILE_SD5_321,FULL_FILE_SD5_321,0
FULL_FILE_SD5_101,FULL_FILE_SD5_101,0
FULL_FILE_SD5_200,FULL_FILE_SD5_200,0
FULL_FILE_SD5_343,FULL_FILE_SD5_343,1
FULL_FILE_SD5_249,FULL_FILE_SD5_249,0
FULL_FILE_SD5_164,FULL_FILE_SD5_164,0
FULL_FILE_SD5_314,FULL_FILE_SD5_314,0
FULL_FILE_SD5_463,FULL_FILE_SD5_463,0
FULL_FILE_SD5_98,FULL_FILE_SD5_98,0
FULL_FILE_SD5_247,FULL_FILE_SD5_247,0
FULL_FILE_SD5_79,FULL_FILE_SD5_79,0
FULL_FILE_SD5_351,FULL_FILE_SD5_351,0
FULL_FILE_SD5_313,FULL_FILE_SD5_313,0
FULL_FILE_SD5_22,FULL_FILE_SD5_22,0
FULL_FILE_SD5_163,FULL_FILE_SD5_163,0
FULL_FILE_SD5_238,FULL_FILE_SD5_238,0
FULL_FILE_SD5_261,FULL_FILE_SD5_261,0
FULL_FILE_SD5_174,FULL_FILE_SD5_174,0
FULL_FILE_SD5_184,FULL_FILE_SD5_184,0
FULL_FILE_SD5_223,FULL_FILE_SD5_223,0
FULL_FILE_SD5_231,FULL_FILE_SD5_231,0
FULL_FILE_SD5_22,FULL_FILE_SD5_22,0
FULL_FILE_SD5_129,FULL_FILE_SD5_129,0
FULL_FILE_SD5_221,FULL_FILE_SD5_221,0
FULL_FILE_SD5_405,FULL_FILE_SD5_405,0
FULL_FILE_SD5_489,FULL_FILE_SD5_489,0
FULL_FILE_SD5_77,FULL_FILE_SD5_77,0
FULL_FILE_SD5_129,FULL_FILE_SD5_129,0
FULL_FILE_SD5_352,FULL_FILE_SD5_352,0
FULL_FILE_SD5_397,FULL_FILE_SD5_397,0
FULL_FILE_SD5_67,FULL_FILE_SD5_67,0
FULL_FILE_SD5_352,FULL_FILE_SD5_352,1
FULL_FILE_SD5_87,FULL_FILE_SD5_87,0
FULL_FILE_SD5_111,FULL_FILE_SD5_111,0
FULL_FILE_SD5_66,FULL_FILE_SD5_66,0
FULL_FILE_SD5_267,FULL_FILE_SD5_267,0
FULL_FILE_SD5_300,FULL_FILE_SD5_300,0
FULL_FILE_SD5_179,FULL_FILE_SD5_179,0
