filename,n_blocks,cache_hits
GEN_DEDUP_148,10,0
GEN_DEDUP_152,10,0
GEN_DEDUP_286,10,0
GEN_DEDUP_187,10,0
GEN_DEDUP_245,10,0
GEN_DEDUP_223,10,1
GEN_DEDUP_300,10,0
GEN_DEDUP_231,10,0
GEN_DEDUP_290,10,0
GEN_DEDUP_369,10,0
GEN_DEDUP_230,10,0
GEN_DEDUP_267,10,0
GEN_DEDUP_220,10,0
GEN_DEDUP_163,10,0
GEN_DEDUP_236,10,0
GEN_DEDUP_164,10,0
GEN_DEDUP_267,10,10
GEN_DEDUP_137,10,1
GEN_DEDUP_265,10,0
GEN_DEDUP_244,10,0
GEN_DEDUP_210,10,0
GEN_DEDUP_241,10,0
GEN_DEDUP_329,10,0
GEN_DEDUP_107,10,0
GEN_DEDUP_241,10,10
GEN_DEDUP_218,10,0
GEN_DEDUP_287,10,0
GEN_DEDUP_253,10,1
GEN_DEDUP_304,10,0
GEN_DEDUP_324,10,0
GEN_DEDUP_229,10,0
GEN_DEDUP_217,10,0
GEN_DEDUP_308,10,0
GEN_DEDUP_154,10,0
GEN_DEDUP_272,10,1
GEN_DEDUP_152,10,10
GEN_DEDUP_229,10,10
GEN_DEDUP_205,10,1
GEN_DEDUP_336,10,0
GEN_DEDUP_255,10,1
GEN_DEDUP_212,10,0
GEN_DEDUP_337,10,0
GEN_DEDUP_310,10,0
GEN_DEDUP_222,10,0
GEN_DEDUP_282,10,0
GEN_DEDUP_245,10,10
GEN_DEDUP_308,10,10
GEN_DEDUP_291,10,0
GEN_DEDUP_246,10,0
GEN_DEDUP_197,10,1
GEN_DEDUP_274,10,0
GEN_DEDUP_341,10,2
GEN_DEDUP_365,10,0
GEN_DEDUP_310,10,10
GEN_DEDUP_295,10,1
GEN_DEDUP_166,10,1
GEN_DEDUP_238,10,0
GEN_DEDUP_251,10,0
GEN_DEDUP_136,10,0
GEN_DEDUP_270,10,0
GEN_DEDUP_176,10,0
GEN_DEDUP_332,10,2
GEN_DEDUP_261,10,1
GEN_DEDUP_225,10,0
GEN_DEDUP_244,10,10
GEN_DEDUP_414,10,0
GEN_DEDUP_284,10,0
GEN_DEDUP_321,10,0
GEN_DEDUP_274,10,10
GEN_DEDUP_318,10,0
GEN_DEDUP_328,10,0
GEN_DEDUP_268,10,0
GEN_DEDUP_221,10,1
GEN_DEDUP_342,10,0
GEN_DEDUP_298,10,0
GEN_DEDUP_144,10,1
GEN_DEDUP_175,10,0
GEN_DEDUP_328,10,10
GEN_DEDUP_227,10,1
GEN_DEDUP_249,10,1
GEN_DEDUP_276,10,1
GEN_DEDUP_243,10,0
GEN_DEDUP_272,10,10
GEN_DEDUP_164,10,10
GEN_DEDUP_144,10,10
GEN_DEDUP_284,10,10
GEN_DEDUP_357,10,0
GEN_DEDUP_249,10,10
GEN_DEDUP_257,10,1
GEN_DEDUP_323,10,1
GEN_DEDUP_262,10,1
GEN_DEDUP_175,10,10
GEN_DEDUP_163,10,10
GEN_DEDUP_202,10,0
GEN_DEDUP_374,10,0
GEN_DEDUP_215,10,1
GEN_DEDUP_280,10,3
GEN_DEDUP_322,10,0
GEN_DEDUP_277,10,1
GEN_DEDUP_289,10,0
GEN_DEDUP_178,10,0
GEN_DEDUP_287,10,10
GEN_DEDUP_280,10,10
GEN_DEDUP_207,10,0
GEN_DEDUP_228,10,0
GEN_DEDUP_336,10,10
GEN_DEDUP_253,10,10
GEN_DEDUP_129,10,1
GEN_DEDUP_202,10,10
GEN_DEDUP_318,10,10
GEN_DEDUP_190,10,2
GEN_DEDUP_264,10,0
GEN_DEDUP_110,10,0
GEN_DEDUP_289,10,10
GEN_DEDUP_247,10,0
GEN_DEDUP_264,10,10
GEN_DEDUP_198,10,0
GEN_DEDUP_199,10,0
GEN_DEDUP_310,10,10
GEN_DEDUP_209,10,2
