filename,n_blocks,cache_hits
GEN_DEDUP_230,10,0
GEN_DEDUP_272,10,0
GEN_DEDUP_231,10,0
GEN_DEDUP_215,10,0
GEN_DEDUP_242,10,0
GEN_DEDUP_221,10,1
GEN_DEDUP_192,10,0
GEN_DEDUP_280,10,0
GEN_DEDUP_261,10,1
GEN_DEDUP_270,10,0
GEN_DEDUP_197,10,0
GEN_DEDUP_227,10,1
GEN_DEDUP_230,10,10
GEN_DEDUP_136,10,0
GEN_DEDUP_117,10,0
GEN_DEDUP_182,10,0
GEN_DEDUP_346,10,0
GEN_DEDUP_196,10,0
GEN_DEDUP_324,10,0
GEN_DEDUP_177,10,0
GEN_DEDUP_290,10,0
GEN_DEDUP_158,10,1
GEN_DEDUP_216,10,0
GEN_DEDUP_360,10,0
GEN_DEDUP_280,10,10
GEN_DEDUP_211,10,0
GEN_DEDUP_365,10,0
GEN_DEDUP_254,10,0
GEN_DEDUP_188,10,0
GEN_DEDUP_229,10,0
GEN_DEDUP_275,10,0
GEN_DEDUP_341,10,1
GEN_DEDUP_257,10,1
GEN_DEDUP_178,10,0
GEN_DEDUP_201,10,0
GEN_DEDUP_159,10,0
GEN_DEDUP_331,10,0
GEN_DEDUP_161,10,0
GEN_DEDUP_290,10,0
GEN_DEDUP_299,10,0
GEN_DEDUP_250,10,0
GEN_DEDUP_227,10,10
GEN_DEDUP_372,10,0
GEN_DEDUP_322,10,0
GEN_DEDUP_180,10,0
GEN_DEDUP_211,10,0
GEN_DEDUP_315,10,1
GEN_DEDUP_310,10,0
GEN_DEDUP_253,10,0
GEN_DEDUP_261,10,10
GEN_DEDUP_313,10,0
GEN_DEDUP_221,10,10
GEN_DEDUP_314,10,0
GEN_DEDUP_193,10,0
GEN_DEDUP_222,10,0
GEN_DEDUP_213,10,0
GEN_DEDUP_251,10,0
GEN_DEDUP_261,10,10
GEN_DEDUP_347,10,0
GEN_DEDUP_200,10,1
GEN_DEDUP_176,10,0
GEN_DEDUP_246,10,0
GEN_DEDUP_278,10,0
GEN_DEDUP_268,10,0
GEN_DEDUP_261,10,10
GEN_DEDUP_178,10,0
GEN_DEDUP_321,10,0
GEN_DEDUP_138,10,0
GEN_DEDUP_284,10,0
GEN_DEDUP_177,10,0
GEN_DEDUP_295,10,0
GEN_DEDUP_287,10,1
GEN_DEDUP_323,10,0
GEN_DEDUP_198,10,0
GEN_DEDUP_209,10,1
GEN_DEDUP_361,10,0
GEN_DEDUP_268,10,0
GEN_DEDUP_315,10,1
GEN_DEDUP_171,10,1
GEN_DEDUP_308,10,0
GEN_DEDUP_218,10,0
GEN_DEDUP_387,10,0
GEN_DEDUP_247,10,0
GEN_DEDUP_263,10,0
GEN_DEDUP_288,10,0
GEN_DEDUP_258,10,1
GEN_DEDUP_314,10,0
GEN_DEDUP_142,10,0
GEN_DEDUP_235,10,0
GEN_DEDUP_264,10,0
GEN_DEDUP_244,10,0
GEN_DEDUP_256,10,0
GEN_DEDUP_253,10,0
GEN_DEDUP_191,10,0
GEN_DEDUP_316,10,0
GEN_DEDUP_248,10,0
GEN_DEDUP_266,10,0
GEN_DEDUP_300,10,1
GEN_DEDUP_97,10,0
GEN_DEDUP_270,10,10
GEN_DEDUP_341,10,1
GEN_DEDUP_244,10,0
GEN_DEDUP_321,10,0
GEN_DEDUP_339,10,0
GEN_DEDUP_252,10,0
GEN_DEDUP_247,10,0
GEN_DEDUP_243,10,0
GEN_DEDUP_263,10,0
GEN_DEDUP_205,10,0
GEN_DEDUP_220,10,1
GEN_DEDUP_200,10,1
GEN_DEDUP_287,10,1
GEN_DEDUP_275,10,0
GEN_DEDUP_291,10,0
GEN_DEDUP_224,10,0
GEN_DEDUP_281,10,1
GEN_DEDUP_298,10,0
GEN_DEDUP_148,10,0
GEN_DEDUP_229,10,0
GEN_DEDUP_130,10,1
GEN_DEDUP_300,10,1
GEN_DEDUP_263,10,0
GEN_DEDUP_216,10,0
GEN_DEDUP_242,10,10
GEN_DEDUP_197,10,10
GEN_DEDUP_324,10,0
GEN_DEDUP_269,10,1
GEN_DEDUP_188,10,0
GEN_DEDUP_297,10,1
GEN_DEDUP_296,10,0
GEN_DEDUP_302,10,0
GEN_DEDUP_250,10,0
GEN_DEDUP_197,10,10
GEN_DEDUP_325,10,0
GEN_DEDUP_250,10,10
GEN_DEDUP_290,10,0
GEN_DEDUP_357,10,0
GEN_DEDUP_285,10,1
GEN_DEDUP_386,10,0
GEN_DEDUP_228,10,0
GEN_DEDUP_161,10,0
GEN_DEDUP_266,10,0
GEN_DEDUP_215,10,10
GEN_DEDUP_248,10,2
GEN_DEDUP_250,10,10
GEN_DEDUP_229,10,0
GEN_DEDUP_256,10,0
GEN_DEDUP_273,10,0
GEN_DEDUP_287,10,1
GEN_DEDUP_279,10,0
GEN_DEDUP_165,10,0
GEN_DEDUP_336,10,1
GEN_DEDUP_375,10,0
GEN_DEDUP_209,10,1
GEN_DEDUP_271,10,1
GEN_DEDUP_209,10,10
GEN_DEDUP_259,10,0
GEN_DEDUP_227,10,10
GEN_DEDUP_258,10,1
GEN_DEDUP_397,10,0
GEN_DEDUP_384,10,0
GEN_DEDUP_407,10,0
GEN_DEDUP_286,10,1
GEN_DEDUP_221,10,10
GEN_DEDUP_224,10,0
GEN_DEDUP_247,10,0
GEN_DEDUP_208,10,0
GEN_DEDUP_306,10,1
GEN_DEDUP_274,10,0
GEN_DEDUP_297,10,1
GEN_DEDUP_240,10,0
GEN_DEDUP_240,10,10
GEN_DEDUP_323,10,0
GEN_DEDUP_299,10,1
GEN_DEDUP_341,10,1
GEN_DEDUP_226,10,0
GEN_DEDUP_325,10,0
GEN_DEDUP_188,10,0
GEN_DEDUP_141,10,0
GEN_DEDUP_222,10,0
GEN_DEDUP_191,10,0
GEN_DEDUP_205,10,0
GEN_DEDUP_205,10,10
GEN_DEDUP_262,10,0
GEN_DEDUP_153,10,0
GEN_DEDUP_219,10,0
GEN_DEDUP_337,10,1
GEN_DEDUP_216,10,0
GEN_DEDUP_190,10,0
GEN_DEDUP_190,10,10
GEN_DEDUP_179,10,0
GEN_DEDUP_259,10,1
GEN_DEDUP_314,10,0
GEN_DEDUP_267,10,0
GEN_DEDUP_175,10,1
GEN_DEDUP_306,10,1
GEN_DEDUP_220,10,1
GEN_DEDUP_179,10,0
GEN_DEDUP_234,10,1
GEN_DEDUP_325,10,0
GEN_DEDUP_212,10,0
GEN_DEDUP_333,10,0
GEN_DEDUP_242,10,10
GEN_DEDUP_266,10,0
GEN_DEDUP_346,10,1
GEN_DEDUP_270,10,10
GEN_DEDUP_216,10,0
GEN_DEDUP_237,10,1
GEN_DEDUP_337,10,1
GEN_DEDUP_231,10,3
GEN_DEDUP_212,10,0
GEN_DEDUP_91,10,0
GEN_DEDUP_251,10,0
GEN_DEDUP_295,10,0
GEN_DEDUP_249,10,0
GEN_DEDUP_295,10,10
GEN_DEDUP_209,10,10
GEN_DEDUP_336,10,1
GEN_DEDUP_345,10,1
GEN_DEDUP_136,10,0
GEN_DEDUP_193,10,0
GEN_DEDUP_280,10,10
GEN_DEDUP_201,10,0
GEN_DEDUP_232,10,1
GEN_DEDUP_215,10,10
GEN_DEDUP_240,10,10
GEN_DEDUP_288,10,1
GEN_DEDUP_232,10,10
GEN_DEDUP_286,10,1
GEN_DEDUP_268,10,0
GEN_DEDUP_298,10,0
GEN_DEDUP_252,10,0
GEN_DEDUP_272,10,2
GEN_DEDUP_299,10,1
GEN_DEDUP_241,10,1
GEN_DEDUP_291,10,0
GEN_DEDUP_326,10,0
GEN_DEDUP_270,10,10
GEN_DEDUP_199,10,0
GEN_DEDUP_189,10,0
GEN_DEDUP_196,10,0
GEN_DEDUP_221,10,10
GEN_DEDUP_258,10,1
GEN_DEDUP_287,10,1
GEN_DEDUP_216,10,0
GEN_DEDUP_282,10,1
GEN_DEDUP_118,10,0
GEN_DEDUP_243,10,0
GEN_DEDUP_278,10,0
GEN_DEDUP_169,10,2
GEN_DEDUP_324,10,0
GEN_DEDUP_161,10,0
GEN_DEDUP_305,10,0
GEN_DEDUP_280,10,10
GEN_DEDUP_168,10,1
GEN_DEDUP_271,10,1
GEN_DEDUP_344,10,0
GEN_DEDUP_289,10,0
GEN_DEDUP_265,10,2
GEN_DEDUP_229,10,0
GEN_DEDUP_296,10,1
GEN_DEDUP_310,10,0
GEN_DEDUP_186,10,0
GEN_DEDUP_171,10,1
GEN_DEDUP_309,10,0
GEN_DEDUP_132,10,0
GEN_DEDUP_267,10,0
GEN_DEDUP_302,10,0
GEN_DEDUP_263,10,0
GEN_DEDUP_241,10,1
GEN_DEDUP_187,10,1
GEN_DEDUP_183,10,0
GEN_DEDUP_192,10,1
GEN_DEDUP_324,10,0
GEN_DEDUP_224,10,0
GEN_DEDUP_320,10,0
GEN_DEDUP_232,10,1
GEN_DEDUP_297,10,1
GEN_DEDUP_293,10,0
GEN_DEDUP_203,10,0
GEN_DEDUP_232,10,10
GEN_DEDUP_355,10,1
GEN_DEDUP_182,10,0
GEN_DEDUP_270,10,10
GEN_DEDUP_307,10,1
GEN_DEDUP_138,10,1
GEN_DEDUP_208,10,0
GEN_DEDUP_199,10,0
GEN_DEDUP_191,10,0
GEN_DEDUP_279,10,0
GEN_DEDUP_185,10,0
GEN_DEDUP_112,10,0
GEN_DEDUP_213,10,0
GEN_DEDUP_186,10,0
GEN_DEDUP_257,10,1
GEN_DEDUP_458,10,1
GEN_DEDUP_283,10,0
GEN_DEDUP_288,10,1
GEN_DEDUP_234,10,1
GEN_DEDUP_188,10,0
GEN_DEDUP_163,10,0
GEN_DEDUP_194,10,1
GEN_DEDUP_175,10,1
GEN_DEDUP_266,10,1
GEN_DEDUP_259,10,1
GEN_DEDUP_232,10,1
GEN_DEDUP_290,10,0
GEN_DEDUP_301,10,1
GEN_DEDUP_234,10,1
GEN_DEDUP_132,10,0
GEN_DEDUP_311,10,1
GEN_DEDUP_221,10,10
GEN_DEDUP_176,10,0
GEN_DEDUP_215,10,10
GEN_DEDUP_335,10,0
GEN_DEDUP_298,10,0
GEN_DEDUP_274,10,1
GEN_DEDUP_307,10,1
GEN_DEDUP_294,10,0
GEN_DEDUP_249,10,0
GEN_DEDUP_224,10,0
GEN_DEDUP_232,10,1
GEN_DEDUP_306,10,2
GEN_DEDUP_277,10,1
GEN_DEDUP_210,10,0
GEN_DEDUP_151,10,0
GEN_DEDUP_132,10,0
GEN_DEDUP_229,10,0
GEN_DEDUP_295,10,4
GEN_DEDUP_292,10,0
GEN_DEDUP_248,10,2
GEN_DEDUP_165,10,1
GEN_DEDUP_210,10,0
GEN_DEDUP_294,10,0
GEN_DEDUP_240,10,10
GEN_DEDUP_266,10,1
GEN_DEDUP_250,10,10
GEN_DEDUP_215,10,10
GEN_DEDUP_278,10,0
GEN_DEDUP_273,10,0
GEN_DEDUP_192,10,1
GEN_DEDUP_178,10,0
GEN_DEDUP_283,10,0
GEN_DEDUP_209,10,10
GEN_DEDUP_315,10,1
GEN_DEDUP_136,10,1
GEN_DEDUP_282,10,1
GEN_DEDUP_172,10,0
GEN_DEDUP_231,10,3
GEN_DEDUP_345,10,1
GEN_DEDUP_257,10,1
GEN_DEDUP_300,10,1
GEN_DEDUP_382,10,0
GEN_DEDUP_193,10,0
GEN_DEDUP_239,10,0
GEN_DEDUP_240,10,10
GEN_DEDUP_215,10,10
GEN_DEDUP_286,10,1
GEN_DEDUP_270,10,10
GEN_DEDUP_222,10,0
GEN_DEDUP_258,10,1
GEN_DEDUP_353,10,0
GEN_DEDUP_256,10,0
GEN_DEDUP_261,10,10
GEN_DEDUP_208,10,1
GEN_DEDUP_224,10,0
GEN_DEDUP_349,10,0
GEN_DEDUP_218,10,0
GEN_DEDUP_265,10,2
GEN_DEDUP_273,10,0
GEN_DEDUP_235,10,0
GEN_DEDUP_242,10,10
