filename,n_blocks,cache_hits
GEN_DEDUP_14,10,1
GEN_DEDUP_7,10,0
GEN_DEDUP_377,10,0
GEN_DEDUP_291,10,1
GEN_DEDUP_64,10,3
GEN_DEDUP_375,10,1
GEN_DEDUP_258,10,1
GEN_DEDUP_92,10,3
GEN_DEDUP_161,10,1
GEN_DEDUP_478,10,4
GEN_DEDUP_241,10,2
GEN_DEDUP_469,10,1
GEN_DEDUP_218,10,5
GEN_DEDUP_347,10,3
GEN_DEDUP_321,10,3
GEN_DEDUP_301,10,2
GEN_DEDUP_23,10,6
GEN_DEDUP_302,10,5
GEN_DEDUP_306,10,6
GEN_DEDUP_366,10,3
GEN_DEDUP_453,10,4
GEN_DEDUP_297,10,4
GEN_DEDUP_221,10,3
GEN_DEDUP_173,10,4
GEN_DEDUP_356,10,5
GEN_DEDUP_420,10,6
GEN_DEDUP_388,10,6
GEN_DEDUP_231,10,5
GEN_DEDUP_363,10,5
GEN_DEDUP_20,10,10
GEN_DEDUP_266,10,6
GEN_DEDUP_196,10,5
GEN_DEDUP_85,10,4
GEN_DEDUP_173,10,10
GEN_DEDUP_148,10,7
GEN_DEDUP_257,10,4
GEN_DEDUP_204,10,5
GEN_DEDUP_253,10,8
GEN_DEDUP_421,10,5
GEN_DEDUP_391,10,5
GEN_DEDUP_303,10,5
GEN_DEDUP_439,10,7
GEN_DEDUP_470,10,7
GEN_DEDUP_322,10,5
GEN_DEDUP_337,10,6
GEN_DEDUP_357,10,7
GEN_DEDUP_187,10,5
GEN_DEDUP_140,10,8
GEN_DEDUP_179,10,6
GEN_DEDUP_418,10,7
GEN_DEDUP_117,10,9
GEN_DEDUP_349,10,7
GEN_DEDUP_194,10,6
GEN_DEDUP_252,10,5
GEN_DEDUP_339,10,7
GEN_DEDUP_173,10,10
GEN_DEDUP_371,10,8
GEN_DEDUP_316,10,7
GEN_DEDUP_442,10,5
GEN_DEDUP_41,10,8
GEN_DEDUP_123,10,9
GEN_DEDUP_262,10,7
GEN_DEDUP_462,10,7
GEN_DEDUP_391,10,10
GEN_DEDUP_377,10,10
GEN_DEDUP_117,10,10
GEN_DEDUP_358,10,9
GEN_DEDUP_215,10,9
GEN_DEDUP_389,10,6
GEN_DEDUP_176,10,8
GEN_DEDUP_105,10,8
