filename,chunk,inCache
file_253,5730ec60b2cbfa3720b40286c1bf47f4,0
file_253,caf6b2148810baa45cf150a2daaf1103,0
file_253,76974f492568b328c7b75513f9d7e1fc,0
file_253,2e1d549696a816b9dc7cff4a58e6c3e4,0
file_253,f379e3675e8db486d061578d729a7967,0
file_253,c8039f7b65c2c499826e33ef6687c251,0
file_253,76974f492568b328c7b75513f9d7e1fc,1
file_253,9e19115b1c6962bf3d2f00bd327872b2,0
file_253,e17cadb6efe8be193322cfe9639bd1a8,0
file_253,566b2a0d31df5e8e18bce9fb85c011fb,0
file_251,4da0889bc600031f2844ddff31826dca,0
file_251,c970b79b7a0f69e35dd2c92e27502eb4,0
file_251,9488368de61358de7cd3df467635058b,0
file_251,76974f492568b328c7b75513f9d7e1fc,1
file_251,035c18d97f1ad9ad2be4e03bac6ab165,0
file_251,ae171f7b46ba6533e8b8729a0b0c4605,0
file_251,972f581cd906a66f28eb18a70b316241,0
file_251,d79a3d00b1396b3175c0ddebcc8cbb53,0
file_251,607b5ba09d49a929d396a544dcce13ae,0
file_251,15f2ee5395b585817c4885c740184666,0
file_195,4da0889bc600031f2844ddff31826dca,1
file_195,f6f19f1a9be0693c2b3cd4ac2dc3a11f,0
file_195,c15780a9cf490603694fae2faf6b50c4,0
file_195,d40cec3f8c3d565477aadb362b31da6a,0
file_195,e17cadb6efe8be193322cfe9639bd1a8,1
file_195,f379e3675e8db486d061578d729a7967,1
file_195,2e1d549696a816b9dc7cff4a58e6c3e4,1
file_195,f379e3675e8db486d061578d729a7967,1
file_195,b10b8c02113daa65826910df3d777672,0
file_195,1e37d3a4ce2bb59f1783620b1f052a04,0
file_337,84975045665a4ba03ed6408ce386947e,0
file_337,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_337,d644fad4982995c7d501b2dd81eff7ba,0
file_337,a60b96be63fcd4caaf2aadee1a4744fc,0
file_337,65447f4bd605235ceaa00062a1517a34,0
file_337,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_337,e17cadb6efe8be193322cfe9639bd1a8,1
file_337,8c11095c2d97a3ed1f08f105278e4d46,0
file_337,a4382d74f3a2d6563b169df4877f218a,0
file_337,4da0889bc600031f2844ddff31826dca,1
file_276,a60b96be63fcd4caaf2aadee1a4744fc,1
file_276,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_276,c135838766923745ae09b3adc910eb04,0
file_276,e166ca2c4c9c51f3d96511c4dfd48563,0
file_276,7f78ab2db6d7e3729228a0bceb05d9fd,0
file_276,972f581cd906a66f28eb18a70b316241,1
file_276,972f581cd906a66f28eb18a70b316241,1
file_276,8a37e603d1f1d04043f1ff7b8940c64c,0
file_276,c135838766923745ae09b3adc910eb04,1
file_276,3737e77ac24e97dc105e061884f41b85,0
file_241,4da0889bc600031f2844ddff31826dca,1
file_241,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_241,1e37d3a4ce2bb59f1783620b1f052a04,1
file_241,a60b96be63fcd4caaf2aadee1a4744fc,1
file_241,9488368de61358de7cd3df467635058b,1
file_241,972f581cd906a66f28eb18a70b316241,1
file_241,da410b974ce4d101bc490b602b814db2,0
file_241,e17cadb6efe8be193322cfe9639bd1a8,1
file_241,84975045665a4ba03ed6408ce386947e,1
file_241,8c11095c2d97a3ed1f08f105278e4d46,1
file_270,239365c168c25843df2aef0b95e45d36,0
file_270,f379e3675e8db486d061578d729a7967,1
file_270,65447f4bd605235ceaa00062a1517a34,1
file_270,84975045665a4ba03ed6408ce386947e,1
file_270,112fab7cd7694d0e06123351f2c241a4,0
file_270,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_270,8a35a9dbecff8575fb55cb1497197a65,0
file_270,4c01e073e2b06c4b702b0e4bfaa7e313,0
file_270,65447f4bd605235ceaa00062a1517a34,1
file_270,1e37d3a4ce2bb59f1783620b1f052a04,1
file_326,972f581cd906a66f28eb18a70b316241,1
file_326,c15780a9cf490603694fae2faf6b50c4,1
file_326,607b5ba09d49a929d396a544dcce13ae,1
file_326,239365c168c25843df2aef0b95e45d36,1
file_326,5730ec60b2cbfa3720b40286c1bf47f4,1
file_326,4f5412696a05cf09dcd547071e549390,0
file_326,7ef2ffa16de7d7b445dee48bc16fb95c,0
file_326,b7ddf79a4cf4018389101babe2804816,0
file_326,f3e9a937984a273be635419565bbe727,0
file_326,caf6b2148810baa45cf150a2daaf1103,1
file_310,5c4e750e3bfa0cbac1d99ebd13a7a40f,0
file_310,a8ec5f7914700170a754736356e86fab,0
file_310,b7ddf79a4cf4018389101babe2804816,1
file_310,db4806a3d1e34e5ee56f5c45d0a7f4f4,0
file_310,ae78c66807851c2d5f5e6113b3d65b27,0
file_310,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_310,a8ec5f7914700170a754736356e86fab,1
file_310,f3e9a937984a273be635419565bbe727,1
file_310,bf41ffa6b19826ff503c8a157ea448e2,0
file_310,7f78ab2db6d7e3729228a0bceb05d9fd,1
file_362,84975045665a4ba03ed6408ce386947e,1
file_362,5730ec60b2cbfa3720b40286c1bf47f4,1
file_362,1e37d3a4ce2bb59f1783620b1f052a04,1
file_362,caf6b2148810baa45cf150a2daaf1103,1
file_362,4da0889bc600031f2844ddff31826dca,1
file_362,b7ddf79a4cf4018389101babe2804816,1
file_362,caf6b2148810baa45cf150a2daaf1103,1
file_362,f2e013747199d80f906378dfcd667945,0
file_362,d644fad4982995c7d501b2dd81eff7ba,1
file_362,4da0889bc600031f2844ddff31826dca,1
file_232,f379e3675e8db486d061578d729a7967,1
file_232,84975045665a4ba03ed6408ce386947e,1
file_232,239365c168c25843df2aef0b95e45d36,1
file_232,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_232,7ef2ffa16de7d7b445dee48bc16fb95c,1
file_232,d32ba00f9fdccbd2d67392c4b9ed3cd3,0
file_232,d32ba00f9fdccbd2d67392c4b9ed3cd3,1
file_232,03d7acd6ee4085e1a20641a037876da2,0
file_232,4da0889bc600031f2844ddff31826dca,1
file_232,e17cadb6efe8be193322cfe9639bd1a8,1
file_228,ae78c66807851c2d5f5e6113b3d65b27,1
file_228,7f78ab2db6d7e3729228a0bceb05d9fd,1
file_228,c135838766923745ae09b3adc910eb04,1
file_228,a60b96be63fcd4caaf2aadee1a4744fc,1
file_228,ae171f7b46ba6533e8b8729a0b0c4605,1
file_228,f379e3675e8db486d061578d729a7967,1
file_228,9e19115b1c6962bf3d2f00bd327872b2,1
file_228,239365c168c25843df2aef0b95e45d36,1
file_228,f2e013747199d80f906378dfcd667945,1
file_228,607b5ba09d49a929d396a544dcce13ae,1
file_339,f379e3675e8db486d061578d729a7967,1
file_339,9488368de61358de7cd3df467635058b,1
file_339,e17cadb6efe8be193322cfe9639bd1a8,1
file_339,7ef2ffa16de7d7b445dee48bc16fb95c,1
file_339,a4382d74f3a2d6563b169df4877f218a,1
file_339,65447f4bd605235ceaa00062a1517a34,1
file_339,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_339,4da0889bc600031f2844ddff31826dca,1
file_339,a60b96be63fcd4caaf2aadee1a4744fc,1
file_339,8a35a9dbecff8575fb55cb1497197a65,1
file_294,65447f4bd605235ceaa00062a1517a34,1
file_294,83bff14a7890a2ecb0e2720111a9bfcc,0
file_294,a4382d74f3a2d6563b169df4877f218a,1
file_294,e17cadb6efe8be193322cfe9639bd1a8,1
file_294,5c4e750e3bfa0cbac1d99ebd13a7a40f,1
file_294,84975045665a4ba03ed6408ce386947e,1
file_294,e166ca2c4c9c51f3d96511c4dfd48563,1
file_294,1e37d3a4ce2bb59f1783620b1f052a04,1
file_294,84975045665a4ba03ed6408ce386947e,1
file_294,a369ae2852d13e21878bc07cc9d831c5,0
file_277,3737e77ac24e97dc105e061884f41b85,0
file_277,a8ec5f7914700170a754736356e86fab,1
file_277,4da0889bc600031f2844ddff31826dca,1
file_277,035c18d97f1ad9ad2be4e03bac6ab165,1
file_277,239365c168c25843df2aef0b95e45d36,1
file_277,b10b8c02113daa65826910df3d777672,0
file_277,3737e77ac24e97dc105e061884f41b85,1
file_277,b10b8c02113daa65826910df3d777672,1
file_277,c37c9ac21146dd74c117f43c3fd4e878,0
file_277,cd716f0f35ccaf1a474a8786acbc4bbd,0
file_365,8c11095c2d97a3ed1f08f105278e4d46,1
file_365,c970b79b7a0f69e35dd2c92e27502eb4,0
file_365,65447f4bd605235ceaa00062a1517a34,1
file_365,d644fad4982995c7d501b2dd81eff7ba,1
file_365,c37c9ac21146dd74c117f43c3fd4e878,1
file_365,035c18d97f1ad9ad2be4e03bac6ab165,1
file_365,76974f492568b328c7b75513f9d7e1fc,1
file_365,b332485bc6885dbc03c09f14a7c8c723,0
file_365,7ef2ffa16de7d7b445dee48bc16fb95c,1
file_365,a60b96be63fcd4caaf2aadee1a4744fc,1
file_344,d644fad4982995c7d501b2dd81eff7ba,1
file_344,8c11095c2d97a3ed1f08f105278e4d46,1
file_344,83bff14a7890a2ecb0e2720111a9bfcc,1
file_344,76974f492568b328c7b75513f9d7e1fc,1
file_344,5730ec60b2cbfa3720b40286c1bf47f4,1
file_344,239365c168c25843df2aef0b95e45d36,1
file_344,972f581cd906a66f28eb18a70b316241,1
file_344,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_344,8a35a9dbecff8575fb55cb1497197a65,1
file_344,7f78ab2db6d7e3729228a0bceb05d9fd,1
file_137,03d7acd6ee4085e1a20641a037876da2,1
file_137,d32ba00f9fdccbd2d67392c4b9ed3cd3,1
file_137,2e1d549696a816b9dc7cff4a58e6c3e4,1
file_137,e166ca2c4c9c51f3d96511c4dfd48563,1
file_137,5730ec60b2cbfa3720b40286c1bf47f4,1
file_137,03d7acd6ee4085e1a20641a037876da2,1
file_137,cd716f0f35ccaf1a474a8786acbc4bbd,1
file_137,c970b79b7a0f69e35dd2c92e27502eb4,1
file_137,c135838766923745ae09b3adc910eb04,1
file_137,c970b79b7a0f69e35dd2c92e27502eb4,1
file_299,a4382d74f3a2d6563b169df4877f218a,1
file_299,1e37d3a4ce2bb59f1783620b1f052a04,1
file_299,1e37d3a4ce2bb59f1783620b1f052a04,1
file_299,c135838766923745ae09b3adc910eb04,1
file_299,ae78c66807851c2d5f5e6113b3d65b27,1
file_299,65447f4bd605235ceaa00062a1517a34,1
file_299,84975045665a4ba03ed6408ce386947e,1
file_299,5f459e04414d56cfb8588fc87df4ceb5,0
file_299,03d7acd6ee4085e1a20641a037876da2,1
file_299,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_187,c970b79b7a0f69e35dd2c92e27502eb4,1
file_187,f379e3675e8db486d061578d729a7967,1
file_187,352fc1c243db50e2851301eb7737dc44,0
file_187,e166ca2c4c9c51f3d96511c4dfd48563,1
file_187,c8039f7b65c2c499826e33ef6687c251,1
file_187,42d75fa6e72e57a28010aa067b4c8b49,0
file_187,84975045665a4ba03ed6408ce386947e,1
file_187,cd716f0f35ccaf1a474a8786acbc4bbd,0
file_187,3c33f5c88d7b31d37f49e5ff2fd5be43,0
file_187,d644fad4982995c7d501b2dd81eff7ba,1
file_220,4da0889bc600031f2844ddff31826dca,1
file_220,ae78c66807851c2d5f5e6113b3d65b27,1
file_220,8a37e603d1f1d04043f1ff7b8940c64c,0
file_220,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_220,1e37d3a4ce2bb59f1783620b1f052a04,1
file_220,f379e3675e8db486d061578d729a7967,1
file_220,d32ba00f9fdccbd2d67392c4b9ed3cd3,1
file_220,d32ba00f9fdccbd2d67392c4b9ed3cd3,1
file_220,7c42165b54be931b74f744010efc9f18,0
file_220,d79a3d00b1396b3175c0ddebcc8cbb53,0
file_228,ae78c66807851c2d5f5e6113b3d65b27,1
file_228,7f78ab2db6d7e3729228a0bceb05d9fd,1
file_228,c135838766923745ae09b3adc910eb04,1
file_228,a60b96be63fcd4caaf2aadee1a4744fc,1
file_228,ae171f7b46ba6533e8b8729a0b0c4605,1
file_228,f379e3675e8db486d061578d729a7967,1
file_228,9e19115b1c6962bf3d2f00bd327872b2,1
file_228,239365c168c25843df2aef0b95e45d36,1
file_228,f2e013747199d80f906378dfcd667945,1
file_228,607b5ba09d49a929d396a544dcce13ae,1
file_147,9488368de61358de7cd3df467635058b,1
file_147,4da0889bc600031f2844ddff31826dca,1
file_147,112fab7cd7694d0e06123351f2c241a4,0
file_147,b10b8c02113daa65826910df3d777672,1
file_147,4886c4afbfcb3505352cdfd27dea681b,0
file_147,f379e3675e8db486d061578d729a7967,1
file_147,f379e3675e8db486d061578d729a7967,1
file_147,035c18d97f1ad9ad2be4e03bac6ab165,1
file_147,d644fad4982995c7d501b2dd81eff7ba,1
file_147,e166ca2c4c9c51f3d96511c4dfd48563,1
file_267,3737e77ac24e97dc105e061884f41b85,1
file_267,4886c4afbfcb3505352cdfd27dea681b,1
file_267,d32ba00f9fdccbd2d67392c4b9ed3cd3,1
file_267,f379e3675e8db486d061578d729a7967,1
file_267,a60b96be63fcd4caaf2aadee1a4744fc,1
file_267,a60b96be63fcd4caaf2aadee1a4744fc,1
file_267,97035abdce07a60070089e824c1cd77c,0
file_267,239365c168c25843df2aef0b95e45d36,1
file_267,83bff14a7890a2ecb0e2720111a9bfcc,0
file_267,972f581cd906a66f28eb18a70b316241,1
file_293,f3e9a937984a273be635419565bbe727,1
file_293,972f581cd906a66f28eb18a70b316241,1
file_293,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_293,f379e3675e8db486d061578d729a7967,1
file_293,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_293,03d7acd6ee4085e1a20641a037876da2,1
file_293,c970b79b7a0f69e35dd2c92e27502eb4,1
file_293,f2e013747199d80f906378dfcd667945,1
file_293,ae78c66807851c2d5f5e6113b3d65b27,1
file_293,a8ec5f7914700170a754736356e86fab,1
file_154,65447f4bd605235ceaa00062a1517a34,1
file_154,607b5ba09d49a929d396a544dcce13ae,1
file_154,e17cadb6efe8be193322cfe9639bd1a8,1
file_154,239365c168c25843df2aef0b95e45d36,1
file_154,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_154,e17cadb6efe8be193322cfe9639bd1a8,1
file_154,42d75fa6e72e57a28010aa067b4c8b49,1
file_154,112fab7cd7694d0e06123351f2c241a4,1
file_154,65447f4bd605235ceaa00062a1517a34,1
file_154,3737e77ac24e97dc105e061884f41b85,1
file_221,112fab7cd7694d0e06123351f2c241a4,1
file_221,c970b79b7a0f69e35dd2c92e27502eb4,1
file_221,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_221,b7ddf79a4cf4018389101babe2804816,1
file_221,e17cadb6efe8be193322cfe9639bd1a8,1
