filename,n_blocks,cache_hits
CODED_324,10,0
CODED_190,10,0
CODED_14,10,0
CODED_24,10,0
CODED_282,10,0
CODED_198,10,0
CODED_288,10,0
CODED_283,10,0
CODED_341,10,0
CODED_349,10,0
CODED_350,10,0
CODED_147,10,0
CODED_223,10,0
CODED_291,10,0
CODED_130,10,0
CODED_334,10,0
CODED_246,10,0
CODED_147,10,10
CODED_312,10,0
CODED_401,10,0
CODED_53,10,0
CODED_323,10,0
CODED_153,10,0
CODED_247,10,0
CODED_55,10,0
CODED_243,10,0
CODED_234,10,0
CODED_190,10,10
CODED_20,10,0
CODED_300,10,0
CODED_369,10,0
CODED_287,10,0
CODED_197,10,0
CODED_465,10,0
CODED_405,10,0
CODED_290,10,0
CODED_337,10,0
CODED_484,10,0
CODED_117,10,0
CODED_368,10,0
CODED_264,10,0
CODED_123,10,0
CODED_458,10,0
CODED_338,10,0
CODED_168,10,0
CODED_330,10,0
CODED_138,10,0
CODED_46,10,0
CODED_38,10,0
CODED_67,10,0
CODED_237,10,0
CODED_47,10,0
CODED_118,10,0
CODED_300,10,10
CODED_430,10,0
CODED_75,10,0
CODED_94,10,0
CODED_158,10,0
CODED_233,10,0
CODED_376,10,0
CODED_362,10,0
CODED_88,10,0
CODED_384,10,0
CODED_217,10,0
CODED_187,10,0
CODED_36,10,0
CODED_411,10,0
CODED_356,10,0
CODED_238,10,0
CODED_203,10,0
CODED_165,10,0
CODED_404,10,0
CODED_379,10,0
CODED_466,10,0
CODED_5,10,0
CODED_466,10,10
CODED_228,10,0
CODED_132,10,0
CODED_116,10,0
CODED_388,10,0
CODED_296,10,0
CODED_354,10,0
CODED_101,10,0
CODED_174,10,0
CODED_240,10,0
CODED_356,10,10
CODED_453,10,0
CODED_45,10,0
CODED_479,10,0
CODED_128,10,0
CODED_171,10,0
CODED_429,10,0
CODED_417,10,0
CODED_311,10,0
CODED_298,10,0
CODED_96,10,0
CODED_206,10,0
CODED_291,10,10
CODED_377,10,0
CODED_155,10,0
CODED_362,10,10
CODED_248,10,0
CODED_309,10,0
CODED_304,10,0
CODED_1,10,0
CODED_180,10,0
CODED_69,10,0
CODED_298,10,10
CODED_353,10,0
CODED_233,10,10
CODED_462,10,0
CODED_24,10,10
CODED_110,10,0
CODED_324,10,10
CODED_92,10,0
CODED_246,10,10
CODED_40,10,0
CODED_84,10,0
CODED_352,10,0
CODED_111,10,0
CODED_204,10,0
CODED_288,10,10
CODED_209,10,0
CODED_229,10,0
CODED_238,10,10
CODED_434,10,0
CODED_244,10,0
CODED_17,10,0
CODED_33,10,0
CODED_387,10,0
CODED_113,10,0
CODED_190,10,10
CODED_211,10,0
CODED_58,10,0
CODED_182,10,0
CODED_117,10,10
CODED_258,10,0
CODED_92,10,8
CODED_8,10,0
CODED_215,10,0
CODED_241,10,0
CODED_59,10,0
CODED_428,10,0
CODED_27,10,0
CODED_310,10,0
CODED_78,10,0
CODED_390,10,0
CODED_387,10,8
CODED_167,10,0
CODED_372,10,0
CODED_467,10,0
CODED_144,10,0
CODED_355,10,0
CODED_366,10,0
CODED_57,10,0
CODED_232,10,0
CODED_242,10,0
CODED_219,10,0
CODED_287,10,10
CODED_111,10,8
CODED_110,10,9
CODED_241,10,7
CODED_138,10,10
CODED_366,10,6
CODED_180,10,9
CODED_389,10,0
CODED_254,10,0
CODED_139,10,0
CODED_157,10,0
CODED_298,10,10
CODED_203,10,10
CODED_105,10,0
CODED_402,10,0
CODED_463,10,0
CODED_125,10,0
CODED_294,10,0
CODED_56,10,0
CODED_94,10,10
CODED_22,10,0
CODED_299,10,0
CODED_293,10,0
CODED_162,10,0
CODED_264,10,10
CODED_223,10,10
CODED_47,10,10
CODED_340,10,0
CODED_102,10,0
CODED_243,10,10
CODED_175,10,0
CODED_365,10,0
CODED_301,10,0
CODED_294,10,6
CODED_255,10,0
CODED_334,10,10
CODED_242,10,6
CODED_165,10,10
CODED_11,10,0
CODED_248,10,10
CODED_352,10,8
CODED_281,10,0
CODED_345,10,0
CODED_269,10,0
CODED_170,10,0
CODED_93,10,0
CODED_240,10,10
CODED_414,10,0
CODED_497,10,0
CODED_363,10,0
CODED_234,10,10
CODED_263,10,0
CODED_226,10,0
CODED_314,10,0
CODED_297,10,0
CODED_231,10,0
CODED_297,10,5
CODED_238,10,10
CODED_169,10,0
CODED_241,10,10
CODED_355,10,6
CODED_85,10,0
CODED_108,10,0
CODED_310,10,7
CODED_35,10,0
CODED_63,10,0
CODED_494,10,0
CODED_175,10,5
CODED_47,10,10
CODED_223,10,10
CODED_209,10,8
CODED_148,10,0
CODED_141,10,0
CODED_369,10,10
CODED_283,10,10
CODED_219,10,6
CODED_292,10,0
CODED_341,10,10
CODED_97,10,0
CODED_248,10,10
CODED_220,10,0
CODED_400,10,0
CODED_318,10,0
CODED_313,10,0
CODED_315,10,0
CODED_334,10,10
CODED_195,10,0
CODED_205,10,0
CODED_312,10,10
CODED_195,10,4
CODED_224,10,0
CODED_40,10,8
CODED_191,10,0
CODED_215,10,7
CODED_141,10,4
CODED_196,10,0
CODED_235,10,0
CODED_98,10,0
CODED_264,10,10
CODED_240,10,10
CODED_324,10,10
CODED_336,10,0
CODED_351,10,0
CODED_377,10,10
CODED_112,10,0
CODED_168,10,10
CODED_166,10,0
CODED_333,10,0
CODED_147,10,10
CODED_190,10,10
CODED_126,10,0
CODED_256,10,0
CODED_58,10,7
CODED_254,10,6
CODED_247,10,10
CODED_283,10,10
CODED_218,10,0
CODED_94,10,10
CODED_270,10,0
CODED_400,10,4
CODED_401,10,10
CODED_303,10,0
CODED_362,10,10
CODED_146,10,0
CODED_271,10,0
CODED_89,10,0
CODED_207,10,0
CODED_228,10,10
CODED_211,10,7
CODED_274,10,0
CODED_291,10,10
CODED_381,10,0
CODED_371,10,0
CODED_0,10,0
CODED_490,10,0
CODED_240,10,10
CODED_316,10,0
CODED_424,10,0
CODED_305,10,0
CODED_195,10,8
CODED_267,10,0
CODED_297,10,9
CODED_207,10,3
CODED_124,10,0
CODED_64,10,0
CODED_219,10,8
CODED_77,10,0
CODED_42,10,0
CODED_339,10,0
CODED_421,10,0
CODED_190,10,10
CODED_454,10,0
CODED_134,10,0
CODED_105,10,6
CODED_308,10,0
CODED_401,10,10
CODED_346,10,0
CODED_367,10,0
CODED_300,10,10
CODED_470,10,0
CODED_434,10,8
CODED_52,10,0
CODED_155,10,10
CODED_127,10,0
CODED_410,10,0
CODED_327,10,0
CODED_167,10,7
CODED_110,10,10
CODED_251,10,0
CODED_238,10,10
CODED_266,10,0
CODED_390,10,7
CODED_135,10,0
CODED_53,10,10
CODED_79,10,0
CODED_110,10,10
CODED_252,10,0
CODED_356,10,10
CODED_220,10,4
CODED_384,10,10
CODED_58,10,7
CODED_405,10,10
CODED_251,10,3
CODED_491,10,0
CODED_136,10,0
CODED_143,10,0
CODED_226,10,5
CODED_201,10,0
CODED_310,10,9
CODED_309,10,9
CODED_242,10,10
CODED_65,10,0
CODED_43,10,0
CODED_250,10,0
CODED_97,10,4
CODED_122,10,0
CODED_492,10,0
CODED_190,10,10
CODED_232,10,6
CODED_481,10,0
CODED_307,10,0
CODED_224,10,4
CODED_393,10,0
CODED_233,10,10
CODED_458,10,10
CODED_152,10,0
CODED_234,10,10
CODED_243,10,10
CODED_319,10,0
CODED_493,10,0
CODED_314,10,5
CODED_466,10,10
CODED_261,10,0
CODED_261,10,3
CODED_407,10,0
CODED_87,10,0
CODED_422,10,0
CODED_176,10,0
CODED_147,10,10
CODED_245,10,0
CODED_105,10,6
CODED_114,10,0
CODED_310,10,8
CODED_260,10,0
CODED_307,10,3
CODED_275,10,0
CODED_95,10,0
CODED_4,10,0
CODED_9,10,0
CODED_58,10,9
CODED_302,10,0
CODED_374,10,0
CODED_29,10,0
CODED_207,10,7
CODED_366,10,10
CODED_331,10,0
CODED_401,10,10
CODED_403,10,0
CODED_413,10,0
CODED_187,10,10
CODED_250,10,3
CODED_116,10,10
CODED_209,10,9
CODED_141,10,8
CODED_297,10,10
CODED_253,10,0
CODED_318,10,4
CODED_392,10,0
CODED_364,10,0
CODED_224,10,5
CODED_211,10,7
CODED_473,10,0
CODED_35,10,4
CODED_221,10,0
CODED_306,10,0
CODED_306,10,2
CODED_56,10,6
CODED_40,10,8
CODED_85,10,4
CODED_241,10,10
CODED_372,10,7
CODED_290,10,10
CODED_145,10,0
CODED_235,10,4
CODED_379,10,10
CODED_187,10,10
CODED_21,10,0
CODED_316,10,3
CODED_192,10,0
CODED_189,10,0
CODED_337,10,10
CODED_245,10,3
CODED_415,10,0
CODED_497,10,5
CODED_252,10,3
CODED_158,10,10
CODED_214,10,0
CODED_377,10,10
CODED_1,10,9
CODED_448,10,0
CODED_18,10,0
CODED_277,10,0
CODED_209,10,7
CODED_265,10,0
CODED_334,10,10
CODED_152,10,3
CODED_429,10,10
CODED_369,10,10
CODED_91,10,0
CODED_121,10,0
CODED_385,10,0
CODED_485,10,0
CODED_203,10,10
CODED_365,10,5
CODED_241,10,10
CODED_456,10,0
CODED_272,10,0
CODED_491,10,3
CODED_480,10,0
CODED_268,10,0
CODED_227,10,0
CODED_131,10,0
CODED_206,10,10
CODED_261,10,5
CODED_231,10,5
CODED_261,10,6
CODED_192,10,2
CODED_245,10,5
CODED_364,10,2
CODED_282,10,10
CODED_346,10,3
CODED_263,10,5
