filename,n_blocks,cache_hits
DEDUP_SD2500_342,10,0
DEDUP_SD2500_318,10,0
DEDUP_SD2500_286,10,0
DEDUP_SD2500_241,10,0
DEDUP_SD2500_271,10,0
DEDUP_SD2500_312,10,0
DEDUP_SD2500_243,10,0
DEDUP_SD2500_182,10,0
DEDUP_SD2500_181,10,0
DEDUP_SD2500_323,10,0
DEDUP_SD2500_322,10,0
DEDUP_SD2500_250,10,0
DEDUP_SD2500_331,10,0
DEDUP_SD2500_249,10,0
DEDUP_SD2500_331,10,0
DEDUP_SD2500_276,10,0
DEDUP_SD2500_231,10,0
DEDUP_SD2500_275,10,0
DEDUP_SD2500_155,10,0
DEDUP_SD2500_222,10,0
DEDUP_SD2500_243,10,0
DEDUP_SD2500_174,10,0
DEDUP_SD2500_317,10,0
DEDUP_SD2500_213,10,0
DEDUP_SD2500_192,10,0
DEDUP_SD2500_214,10,0
DEDUP_SD2500_209,10,0
DEDUP_SD2500_176,10,0
DEDUP_SD2500_263,10,0
DEDUP_SD2500_380,10,0
DEDUP_SD2500_218,10,0
DEDUP_SD2500_157,10,0
DEDUP_SD2500_237,10,0
DEDUP_SD2500_283,10,0
DEDUP_SD2500_224,10,0
DEDUP_SD2500_225,10,0
DEDUP_SD2500_324,10,0
DEDUP_SD2500_285,10,0
DEDUP_SD2500_348,10,0
DEDUP_SD2500_145,10,0
DEDUP_SD2500_234,10,0
DEDUP_SD2500_242,10,0
DEDUP_SD2500_177,10,0
DEDUP_SD2500_258,10,0
DEDUP_SD2500_247,10,0
DEDUP_SD2500_179,10,0
DEDUP_SD2500_256,10,0
DEDUP_SD2500_183,10,0
DEDUP_SD2500_186,10,0
DEDUP_SD2500_227,10,0
DEDUP_SD2500_229,10,0
DEDUP_SD2500_198,10,0
DEDUP_SD2500_204,10,0
DEDUP_SD2500_351,10,0
DEDUP_SD2500_332,10,0
DEDUP_SD2500_383,10,0
DEDUP_SD2500_169,10,0
DEDUP_SD2500_305,10,0
DEDUP_SD2500_127,10,0
DEDUP_SD2500_233,10,0
DEDUP_SD2500_261,10,0
DEDUP_SD2500_170,10,0
DEDUP_SD2500_93,10,0
DEDUP_SD2500_52,10,0
DEDUP_SD2500_122,10,0
DEDUP_SD2500_299,10,0
DEDUP_SD2500_376,10,0
DEDUP_SD2500_157,10,0
DEDUP_SD2500_273,10,0
DEDUP_SD2500_294,10,0
DEDUP_SD2500_225,10,0
DEDUP_SD2500_160,10,0
DEDUP_SD2500_253,10,0
DEDUP_SD2500_238,10,0
DEDUP_SD2500_183,10,0
DEDUP_SD2500_42,10,0
DEDUP_SD2500_371,10,0
DEDUP_SD2500_293,10,0
DEDUP_SD2500_277,10,0
DEDUP_SD2500_216,10,0
DEDUP_SD2500_303,10,0
DEDUP_SD2500_287,10,0
DEDUP_SD2500_335,10,0
DEDUP_SD2500_317,10,0
DEDUP_SD2500_331,10,0
DEDUP_SD2500_256,10,0
DEDUP_SD2500_238,10,0
DEDUP_SD2500_228,10,0
DEDUP_SD2500_173,10,0
DEDUP_SD2500_118,10,0
DEDUP_SD2500_281,10,0
DEDUP_SD2500_246,10,0
DEDUP_SD2500_157,10,0
DEDUP_SD2500_329,10,0
DEDUP_SD2500_179,10,0
DEDUP_SD2500_265,10,0
DEDUP_SD2500_298,10,0
DEDUP_SD2500_282,10,0
DEDUP_SD2500_224,10,0
DEDUP_SD2500_243,10,0
DEDUP_SD2500_236,10,0
DEDUP_SD2500_246,10,0
DEDUP_SD2500_268,10,0
DEDUP_SD2500_213,10,0
DEDUP_SD2500_189,10,0
DEDUP_SD2500_317,10,0
DEDUP_SD2500_256,10,0
DEDUP_SD2500_123,10,0
DEDUP_SD2500_436,10,0
DEDUP_SD2500_351,10,0
DEDUP_SD2500_336,10,0
DEDUP_SD2500_319,10,0
DEDUP_SD2500_345,10,0
DEDUP_SD2500_109,10,0
DEDUP_SD2500_274,10,0
DEDUP_SD2500_328,10,0
DEDUP_SD2500_207,10,0
DEDUP_SD2500_178,10,0
DEDUP_SD2500_254,10,0
DEDUP_SD2500_360,10,0
DEDUP_SD2500_183,10,0
DEDUP_SD2500_241,10,0
DEDUP_SD2500_419,10,0
DEDUP_SD2500_276,10,0
DEDUP_SD2500_269,10,0
DEDUP_SD2500_357,10,0
DEDUP_SD2500_43,10,0
DEDUP_SD2500_337,10,0
DEDUP_SD2500_159,10,0
DEDUP_SD2500_290,10,0
DEDUP_SD2500_264,10,0
DEDUP_SD2500_90,10,0
DEDUP_SD2500_354,10,0
DEDUP_SD2500_263,10,0
DEDUP_SD2500_307,10,0
DEDUP_SD2500_239,10,0
DEDUP_SD2500_292,10,0
DEDUP_SD2500_319,10,0
DEDUP_SD2500_131,10,0
DEDUP_SD2500_345,10,0
DEDUP_SD2500_296,10,0
DEDUP_SD2500_330,10,0
DEDUP_SD2500_290,10,0
DEDUP_SD2500_436,10,0
DEDUP_SD2500_296,10,0
DEDUP_SD2500_214,10,0
DEDUP_SD2500_244,10,0
DEDUP_SD2500_295,10,0
DEDUP_SD2500_290,10,0
DEDUP_SD2500_411,10,0
DEDUP_SD2500_200,10,0
DEDUP_SD2500_317,10,0
DEDUP_SD2500_174,10,0
DEDUP_SD2500_278,10,0
DEDUP_SD2500_423,10,0
DEDUP_SD2500_224,10,0
DEDUP_SD2500_333,10,0
DEDUP_SD2500_320,10,0
DEDUP_SD2500_162,10,0
DEDUP_SD2500_227,10,0
DEDUP_SD2500_170,10,0
DEDUP_SD2500_313,10,0
DEDUP_SD2500_262,10,0
DEDUP_SD2500_216,10,0
DEDUP_SD2500_301,10,0
DEDUP_SD2500_120,10,0
DEDUP_SD2500_353,10,0
DEDUP_SD2500_235,10,0
DEDUP_SD2500_190,10,0
DEDUP_SD2500_223,10,0
DEDUP_SD2500_207,10,0
DEDUP_SD2500_254,10,0
DEDUP_SD2500_344,10,0
DEDUP_SD2500_271,10,0
DEDUP_SD2500_147,10,0
DEDUP_SD2500_199,10,0
DEDUP_SD2500_207,10,0
DEDUP_SD2500_139,10,0
DEDUP_SD2500_240,10,0
DEDUP_SD2500_101,10,0
DEDUP_SD2500_196,10,0
DEDUP_SD2500_114,10,0
DEDUP_SD2500_251,10,0
DEDUP_SD2500_119,10,0
DEDUP_SD2500_172,10,0
DEDUP_SD2500_138,10,0
DEDUP_SD2500_244,10,0
DEDUP_SD2500_370,10,0
DEDUP_SD2500_135,10,0
DEDUP_SD2500_175,10,0
DEDUP_SD2500_238,10,0
DEDUP_SD2500_310,10,0
DEDUP_SD2500_240,10,0
DEDUP_SD2500_231,10,0
DEDUP_SD2500_308,10,0
DEDUP_SD2500_231,10,0
DEDUP_SD2500_421,10,0
DEDUP_SD2500_271,10,0
DEDUP_SD2500_270,10,0
DEDUP_SD2500_174,10,0
DEDUP_SD2500_239,10,0
DEDUP_SD2500_195,10,0
DEDUP_SD2500_56,10,0
DEDUP_SD2500_13,10,0
DEDUP_SD2500_380,10,0
DEDUP_SD2500_234,10,0
DEDUP_SD2500_205,10,0
DEDUP_SD2500_334,10,0
DEDUP_SD2500_161,10,0
DEDUP_SD2500_196,10,0
DEDUP_SD2500_342,10,0
DEDUP_SD2500_207,10,0
DEDUP_SD2500_253,10,0
DEDUP_SD2500_184,10,0
DEDUP_SD2500_204,10,0
DEDUP_SD2500_263,10,0
DEDUP_SD2500_391,10,0
DEDUP_SD2500_119,10,0
DEDUP_SD2500_251,10,0
DEDUP_SD2500_309,10,0
DEDUP_SD2500_308,10,0
DEDUP_SD2500_312,10,0
DEDUP_SD2500_238,10,0
