filename,n_blocks,cache_hits
DEDUP_15,10,0
DEDUP_72,10,0
DEDUP_114,10,0
DEDUP_192,10,0
DEDUP_121,10,0
DEDUP_159,10,0
DEDUP_310,10,0
DEDUP_423,10,0
DEDUP_588,10,0
DEDUP_186,10,0
DEDUP_189,10,0
DEDUP_621,10,0
DEDUP_125,10,0
DEDUP_250,10,0
DEDUP_521,10,0
DEDUP_210,10,0
DEDUP_152,10,0
DEDUP_717,10,0
DEDUP_528,10,0
DEDUP_631,10,0
DEDUP_424,10,0
DEDUP_438,10,0
DEDUP_290,10,0
DEDUP_416,10,0
DEDUP_237,10,0
DEDUP_516,10,0
DEDUP_120,10,0
DEDUP_568,10,0
DEDUP_455,10,0
DEDUP_310,10,0
DEDUP_336,10,0
DEDUP_25,10,0
DEDUP_122,10,0
DEDUP_388,10,0
DEDUP_37,10,0
DEDUP_372,10,0
DEDUP_198,10,0
DEDUP_66,10,0
DEDUP_382,10,0
DEDUP_85,10,0
DEDUP_324,10,0
DEDUP_35,10,0
DEDUP_723,10,0
DEDUP_297,10,0
DEDUP_262,10,0
DEDUP_275,10,0
DEDUP_178,10,0
DEDUP_491,10,0
DEDUP_286,10,0
DEDUP_331,10,0
DEDUP_587,10,0
DEDUP_349,10,0
DEDUP_505,10,0
DEDUP_414,10,0
DEDUP_174,10,0
DEDUP_233,10,0
DEDUP_620,10,0
DEDUP_412,10,0
DEDUP_88,10,0
DEDUP_490,10,0
DEDUP_31,10,0
DEDUP_234,10,0
DEDUP_277,10,0
DEDUP_306,10,0
DEDUP_481,10,0
DEDUP_93,10,0
DEDUP_340,10,0
DEDUP_168,10,0
DEDUP_372,10,0
DEDUP_243,10,0
DEDUP_193,10,0
DEDUP_384,10,0
DEDUP_382,10,0
DEDUP_309,10,0
DEDUP_735,10,0
DEDUP_415,10,0
DEDUP_384,10,0
DEDUP_300,10,0
DEDUP_427,10,0
DEDUP_471,10,0
DEDUP_344,10,0
DEDUP_342,10,0
DEDUP_83,10,0
DEDUP_30,10,0
DEDUP_123,10,0
DEDUP_267,10,0
DEDUP_408,10,0
DEDUP_66,10,0
DEDUP_714,10,0
DEDUP_480,10,0
DEDUP_426,10,0
DEDUP_511,10,0
DEDUP_6,10,0
DEDUP_253,10,0
DEDUP_248,10,0
DEDUP_144,10,0
DEDUP_231,10,0
DEDUP_619,10,0
DEDUP_398,10,0
DEDUP_303,10,0
DEDUP_150,10,0
DEDUP_84,10,0
