filename,n_blocks,cache_hits
FULL_FILE_SD5_441,,0
FULL_FILE_SD5_245,,0
FULL_FILE_SD5_439,,0
FULL_FILE_SD5_407,,0
FULL_FILE_SD5_250,,0
FULL_FILE_SD5_314,,0
FULL_FILE_SD5_353,,0
FULL_FILE_SD5_121,,0
FULL_FILE_SD5_420,,0
FULL_FILE_SD5_257,,0
FULL_FILE_SD5_402,,0
FULL_FILE_SD5_76,,0
FULL_FILE_SD5_268,,0
FULL_FILE_SD5_351,,0
FULL_FILE_SD5_212,,0
FULL_FILE_SD5_122,,0
FULL_FILE_SD5_443,,0
FULL_FILE_SD5_433,,0
FULL_FILE_SD5_422,,0
FULL_FILE_SD5_30,,0
FULL_FILE_SD5_137,,0
FULL_FILE_SD5_269,,0
FULL_FILE_SD5_442,,0
FULL_FILE_SD5_136,,0
FULL_FILE_SD5_436,,0
FULL_FILE_SD5_277,,0
FULL_FILE_SD5_201,,0
FULL_FILE_SD5_339,,0
FULL_FILE_SD5_362,,0
FULL_FILE_SD5_12,,0
FULL_FILE_SD5_80,,0
FULL_FILE_SD5_232,,0
FULL_FILE_SD5_243,,0
FULL_FILE_SD5_157,,0
FULL_FILE_SD5_286,,0
FULL_FILE_SD5_20,,0
FULL_FILE_SD5_332,,0
FULL_FILE_SD5_301,,0
FULL_FILE_SD5_157,,1
FULL_FILE_SD5_277,,1
FULL_FILE_SD5_258,,0
FULL_FILE_SD5_126,,0
FULL_FILE_SD5_111,,0
FULL_FILE_SD5_238,,0
FULL_FILE_SD5_154,,0
FULL_FILE_SD5_261,,0
FULL_FILE_SD5_157,,1
FULL_FILE_SD5_236,,0
FULL_FILE_SD5_122,,1
FULL_FILE_SD5_65,,0
FULL_FILE_SD5_157,,1
FULL_FILE_SD5_301,,1
FULL_FILE_SD5_172,,0
FULL_FILE_SD5_13,,0
FULL_FILE_SD5_251,,0
FULL_FILE_SD5_139,,0
FULL_FILE_SD5_150,,0
FULL_FILE_SD5_94,,0
FULL_FILE_SD5_345,,0
FULL_FILE_SD5_336,,0
FULL_FILE_SD5_213,,0
FULL_FILE_SD5_385,,0
FULL_FILE_SD5_277,,1
FULL_FILE_SD5_270,,0
FULL_FILE_SD5_359,,0
FULL_FILE_SD5_296,,0
FULL_FILE_SD5_405,,0
FULL_FILE_SD5_291,,0
FULL_FILE_SD5_164,,0
FULL_FILE_SD5_290,,0
FULL_FILE_SD5_405,,1
FULL_FILE_SD5_231,,0
FULL_FILE_SD5_184,,0
FULL_FILE_SD5_19,,0
FULL_FILE_SD5_480,,0
FULL_FILE_SD5_94,,1
FULL_FILE_SD5_329,,0
FULL_FILE_SD5_187,,0
FULL_FILE_SD5_333,,0
