filename,chunk,inCache
FULL_FILE_213,FULL_FILE_213,0
FULL_FILE_265,FULL_FILE_265,0
FULL_FILE_276,FULL_FILE_276,0
FULL_FILE_308,FULL_FILE_308,0
FULL_FILE_120,FULL_FILE_120,0
FULL_FILE_327,FULL_FILE_327,0
FULL_FILE_248,FULL_FILE_248,0
FULL_FILE_98,FULL_FILE_98,0
FULL_FILE_252,FULL_FILE_252,0
FULL_FILE_195,FULL_FILE_195,0
FULL_FILE_238,FULL_FILE_238,0
FULL_FILE_298,FULL_FILE_298,0
FULL_FILE_311,FULL_FILE_311,0
FULL_FILE_259,FULL_FILE_259,0
FULL_FILE_188,FULL_FILE_188,0
FULL_FILE_218,FULL_FILE_218,0
FULL_FILE_226,FULL_FILE_226,0
FULL_FILE_268,FULL_FILE_268,0
FULL_FILE_226,FULL_FILE_226,1
FULL_FILE_174,FULL_FILE_174,0
FULL_FILE_171,FULL_FILE_171,0
FULL_FILE_264,FULL_FILE_264,0
FULL_FILE_301,FULL_FILE_301,0
FULL_FILE_248,FULL_FILE_248,1
FULL_FILE_208,FULL_FILE_208,0
FULL_FILE_199,FULL_FILE_199,0
FULL_FILE_203,FULL_FILE_203,0
FULL_FILE_230,FULL_FILE_230,0
FULL_FILE_210,FULL_FILE_210,0
FULL_FILE_277,FULL_FILE_277,0
FULL_FILE_306,FULL_FILE_306,0
FULL_FILE_328,FULL_FILE_328,0
FULL_FILE_201,FULL_FILE_201,0
FULL_FILE_255,FULL_FILE_255,0
FULL_FILE_242,FULL_FILE_242,0
FULL_FILE_146,FULL_FILE_146,0
FULL_FILE_199,FULL_FILE_199,1
FULL_FILE_297,FULL_FILE_297,0
FULL_FILE_241,FULL_FILE_241,0
FULL_FILE_183,FULL_FILE_183,0
FULL_FILE_285,FULL_FILE_285,0
FULL_FILE_393,FULL_FILE_393,0
FULL_FILE_387,FULL_FILE_387,0
FULL_FILE_255,FULL_FILE_255,1
FULL_FILE_211,FULL_FILE_211,0
FULL_FILE_299,FULL_FILE_299,0
FULL_FILE_174,FULL_FILE_174,1
FULL_FILE_241,FULL_FILE_241,1
FULL_FILE_236,FULL_FILE_236,0
FULL_FILE_194,FULL_FILE_194,0
FULL_FILE_151,FULL_FILE_151,0
FULL_FILE_281,FULL_FILE_281,0
FULL_FILE_359,FULL_FILE_359,0
FULL_FILE_278,FULL_FILE_278,0
FULL_FILE_251,FULL_FILE_251,0
FULL_FILE_253,FULL_FILE_253,0
FULL_FILE_308,FULL_FILE_308,1
FULL_FILE_281,FULL_FILE_281,1
FULL_FILE_205,FULL_FILE_205,0
FULL_FILE_229,FULL_FILE_229,0
FULL_FILE_256,FULL_FILE_256,0
FULL_FILE_226,FULL_FILE_226,1
FULL_FILE_304,FULL_FILE_304,0
FULL_FILE_226,FULL_FILE_226,1
FULL_FILE_325,FULL_FILE_325,0
FULL_FILE_315,FULL_FILE_315,0
FULL_FILE_230,FULL_FILE_230,1
FULL_FILE_291,FULL_FILE_291,0
FULL_FILE_287,FULL_FILE_287,0
