filename,chunk,inCache
FULL_FILE_SD20_381,FULL_FILE_SD20_381,0
FULL_FILE_SD20_179,FULL_FILE_SD20_179,0
FULL_FILE_SD20_157,FULL_FILE_SD20_157,0
FULL_FILE_SD20_312,FULL_FILE_SD20_312,0
FULL_FILE_SD20_204,FULL_FILE_SD20_204,0
FULL_FILE_SD20_250,FULL_FILE_SD20_250,0
FULL_FILE_SD20_88,FULL_FILE_SD20_88,0
FULL_FILE_SD20_188,FULL_FILE_SD20_188,0
FULL_FILE_SD20_210,FULL_FILE_SD20_210,0
FULL_FILE_SD20_253,FULL_FILE_SD20_253,0
FULL_FILE_SD20_70,FULL_FILE_SD20_70,0
FULL_FILE_SD20_325,FULL_FILE_SD20_325,0
FULL_FILE_SD20_37,FULL_FILE_SD20_37,0
FULL_FILE_SD20_335,FULL_FILE_SD20_335,0
FULL_FILE_SD20_196,FULL_FILE_SD20_196,0
FULL_FILE_SD20_326,FULL_FILE_SD20_326,0
FULL_FILE_SD20_185,FULL_FILE_SD20_185,0
FULL_FILE_SD20_276,FULL_FILE_SD20_276,0
FULL_FILE_SD20_355,FULL_FILE_SD20_355,0
FULL_FILE_SD20_219,FULL_FILE_SD20_219,0
FULL_FILE_SD20_355,FULL_FILE_SD20_355,1
FULL_FILE_SD20_248,FULL_FILE_SD20_248,0
FULL_FILE_SD20_279,FULL_FILE_SD20_279,0
FULL_FILE_SD20_299,FULL_FILE_SD20_299,0
FULL_FILE_SD20_127,FULL_FILE_SD20_127,0
FULL_FILE_SD20_142,FULL_FILE_SD20_142,0
FULL_FILE_SD20_292,FULL_FILE_SD20_292,0
FULL_FILE_SD20_306,FULL_FILE_SD20_306,0
FULL_FILE_SD20_114,FULL_FILE_SD20_114,0
FULL_FILE_SD20_352,FULL_FILE_SD20_352,0
FULL_FILE_SD20_189,FULL_FILE_SD20_189,0
FULL_FILE_SD20_256,FULL_FILE_SD20_256,0
FULL_FILE_SD20_176,FULL_FILE_SD20_176,0
FULL_FILE_SD20_212,FULL_FILE_SD20_212,0
FULL_FILE_SD20_274,FULL_FILE_SD20_274,0
FULL_FILE_SD20_405,FULL_FILE_SD20_405,0
FULL_FILE_SD20_241,FULL_FILE_SD20_241,0
FULL_FILE_SD20_219,FULL_FILE_SD20_219,1
FULL_FILE_SD20_451,FULL_FILE_SD20_451,0
FULL_FILE_SD20_233,FULL_FILE_SD20_233,0
FULL_FILE_SD20_147,FULL_FILE_SD20_147,0
FULL_FILE_SD20_299,FULL_FILE_SD20_299,1
FULL_FILE_SD20_353,FULL_FILE_SD20_353,0
FULL_FILE_SD20_370,FULL_FILE_SD20_370,0
FULL_FILE_SD20_275,FULL_FILE_SD20_275,0
FULL_FILE_SD20_381,FULL_FILE_SD20_381,1
FULL_FILE_SD20_129,FULL_FILE_SD20_129,0
FULL_FILE_SD20_289,FULL_FILE_SD20_289,0
FULL_FILE_SD20_500,FULL_FILE_SD20_500,0
FULL_FILE_SD20_58,FULL_FILE_SD20_58,0
FULL_FILE_SD20_195,FULL_FILE_SD20_195,0
FULL_FILE_SD20_272,FULL_FILE_SD20_272,0
FULL_FILE_SD20_194,FULL_FILE_SD20_194,0
FULL_FILE_SD20_277,FULL_FILE_SD20_277,0
FULL_FILE_SD20_88,FULL_FILE_SD20_88,1
FULL_FILE_SD20_95,FULL_FILE_SD20_95,0
FULL_FILE_SD20_208,FULL_FILE_SD20_208,0
FULL_FILE_SD20_203,FULL_FILE_SD20_203,0
FULL_FILE_SD20_316,FULL_FILE_SD20_316,0
FULL_FILE_SD20_293,FULL_FILE_SD20_293,0
FULL_FILE_SD20_189,FULL_FILE_SD20_189,1
FULL_FILE_SD20_318,FULL_FILE_SD20_318,0
FULL_FILE_SD20_333,FULL_FILE_SD20_333,0
FULL_FILE_SD20_243,FULL_FILE_SD20_243,0
FULL_FILE_SD20_209,FULL_FILE_SD20_209,0
FULL_FILE_SD20_387,FULL_FILE_SD20_387,0
FULL_FILE_SD20_138,FULL_FILE_SD20_138,0
FULL_FILE_SD20_331,FULL_FILE_SD20_331,0
FULL_FILE_SD20_89,FULL_FILE_SD20_89,0
FULL_FILE_SD20_227,FULL_FILE_SD20_227,0
FULL_FILE_SD20_258,FULL_FILE_SD20_258,0
FULL_FILE_SD20_376,FULL_FILE_SD20_376,0
FULL_FILE_SD20_227,FULL_FILE_SD20_227,1
FULL_FILE_SD20_349,FULL_FILE_SD20_349,0
FULL_FILE_SD20_221,FULL_FILE_SD20_221,0
FULL_FILE_SD20_288,FULL_FILE_SD20_288,0
FULL_FILE_SD20_321,FULL_FILE_SD20_321,0
FULL_FILE_SD20_221,FULL_FILE_SD20_221,1
FULL_FILE_SD20_340,FULL_FILE_SD20_340,0
FULL_FILE_SD20_100,FULL_FILE_SD20_100,0
FULL_FILE_SD20_305,FULL_FILE_SD20_305,0
FULL_FILE_SD20_147,FULL_FILE_SD20_147,1
FULL_FILE_SD20_199,FULL_FILE_SD20_199,0
FULL_FILE_SD20_264,FULL_FILE_SD20_264,0
FULL_FILE_SD20_319,FULL_FILE_SD20_319,0
FULL_FILE_SD20_293,FULL_FILE_SD20_293,1
FULL_FILE_SD20_298,FULL_FILE_SD20_298,0
FULL_FILE_SD20_431,FULL_FILE_SD20_431,0
FULL_FILE_SD20_178,FULL_FILE_SD20_178,0
FULL_FILE_SD20_253,FULL_FILE_SD20_253,1
FULL_FILE_SD20_418,FULL_FILE_SD20_418,0
FULL_FILE_SD20_280,FULL_FILE_SD20_280,0
FULL_FILE_SD20_248,FULL_FILE_SD20_248,1
FULL_FILE_SD20_152,FULL_FILE_SD20_152,0
FULL_FILE_SD20_426,FULL_FILE_SD20_426,0
FULL_FILE_SD20_159,FULL_FILE_SD20_159,0
FULL_FILE_SD20_251,FULL_FILE_SD20_251,0
FULL_FILE_SD20_316,FULL_FILE_SD20_316,1
FULL_FILE_SD20_219,FULL_FILE_SD20_219,1
FULL_FILE_SD20_366,FULL_FILE_SD20_366,0
FULL_FILE_SD20_253,FULL_FILE_SD20_253,1
FULL_FILE_SD20_392,FULL_FILE_SD20_392,0
FULL_FILE_SD20_232,FULL_FILE_SD20_232,0
FULL_FILE_SD20_269,FULL_FILE_SD20_269,0
FULL_FILE_SD20_302,FULL_FILE_SD20_302,0
FULL_FILE_SD20_331,FULL_FILE_SD20_331,1
FULL_FILE_SD20_294,FULL_FILE_SD20_294,0
FULL_FILE_SD20_132,FULL_FILE_SD20_132,0
FULL_FILE_SD20_131,FULL_FILE_SD20_131,0
FULL_FILE_SD20_130,FULL_FILE_SD20_130,0
FULL_FILE_SD20_297,FULL_FILE_SD20_297,0
FULL_FILE_SD20_363,FULL_FILE_SD20_363,0
FULL_FILE_SD20_341,FULL_FILE_SD20_341,0
FULL_FILE_SD20_272,FULL_FILE_SD20_272,1
FULL_FILE_SD20_341,FULL_FILE_SD20_341,1
FULL_FILE_SD20_375,FULL_FILE_SD20_375,0
FULL_FILE_SD20_302,FULL_FILE_SD20_302,1
FULL_FILE_SD20_95,FULL_FILE_SD20_95,1
FULL_FILE_SD20_85,FULL_FILE_SD20_85,0
FULL_FILE_SD20_304,FULL_FILE_SD20_304,0
FULL_FILE_SD20_232,FULL_FILE_SD20_232,1
FULL_FILE_SD20_255,FULL_FILE_SD20_255,0
FULL_FILE_SD20_210,FULL_FILE_SD20_210,1
FULL_FILE_SD20_402,FULL_FILE_SD20_402,0
FULL_FILE_SD20_276,FULL_FILE_SD20_276,1
FULL_FILE_SD20_447,FULL_FILE_SD20_447,0
FULL_FILE_SD20_200,FULL_FILE_SD20_200,0
FULL_FILE_SD20_337,FULL_FILE_SD20_337,0
FULL_FILE_SD20_321,FULL_FILE_SD20_321,0
FULL_FILE_SD20_374,FULL_FILE_SD20_374,0
FULL_FILE_SD20_335,FULL_FILE_SD20_335,1
FULL_FILE_SD20_273,FULL_FILE_SD20_273,0
FULL_FILE_SD20_203,FULL_FILE_SD20_203,1
FULL_FILE_SD20_364,FULL_FILE_SD20_364,0
FULL_FILE_SD20_400,FULL_FILE_SD20_400,0
FULL_FILE_SD20_259,FULL_FILE_SD20_259,0
FULL_FILE_SD20_206,FULL_FILE_SD20_206,0
