filename,n_blocks,cache_hits
GEN_DEDUP_SD5000_302,10,0
GEN_DEDUP_SD5000_304,10,0
GEN_DEDUP_SD5000_217,10,0
GEN_DEDUP_SD5000_246,10,0
GEN_DEDUP_SD5000_244,10,0
GEN_DEDUP_SD5000_253,10,0
GEN_DEDUP_SD5000_279,10,0
GEN_DEDUP_SD5000_350,10,0
GEN_DEDUP_SD5000_235,10,0
GEN_DEDUP_SD5000_290,10,0
GEN_DEDUP_SD5000_168,10,0
GEN_DEDUP_SD5000_386,10,0
GEN_DEDUP_SD5000_365,10,0
GEN_DEDUP_SD5000_238,10,1
GEN_DEDUP_SD5000_194,10,0
GEN_DEDUP_SD5000_175,10,0
GEN_DEDUP_SD5000_171,10,0
GEN_DEDUP_SD5000_197,10,0
GEN_DEDUP_SD5000_307,10,0
GEN_DEDUP_SD5000_259,10,0
GEN_DEDUP_SD5000_272,10,0
GEN_DEDUP_SD5000_271,10,0
GEN_DEDUP_SD5000_293,10,0
GEN_DEDUP_SD5000_358,10,0
GEN_DEDUP_SD5000_315,10,0
GEN_DEDUP_SD5000_402,10,0
GEN_DEDUP_SD5000_224,10,0
GEN_DEDUP_SD5000_170,10,0
GEN_DEDUP_SD5000_242,10,0
GEN_DEDUP_SD5000_285,10,1
GEN_DEDUP_SD5000_199,10,2
GEN_DEDUP_SD5000_127,10,0
GEN_DEDUP_SD5000_224,10,10
GEN_DEDUP_SD5000_285,10,10
GEN_DEDUP_SD5000_297,10,1
GEN_DEDUP_SD5000_298,10,0
GEN_DEDUP_SD5000_211,10,0
GEN_DEDUP_SD5000_288,10,1
GEN_DEDUP_SD5000_211,10,10
GEN_DEDUP_SD5000_262,10,0
GEN_DEDUP_SD5000_155,10,1
GEN_DEDUP_SD5000_196,10,2
GEN_DEDUP_SD5000_314,10,0
GEN_DEDUP_SD5000_200,10,0
GEN_DEDUP_SD5000_328,10,1
GEN_DEDUP_SD5000_244,10,10
GEN_DEDUP_SD5000_214,10,0
GEN_DEDUP_SD5000_105,10,2
GEN_DEDUP_SD5000_171,10,10
GEN_DEDUP_SD5000_263,10,1
GEN_DEDUP_SD5000_223,10,0
GEN_DEDUP_SD5000_169,10,0
GEN_DEDUP_SD5000_285,10,10
GEN_DEDUP_SD5000_347,10,0
GEN_DEDUP_SD5000_180,10,2
GEN_DEDUP_SD5000_374,10,0
GEN_DEDUP_SD5000_233,10,0
GEN_DEDUP_SD5000_175,10,10
GEN_DEDUP_SD5000_319,10,0
GEN_DEDUP_SD5000_347,10,10
GEN_DEDUP_SD5000_180,10,10
GEN_DEDUP_SD5000_315,10,10
GEN_DEDUP_SD5000_122,10,0
GEN_DEDUP_SD5000_221,10,0
GEN_DEDUP_SD5000_409,10,1
GEN_DEDUP_SD5000_294,10,0
GEN_DEDUP_SD5000_293,10,10
GEN_DEDUP_SD5000_323,10,0
GEN_DEDUP_SD5000_143,10,1
GEN_DEDUP_SD5000_242,10,10
GEN_DEDUP_SD5000_290,10,10
GEN_DEDUP_SD5000_181,10,0
GEN_DEDUP_SD5000_148,10,0
GEN_DEDUP_SD5000_154,10,0
GEN_DEDUP_SD5000_288,10,10
GEN_DEDUP_SD5000_312,10,0
GEN_DEDUP_SD5000_272,10,10
GEN_DEDUP_SD5000_169,10,10
GEN_DEDUP_SD5000_103,10,0
GEN_DEDUP_SD5000_300,10,0
GEN_DEDUP_SD5000_317,10,0
GEN_DEDUP_SD5000_171,10,10
GEN_DEDUP_SD5000_269,10,0
GEN_DEDUP_SD5000_307,10,10
GEN_DEDUP_SD5000_268,10,0
GEN_DEDUP_SD5000_202,10,0
GEN_DEDUP_SD5000_181,10,10
GEN_DEDUP_SD5000_229,10,1
GEN_DEDUP_SD5000_445,10,0
GEN_DEDUP_SD5000_175,10,10
GEN_DEDUP_SD5000_175,10,10
GEN_DEDUP_SD5000_367,10,0
GEN_DEDUP_SD5000_193,10,0
GEN_DEDUP_SD5000_340,10,0
GEN_DEDUP_SD5000_370,10,0
GEN_DEDUP_SD5000_224,10,10
GEN_DEDUP_SD5000_284,10,0
GEN_DEDUP_SD5000_339,10,1
GEN_DEDUP_SD5000_401,10,1
GEN_DEDUP_SD5000_83,10,0
GEN_DEDUP_SD5000_59,10,0
GEN_DEDUP_SD5000_130,10,1
GEN_DEDUP_SD5000_186,10,0
GEN_DEDUP_SD5000_363,10,0
GEN_DEDUP_SD5000_237,10,1
GEN_DEDUP_SD5000_276,10,0
GEN_DEDUP_SD5000_246,10,10
GEN_DEDUP_SD5000_261,10,1
GEN_DEDUP_SD5000_219,10,0
GEN_DEDUP_SD5000_332,10,0
GEN_DEDUP_SD5000_308,10,0
GEN_DEDUP_SD5000_143,10,10
GEN_DEDUP_SD5000_187,10,1
GEN_DEDUP_SD5000_342,10,1
GEN_DEDUP_SD5000_297,10,10
GEN_DEDUP_SD5000_195,10,1
GEN_DEDUP_SD5000_222,10,3
GEN_DEDUP_SD5000_255,10,0
GEN_DEDUP_SD5000_271,10,10
GEN_DEDUP_SD5000_354,10,1
GEN_DEDUP_SD5000_173,10,0
GEN_DEDUP_SD5000_191,10,0
GEN_DEDUP_SD5000_235,10,10
GEN_DEDUP_SD5000_320,10,1
GEN_DEDUP_SD5000_240,10,0
GEN_DEDUP_SD5000_310,10,1
GEN_DEDUP_SD5000_246,10,10
GEN_DEDUP_SD5000_258,10,1
GEN_DEDUP_SD5000_264,10,0
GEN_DEDUP_SD5000_366,10,0
GEN_DEDUP_SD5000_289,10,1
GEN_DEDUP_SD5000_333,10,1
GEN_DEDUP_SD5000_111,10,0
GEN_DEDUP_SD5000_177,10,0
GEN_DEDUP_SD5000_310,10,10
GEN_DEDUP_SD5000_269,10,10
GEN_DEDUP_SD5000_168,10,10
GEN_DEDUP_SD5000_243,10,2
GEN_DEDUP_SD5000_201,10,0
GEN_DEDUP_SD5000_376,10,0
GEN_DEDUP_SD5000_73,10,0
GEN_DEDUP_SD5000_231,10,0
GEN_DEDUP_SD5000_338,10,1
GEN_DEDUP_SD5000_179,10,0
GEN_DEDUP_SD5000_189,10,1
GEN_DEDUP_SD5000_370,10,10
GEN_DEDUP_SD5000_122,10,10
GEN_DEDUP_SD5000_313,10,0
GEN_DEDUP_SD5000_226,10,1
GEN_DEDUP_SD5000_166,10,1
GEN_DEDUP_SD5000_185,10,0
GEN_DEDUP_SD5000_160,10,0
GEN_DEDUP_SD5000_371,10,1
GEN_DEDUP_SD5000_402,10,10
GEN_DEDUP_SD5000_299,10,0
GEN_DEDUP_SD5000_149,10,0
GEN_DEDUP_SD5000_193,10,10
GEN_DEDUP_SD5000_131,10,0
GEN_DEDUP_SD5000_367,10,10
GEN_DEDUP_SD5000_251,10,0
GEN_DEDUP_SD5000_218,10,0
GEN_DEDUP_SD5000_362,10,0
GEN_DEDUP_SD5000_199,10,10
GEN_DEDUP_SD5000_88,10,0
GEN_DEDUP_SD5000_116,10,0
GEN_DEDUP_SD5000_197,10,10
GEN_DEDUP_SD5000_162,10,1
GEN_DEDUP_SD5000_324,10,0
GEN_DEDUP_SD5000_185,10,10
GEN_DEDUP_SD5000_175,10,10
GEN_DEDUP_SD5000_257,10,1
GEN_DEDUP_SD5000_305,10,0
GEN_DEDUP_SD5000_209,10,0
GEN_DEDUP_SD5000_305,10,10
GEN_DEDUP_SD5000_322,10,0
GEN_DEDUP_SD5000_185,10,10
GEN_DEDUP_SD5000_219,10,0
GEN_DEDUP_SD5000_301,10,0
GEN_DEDUP_SD5000_244,10,10
GEN_DEDUP_SD5000_413,10,2
GEN_DEDUP_SD5000_211,10,10
GEN_DEDUP_SD5000_293,10,10
GEN_DEDUP_SD5000_192,10,0
GEN_DEDUP_SD5000_362,10,10
GEN_DEDUP_SD5000_237,10,1
GEN_DEDUP_SD5000_305,10,10
GEN_DEDUP_SD5000_409,10,10
GEN_DEDUP_SD5000_240,10,0
GEN_DEDUP_SD5000_185,10,10
GEN_DEDUP_SD5000_169,10,10
GEN_DEDUP_SD5000_238,10,10
GEN_DEDUP_SD5000_231,10,0
GEN_DEDUP_SD5000_258,10,1
GEN_DEDUP_SD5000_203,10,1
GEN_DEDUP_SD5000_414,10,1
GEN_DEDUP_SD5000_85,10,1
GEN_DEDUP_SD5000_260,10,0
GEN_DEDUP_SD5000_176,10,0
GEN_DEDUP_SD5000_375,10,0
GEN_DEDUP_SD5000_145,10,0
GEN_DEDUP_SD5000_240,10,10
GEN_DEDUP_SD5000_118,10,0
GEN_DEDUP_SD5000_186,10,1
GEN_DEDUP_SD5000_176,10,10
GEN_DEDUP_SD5000_145,10,10
GEN_DEDUP_SD5000_297,10,10
GEN_DEDUP_SD5000_253,10,10
GEN_DEDUP_SD5000_249,10,0
GEN_DEDUP_SD5000_229,10,10
GEN_DEDUP_SD5000_97,10,0
GEN_DEDUP_SD5000_193,10,10
GEN_DEDUP_SD5000_176,10,10
GEN_DEDUP_SD5000_427,10,0
GEN_DEDUP_SD5000_488,10,0
GEN_DEDUP_SD5000_203,10,10
GEN_DEDUP_SD5000_317,10,10
GEN_DEDUP_SD5000_286,10,1
GEN_DEDUP_SD5000_199,10,10
GEN_DEDUP_SD5000_204,10,0
GEN_DEDUP_SD5000_311,10,0
GEN_DEDUP_SD5000_191,10,0
GEN_DEDUP_SD5000_264,10,0
GEN_DEDUP_SD5000_179,10,0
GEN_DEDUP_SD5000_421,10,0
GEN_DEDUP_SD5000_238,10,10
GEN_DEDUP_SD5000_132,10,1
GEN_DEDUP_SD5000_263,10,10
GEN_DEDUP_SD5000_306,10,2
GEN_DEDUP_SD5000_154,10,10
GEN_DEDUP_SD5000_359,10,0
GEN_DEDUP_SD5000_329,10,0
GEN_DEDUP_SD5000_348,10,0
GEN_DEDUP_SD5000_100,10,1
GEN_DEDUP_SD5000_332,10,0
GEN_DEDUP_SD5000_279,10,10
GEN_DEDUP_SD5000_202,10,10
GEN_DEDUP_SD5000_174,10,0
GEN_DEDUP_SD5000_184,10,2
GEN_DEDUP_SD5000_293,10,10
GEN_DEDUP_SD5000_124,10,1
GEN_DEDUP_SD5000_336,10,0
GEN_DEDUP_SD5000_216,10,0
GEN_DEDUP_SD5000_195,10,1
GEN_DEDUP_SD5000_181,10,10
GEN_DEDUP_SD5000_188,10,0
GEN_DEDUP_SD5000_301,10,0
GEN_DEDUP_SD5000_140,10,3
GEN_DEDUP_SD5000_139,10,1
GEN_DEDUP_SD5000_94,10,1
GEN_DEDUP_SD5000_363,10,1
GEN_DEDUP_SD5000_271,10,10
GEN_DEDUP_SD5000_309,10,0
GEN_DEDUP_SD5000_149,10,1
GEN_DEDUP_SD5000_316,10,1
GEN_DEDUP_SD5000_199,10,10
GEN_DEDUP_SD5000_80,10,1
GEN_DEDUP_SD5000_154,10,10
GEN_DEDUP_SD5000_295,10,0
GEN_DEDUP_SD5000_286,10,1
GEN_DEDUP_SD5000_159,10,0
GEN_DEDUP_SD5000_248,10,0
GEN_DEDUP_SD5000_182,10,0
GEN_DEDUP_SD5000_200,10,10
GEN_DEDUP_SD5000_156,10,1
GEN_DEDUP_SD5000_306,10,3
GEN_DEDUP_SD5000_240,10,10
GEN_DEDUP_SD5000_192,10,0
GEN_DEDUP_SD5000_325,10,1
GEN_DEDUP_SD5000_244,10,10
GEN_DEDUP_SD5000_331,10,2
GEN_DEDUP_SD5000_208,10,0
GEN_DEDUP_SD5000_289,10,1
GEN_DEDUP_SD5000_262,10,10
GEN_DEDUP_SD5000_371,10,2
GEN_DEDUP_SD5000_227,10,2
GEN_DEDUP_SD5000_300,10,10
GEN_DEDUP_SD5000_202,10,10
GEN_DEDUP_SD5000_260,10,0
GEN_DEDUP_SD5000_254,10,1
GEN_DEDUP_SD5000_299,10,0
GEN_DEDUP_SD5000_230,10,0
GEN_DEDUP_SD5000_262,10,10
GEN_DEDUP_SD5000_217,10,10
GEN_DEDUP_SD5000_290,10,10
GEN_DEDUP_SD5000_293,10,10
GEN_DEDUP_SD5000_288,10,10
GEN_DEDUP_SD5000_267,10,0
GEN_DEDUP_SD5000_331,10,10
GEN_DEDUP_SD5000_255,10,0
GEN_DEDUP_SD5000_266,10,1
GEN_DEDUP_SD5000_266,10,10
GEN_DEDUP_SD5000_257,10,1
GEN_DEDUP_SD5000_134,10,1
GEN_DEDUP_SD5000_306,10,10
GEN_DEDUP_SD5000_210,10,0
GEN_DEDUP_SD5000_220,10,0
GEN_DEDUP_SD5000_183,10,2
GEN_DEDUP_SD5000_186,10,1
GEN_DEDUP_SD5000_143,10,10
GEN_DEDUP_SD5000_150,10,0
GEN_DEDUP_SD5000_239,10,0
GEN_DEDUP_SD5000_360,10,0
GEN_DEDUP_SD5000_309,10,0
GEN_DEDUP_SD5000_242,10,10
GEN_DEDUP_SD5000_347,10,10
GEN_DEDUP_SD5000_49,10,0
GEN_DEDUP_SD5000_173,10,0
GEN_DEDUP_SD5000_380,10,0
GEN_DEDUP_SD5000_414,10,1
GEN_DEDUP_SD5000_355,10,0
GEN_DEDUP_SD5000_283,10,1
GEN_DEDUP_SD5000_138,10,0
GEN_DEDUP_SD5000_287,10,0
GEN_DEDUP_SD5000_207,10,2
GEN_DEDUP_SD5000_237,10,1
GEN_DEDUP_SD5000_214,10,10
GEN_DEDUP_SD5000_271,10,10
GEN_DEDUP_SD5000_336,10,0
GEN_DEDUP_SD5000_442,10,0
GEN_DEDUP_SD5000_291,10,0
GEN_DEDUP_SD5000_243,10,2
GEN_DEDUP_SD5000_329,10,0
GEN_DEDUP_SD5000_213,10,0
GEN_DEDUP_SD5000_209,10,0
GEN_DEDUP_SD5000_278,10,0
GEN_DEDUP_SD5000_270,10,0
GEN_DEDUP_SD5000_210,10,0
GEN_DEDUP_SD5000_214,10,10
GEN_DEDUP_SD5000_346,10,0
GEN_DEDUP_SD5000_295,10,0
GEN_DEDUP_SD5000_320,10,2
GEN_DEDUP_SD5000_243,10,10
GEN_DEDUP_SD5000_374,10,10
GEN_DEDUP_SD5000_371,10,2
GEN_DEDUP_SD5000_228,10,0
GEN_DEDUP_SD5000_377,10,1
GEN_DEDUP_SD5000_257,10,2
GEN_DEDUP_SD5000_242,10,10
GEN_DEDUP_SD5000_264,10,0
GEN_DEDUP_SD5000_372,10,0
GEN_DEDUP_SD5000_403,10,1
GEN_DEDUP_SD5000_257,10,10
GEN_DEDUP_SD5000_147,10,1
GEN_DEDUP_SD5000_284,10,1
GEN_DEDUP_SD5000_91,10,0
GEN_DEDUP_SD5000_251,10,0
GEN_DEDUP_SD5000_266,10,10
GEN_DEDUP_SD5000_291,10,10
GEN_DEDUP_SD5000_223,10,10
GEN_DEDUP_SD5000_139,10,2
GEN_DEDUP_SD5000_243,10,10
GEN_DEDUP_SD5000_355,10,0
GEN_DEDUP_SD5000_286,10,1
GEN_DEDUP_SD5000_274,10,0
GEN_DEDUP_SD5000_250,10,0
GEN_DEDUP_SD5000_262,10,10
GEN_DEDUP_SD5000_165,10,0
GEN_DEDUP_SD5000_199,10,10
GEN_DEDUP_SD5000_294,10,10
GEN_DEDUP_SD5000_238,10,10
GEN_DEDUP_SD5000_184,10,2
GEN_DEDUP_SD5000_343,10,0
GEN_DEDUP_SD5000_204,10,0
GEN_DEDUP_SD5000_339,10,1
GEN_DEDUP_SD5000_200,10,10
GEN_DEDUP_SD5000_179,10,0
GEN_DEDUP_SD5000_257,10,10
GEN_DEDUP_SD5000_212,10,0
GEN_DEDUP_SD5000_294,10,10
GEN_DEDUP_SD5000_374,10,10
GEN_DEDUP_SD5000_263,10,10
GEN_DEDUP_SD5000_152,10,1
GEN_DEDUP_SD5000_234,10,1
GEN_DEDUP_SD5000_220,10,0
GEN_DEDUP_SD5000_150,10,0
GEN_DEDUP_SD5000_269,10,10
GEN_DEDUP_SD5000_274,10,10
GEN_DEDUP_SD5000_256,10,0
GEN_DEDUP_SD5000_282,10,0
GEN_DEDUP_SD5000_369,10,0
GEN_DEDUP_SD5000_240,10,10
GEN_DEDUP_SD5000_175,10,10
GEN_DEDUP_SD5000_277,10,1
GEN_DEDUP_SD5000_251,10,10
GEN_DEDUP_SD5000_234,10,10
GEN_DEDUP_SD5000_160,10,0
GEN_DEDUP_SD5000_205,10,1
GEN_DEDUP_SD5000_145,10,10
GEN_DEDUP_SD5000_358,10,10
GEN_DEDUP_SD5000_75,10,0
GEN_DEDUP_SD5000_156,10,1
GEN_DEDUP_SD5000_213,10,0
GEN_DEDUP_SD5000_195,10,1
GEN_DEDUP_SD5000_262,10,10
GEN_DEDUP_SD5000_349,10,2
GEN_DEDUP_SD5000_274,10,10
GEN_DEDUP_SD5000_274,10,10
GEN_DEDUP_SD5000_162,10,1
GEN_DEDUP_SD5000_269,10,10
GEN_DEDUP_SD5000_211,10,10
GEN_DEDUP_SD5000_180,10,10
GEN_DEDUP_SD5000_304,10,10
GEN_DEDUP_SD5000_141,10,0
GEN_DEDUP_SD5000_298,10,10
GEN_DEDUP_SD5000_261,10,2
GEN_DEDUP_SD5000_156,10,10
GEN_DEDUP_SD5000_157,10,2
GEN_DEDUP_SD5000_281,10,0
GEN_DEDUP_SD5000_378,10,0
GEN_DEDUP_SD5000_207,10,2
GEN_DEDUP_SD5000_250,10,0
GEN_DEDUP_SD5000_204,10,1
GEN_DEDUP_SD5000_328,10,6
GEN_DEDUP_SD5000_244,10,10
GEN_DEDUP_SD5000_376,10,0
GEN_DEDUP_SD5000_207,10,10
GEN_DEDUP_SD5000_279,10,10
GEN_DEDUP_SD5000_261,10,10
GEN_DEDUP_SD5000_304,10,10
GEN_DEDUP_SD5000_307,10,10
GEN_DEDUP_SD5000_14,10,0
GEN_DEDUP_SD5000_340,10,0
GEN_DEDUP_SD5000_370,10,10
GEN_DEDUP_SD5000_250,10,10
GEN_DEDUP_SD5000_281,10,10
GEN_DEDUP_SD5000_314,10,0
GEN_DEDUP_SD5000_242,10,10
GEN_DEDUP_SD5000_287,10,0
GEN_DEDUP_SD5000_160,10,10
GEN_DEDUP_SD5000_294,10,10
GEN_DEDUP_SD5000_302,10,10
GEN_DEDUP_SD5000_174,10,0
GEN_DEDUP_SD5000_179,10,0
GEN_DEDUP_SD5000_322,10,0
GEN_DEDUP_SD5000_255,10,1
GEN_DEDUP_SD5000_358,10,10
GEN_DEDUP_SD5000_187,10,2
GEN_DEDUP_SD5000_272,10,10
GEN_DEDUP_SD5000_293,10,10
GEN_DEDUP_SD5000_285,10,10
GEN_DEDUP_SD5000_334,10,0
GEN_DEDUP_SD5000_378,10,10
GEN_DEDUP_SD5000_202,10,10
GEN_DEDUP_SD5000_129,10,0
GEN_DEDUP_SD5000_302,10,10
GEN_DEDUP_SD5000_259,10,1
GEN_DEDUP_SD5000_174,10,10
GEN_DEDUP_SD5000_232,10,2
GEN_DEDUP_SD5000_199,10,10
GEN_DEDUP_SD5000_355,10,0
GEN_DEDUP_SD5000_183,10,2
GEN_DEDUP_SD5000_246,10,10
GEN_DEDUP_SD5000_288,10,10
GEN_DEDUP_SD5000_243,10,10
GEN_DEDUP_SD5000_296,10,1
GEN_DEDUP_SD5000_192,10,1
GEN_DEDUP_SD5000_233,10,0
GEN_DEDUP_SD5000_191,10,0
GEN_DEDUP_SD5000_185,10,10
GEN_DEDUP_SD5000_260,10,0
GEN_DEDUP_SD5000_223,10,10
GEN_DEDUP_SD5000_257,10,10
GEN_DEDUP_SD5000_321,10,1
GEN_DEDUP_SD5000_247,10,2
GEN_DEDUP_SD5000_160,10,10
GEN_DEDUP_SD5000_209,10,0
GEN_DEDUP_SD5000_366,10,0
GEN_DEDUP_SD5000_321,10,10
GEN_DEDUP_SD5000_224,10,10
GEN_DEDUP_SD5000_280,10,0
GEN_DEDUP_SD5000_175,10,10
GEN_DEDUP_SD5000_138,10,1
GEN_DEDUP_SD5000_285,10,10
GEN_DEDUP_SD5000_274,10,10
GEN_DEDUP_SD5000_137,10,0
GEN_DEDUP_SD5000_323,10,1
GEN_DEDUP_SD5000_213,10,0
GEN_DEDUP_SD5000_310,10,10
GEN_DEDUP_SD5000_205,10,2
GEN_DEDUP_SD5000_409,10,10
GEN_DEDUP_SD5000_378,10,10
GEN_DEDUP_SD5000_263,10,10
GEN_DEDUP_SD5000_319,10,0
GEN_DEDUP_SD5000_206,10,1
GEN_DEDUP_SD5000_159,10,0
GEN_DEDUP_SD5000_203,10,10
GEN_DEDUP_SD5000_231,10,1
GEN_DEDUP_SD5000_133,10,1
GEN_DEDUP_SD5000_186,10,1
GEN_DEDUP_SD5000_287,10,0
GEN_DEDUP_SD5000_134,10,1
GEN_DEDUP_SD5000_224,10,10
GEN_DEDUP_SD5000_335,10,0
GEN_DEDUP_SD5000_228,10,1
GEN_DEDUP_SD5000_373,10,2
GEN_DEDUP_SD5000_280,10,10
GEN_DEDUP_SD5000_246,10,10
GEN_DEDUP_SD5000_287,10,10
GEN_DEDUP_SD5000_272,10,10
GEN_DEDUP_SD5000_258,10,1
GEN_DEDUP_SD5000_359,10,1
GEN_DEDUP_SD5000_340,10,0
GEN_DEDUP_SD5000_368,10,0
GEN_DEDUP_SD5000_269,10,10
GEN_DEDUP_SD5000_220,10,0
GEN_DEDUP_SD5000_280,10,10
GEN_DEDUP_SD5000_165,10,1
GEN_DEDUP_SD5000_202,10,10
GEN_DEDUP_SD5000_275,10,1
GEN_DEDUP_SD5000_377,10,1
GEN_DEDUP_SD5000_138,10,1
GEN_DEDUP_SD5000_301,10,0
GEN_DEDUP_SD5000_258,10,10
GEN_DEDUP_SD5000_319,10,10
GEN_DEDUP_SD5000_404,10,0
GEN_DEDUP_SD5000_397,10,0
GEN_DEDUP_SD5000_238,10,10
GEN_DEDUP_SD5000_190,10,0
GEN_DEDUP_SD5000_301,10,10
GEN_DEDUP_SD5000_204,10,1
GEN_DEDUP_SD5000_173,10,0
GEN_DEDUP_SD5000_270,10,0
GEN_DEDUP_SD5000_121,10,0
GEN_DEDUP_SD5000_183,10,2
GEN_DEDUP_SD5000_366,10,1
GEN_DEDUP_SD5000_219,10,1
GEN_DEDUP_SD5000_166,10,1
GEN_DEDUP_SD5000_245,10,1
GEN_DEDUP_SD5000_306,10,10
GEN_DEDUP_SD5000_335,10,0
GEN_DEDUP_SD5000_297,10,10
GEN_DEDUP_SD5000_329,10,0
GEN_DEDUP_SD5000_446,10,0
GEN_DEDUP_SD5000_360,10,0
GEN_DEDUP_SD5000_359,10,1
GEN_DEDUP_SD5000_238,10,10
GEN_DEDUP_SD5000_314,10,0
GEN_DEDUP_SD5000_321,10,10
GEN_DEDUP_SD5000_166,10,10
GEN_DEDUP_SD5000_226,10,1
GEN_DEDUP_SD5000_379,10,0
GEN_DEDUP_SD5000_287,10,0
GEN_DEDUP_SD5000_208,10,1
GEN_DEDUP_SD5000_179,10,0
GEN_DEDUP_SD5000_245,10,10
GEN_DEDUP_SD5000_256,10,0
GEN_DEDUP_SD5000_208,10,10
GEN_DEDUP_SD5000_192,10,1
GEN_DEDUP_SD5000_267,10,0
GEN_DEDUP_SD5000_322,10,0
GEN_DEDUP_SD5000_247,10,1
GEN_DEDUP_SD5000_206,10,1
GEN_DEDUP_SD5000_305,10,10
GEN_DEDUP_SD5000_230,10,0
GEN_DEDUP_SD5000_300,10,10
GEN_DEDUP_SD5000_294,10,10
GEN_DEDUP_SD5000_342,10,1
GEN_DEDUP_SD5000_224,10,10
GEN_DEDUP_SD5000_240,10,10
GEN_DEDUP_SD5000_449,10,0
GEN_DEDUP_SD5000_206,10,10
GEN_DEDUP_SD5000_372,10,0
GEN_DEDUP_SD5000_260,10,0
GEN_DEDUP_SD5000_230,10,10
GEN_DEDUP_SD5000_82,10,1
GEN_DEDUP_SD5000_264,10,0
GEN_DEDUP_SD5000_356,10,1
GEN_DEDUP_SD5000_292,10,2
GEN_DEDUP_SD5000_355,10,0
GEN_DEDUP_SD5000_305,10,10
GEN_DEDUP_SD5000_193,10,10
GEN_DEDUP_SD5000_281,10,10
GEN_DEDUP_SD5000_357,10,2
GEN_DEDUP_SD5000_174,10,10
GEN_DEDUP_SD5000_269,10,10
GEN_DEDUP_SD5000_146,10,0
GEN_DEDUP_SD5000_158,10,0
GEN_DEDUP_SD5000_166,10,1
GEN_DEDUP_SD5000_118,10,0
GEN_DEDUP_SD5000_277,10,1
GEN_DEDUP_SD5000_323,10,1
