filename,n_blocks,cache_hits
GEN_DEDUP_269,10,0
GEN_DEDUP_259,10,0
GEN_DEDUP_217,10,0
GEN_DEDUP_275,10,0
GEN_DEDUP_253,10,0
GEN_DEDUP_171,10,0
GEN_DEDUP_308,10,0
GEN_DEDUP_318,10,0
GEN_DEDUP_247,10,0
GEN_DEDUP_218,10,0
GEN_DEDUP_150,10,0
GEN_DEDUP_169,10,0
GEN_DEDUP_266,10,0
GEN_DEDUP_334,10,0
GEN_DEDUP_153,10,0
GEN_DEDUP_285,10,0
GEN_DEDUP_366,10,0
GEN_DEDUP_127,10,0
GEN_DEDUP_179,10,0
GEN_DEDUP_185,10,0
GEN_DEDUP_249,10,1
GEN_DEDUP_325,10,0
GEN_DEDUP_353,10,0
GEN_DEDUP_323,10,0
GEN_DEDUP_225,10,0
GEN_DEDUP_247,10,10
GEN_DEDUP_278,10,0
GEN_DEDUP_224,10,0
GEN_DEDUP_177,10,0
GEN_DEDUP_245,10,0
GEN_DEDUP_297,10,1
GEN_DEDUP_148,10,0
GEN_DEDUP_283,10,0
GEN_DEDUP_295,10,0
GEN_DEDUP_259,10,10
GEN_DEDUP_163,10,0
GEN_DEDUP_335,10,1
GEN_DEDUP_246,10,0
GEN_DEDUP_131,10,0
GEN_DEDUP_247,10,10
GEN_DEDUP_248,10,0
GEN_DEDUP_382,10,0
GEN_DEDUP_264,10,1
GEN_DEDUP_277,10,0
GEN_DEDUP_285,10,10
GEN_DEDUP_240,10,1
GEN_DEDUP_302,10,0
GEN_DEDUP_193,10,0
GEN_DEDUP_218,10,10
GEN_DEDUP_223,10,1
GEN_DEDUP_174,10,0
GEN_DEDUP_297,10,10
GEN_DEDUP_229,10,0
GEN_DEDUP_146,10,1
GEN_DEDUP_197,10,0
GEN_DEDUP_333,10,1
GEN_DEDUP_216,10,0
GEN_DEDUP_233,10,0
GEN_DEDUP_208,10,0
GEN_DEDUP_234,10,0
GEN_DEDUP_268,10,0
GEN_DEDUP_212,10,0
GEN_DEDUP_224,10,10
GEN_DEDUP_235,10,1
GEN_DEDUP_366,10,10
GEN_DEDUP_203,10,0
GEN_DEDUP_212,10,10
GEN_DEDUP_192,10,1
GEN_DEDUP_221,10,1
GEN_DEDUP_255,10,0
GEN_DEDUP_222,10,1
GEN_DEDUP_228,10,2
GEN_DEDUP_214,10,0
GEN_DEDUP_215,10,0
GEN_DEDUP_205,10,1
GEN_DEDUP_232,10,0
GEN_DEDUP_289,10,0
GEN_DEDUP_247,10,0
GEN_DEDUP_298,10,1
GEN_DEDUP_362,10,0
GEN_DEDUP_255,10,10
GEN_DEDUP_281,10,0
GEN_DEDUP_308,10,0
GEN_DEDUP_291,10,2
GEN_DEDUP_341,10,0
GEN_DEDUP_206,10,1
GEN_DEDUP_298,10,10
GEN_DEDUP_367,10,0
GEN_DEDUP_217,10,0
GEN_DEDUP_225,10,0
GEN_DEDUP_266,10,0
GEN_DEDUP_141,10,1
GEN_DEDUP_240,10,9
GEN_DEDUP_227,10,2
GEN_DEDUP_348,10,1
GEN_DEDUP_287,10,0
GEN_DEDUP_220,10,1
GEN_DEDUP_191,10,0
GEN_DEDUP_182,10,0
GEN_DEDUP_220,10,10
GEN_DEDUP_214,10,10
GEN_DEDUP_265,10,1
GEN_DEDUP_329,10,0
GEN_DEDUP_295,10,0
GEN_DEDUP_184,10,0
GEN_DEDUP_219,10,1
GEN_DEDUP_285,10,0
GEN_DEDUP_157,10,0
GEN_DEDUP_238,10,0
GEN_DEDUP_241,10,1
GEN_DEDUP_165,10,1
GEN_DEDUP_266,10,10
GEN_DEDUP_225,10,10
GEN_DEDUP_283,10,0
GEN_DEDUP_124,10,0
GEN_DEDUP_275,10,0
GEN_DEDUP_184,10,10
GEN_DEDUP_314,10,0
GEN_DEDUP_265,10,10
GEN_DEDUP_235,10,9
GEN_DEDUP_205,10,9
GEN_DEDUP_321,10,0
GEN_DEDUP_221,10,9
GEN_DEDUP_297,10,1
GEN_DEDUP_212,10,0
GEN_DEDUP_225,10,10
GEN_DEDUP_192,10,10
GEN_DEDUP_201,10,0
GEN_DEDUP_182,10,10
GEN_DEDUP_239,10,2
GEN_DEDUP_284,10,1
GEN_DEDUP_290,10,0
GEN_DEDUP_416,10,0
GEN_DEDUP_218,10,0
GEN_DEDUP_243,10,0
GEN_DEDUP_257,10,2
GEN_DEDUP_219,10,10
GEN_DEDUP_372,10,0
GEN_DEDUP_233,10,0
GEN_DEDUP_205,10,1
GEN_DEDUP_259,10,1
GEN_DEDUP_242,10,0
GEN_DEDUP_314,10,10
GEN_DEDUP_154,10,0
GEN_DEDUP_202,10,0
GEN_DEDUP_253,10,1
GEN_DEDUP_255,10,0
GEN_DEDUP_151,10,1
GEN_DEDUP_125,10,0
GEN_DEDUP_292,10,0
GEN_DEDUP_247,10,0
GEN_DEDUP_250,10,0
GEN_DEDUP_271,10,0
GEN_DEDUP_324,10,0
GEN_DEDUP_267,10,0
GEN_DEDUP_329,10,10
GEN_DEDUP_218,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_257,10,10
GEN_DEDUP_195,10,0
GEN_DEDUP_311,10,1
GEN_DEDUP_281,10,1
GEN_DEDUP_297,10,9
GEN_DEDUP_202,10,10
GEN_DEDUP_270,10,0
GEN_DEDUP_192,10,1
GEN_DEDUP_281,10,10
GEN_DEDUP_292,10,10
GEN_DEDUP_364,10,1
GEN_DEDUP_252,10,1
GEN_DEDUP_237,10,0
GEN_DEDUP_336,10,1
GEN_DEDUP_283,10,10
GEN_DEDUP_253,10,9
GEN_DEDUP_264,10,0
GEN_DEDUP_164,10,1
GEN_DEDUP_207,10,0
GEN_DEDUP_321,10,10
GEN_DEDUP_254,10,1
GEN_DEDUP_165,10,1
GEN_DEDUP_256,10,1
GEN_DEDUP_357,10,0
GEN_DEDUP_247,10,10
GEN_DEDUP_297,10,10
GEN_DEDUP_258,10,0
GEN_DEDUP_203,10,1
GEN_DEDUP_259,10,9
GEN_DEDUP_302,10,0
GEN_DEDUP_321,10,0
GEN_DEDUP_321,10,10
GEN_DEDUP_242,10,10
GEN_DEDUP_210,10,1
GEN_DEDUP_123,10,1
GEN_DEDUP_159,10,1
GEN_DEDUP_312,10,0
GEN_DEDUP_219,10,0
GEN_DEDUP_247,10,10
GEN_DEDUP_307,10,0
GEN_DEDUP_263,10,0
GEN_DEDUP_227,10,2
GEN_DEDUP_273,10,0
GEN_DEDUP_244,10,0
GEN_DEDUP_255,10,10
GEN_DEDUP_236,10,0
GEN_DEDUP_233,10,0
GEN_DEDUP_323,10,0
GEN_DEDUP_232,10,1
GEN_DEDUP_334,10,0
GEN_DEDUP_276,10,0
GEN_DEDUP_340,10,0
GEN_DEDUP_211,10,0
GEN_DEDUP_242,10,0
GEN_DEDUP_302,10,10
GEN_DEDUP_239,10,0
GEN_DEDUP_228,10,0
GEN_DEDUP_315,10,0
GEN_DEDUP_193,10,0
GEN_DEDUP_333,10,0
GEN_DEDUP_186,10,2
GEN_DEDUP_237,10,10
GEN_DEDUP_278,10,1
GEN_DEDUP_250,10,0
GEN_DEDUP_220,10,2
GEN_DEDUP_235,10,0
GEN_DEDUP_276,10,10
GEN_DEDUP_252,10,10
GEN_DEDUP_267,10,0
GEN_DEDUP_285,10,0
GEN_DEDUP_196,10,0
GEN_DEDUP_176,10,0
GEN_DEDUP_256,10,9
GEN_DEDUP_308,10,0
GEN_DEDUP_289,10,0
GEN_DEDUP_295,10,0
GEN_DEDUP_340,10,10
GEN_DEDUP_280,10,0
GEN_DEDUP_258,10,10
GEN_DEDUP_179,10,0
GEN_DEDUP_316,10,0
GEN_DEDUP_240,10,1
GEN_DEDUP_133,10,1
GEN_DEDUP_232,10,9
GEN_DEDUP_241,10,0
GEN_DEDUP_242,10,10
GEN_DEDUP_275,10,0
GEN_DEDUP_261,10,1
GEN_DEDUP_207,10,0
GEN_DEDUP_245,10,0
GEN_DEDUP_160,10,0
GEN_DEDUP_205,10,1
GEN_DEDUP_235,10,10
GEN_DEDUP_172,10,0
GEN_DEDUP_337,10,1
GEN_DEDUP_309,10,0
GEN_DEDUP_343,10,0
GEN_DEDUP_332,10,1
GEN_DEDUP_177,10,0
GEN_DEDUP_183,10,1
GEN_DEDUP_250,10,10
GEN_DEDUP_189,10,0
GEN_DEDUP_167,10,0
GEN_DEDUP_254,10,1
GEN_DEDUP_169,10,3
GEN_DEDUP_395,10,0
GEN_DEDUP_178,10,0
GEN_DEDUP_222,10,0
GEN_DEDUP_269,10,2
GEN_DEDUP_172,10,10
GEN_DEDUP_186,10,9
GEN_DEDUP_326,10,0
GEN_DEDUP_308,10,10
GEN_DEDUP_212,10,0
GEN_DEDUP_371,10,1
GEN_DEDUP_289,10,10
GEN_DEDUP_277,10,0
GEN_DEDUP_143,10,0
GEN_DEDUP_199,10,1
GEN_DEDUP_186,10,9
GEN_DEDUP_259,10,0
GEN_DEDUP_255,10,1
GEN_DEDUP_267,10,10
GEN_DEDUP_366,10,0
GEN_DEDUP_287,10,1
GEN_DEDUP_256,10,1
GEN_DEDUP_327,10,0
GEN_DEDUP_241,10,10
GEN_DEDUP_260,10,0
GEN_DEDUP_236,10,0
GEN_DEDUP_235,10,0
GEN_DEDUP_309,10,10
GEN_DEDUP_261,10,10
GEN_DEDUP_285,10,0
GEN_DEDUP_281,10,0
GEN_DEDUP_286,10,1
GEN_DEDUP_270,10,2
GEN_DEDUP_348,10,1
GEN_DEDUP_322,10,1
GEN_DEDUP_383,10,0
GEN_DEDUP_135,10,0
GEN_DEDUP_290,10,1
GEN_DEDUP_206,10,1
GEN_DEDUP_254,10,10
GEN_DEDUP_257,10,1
GEN_DEDUP_256,10,9
GEN_DEDUP_196,10,0
GEN_DEDUP_223,10,1
GEN_DEDUP_336,10,0
GEN_DEDUP_248,10,0
GEN_DEDUP_358,10,0
GEN_DEDUP_320,10,0
GEN_DEDUP_177,10,10
GEN_DEDUP_246,10,0
GEN_DEDUP_114,10,1
GEN_DEDUP_241,10,0
GEN_DEDUP_291,10,1
GEN_DEDUP_252,10,1
GEN_DEDUP_298,10,0
GEN_DEDUP_296,10,0
GEN_DEDUP_300,10,2
GEN_DEDUP_242,10,0
GEN_DEDUP_302,10,0
GEN_DEDUP_206,10,10
GEN_DEDUP_209,10,0
GEN_DEDUP_223,10,9
GEN_DEDUP_240,10,1
GEN_DEDUP_334,10,0
GEN_DEDUP_241,10,10
GEN_DEDUP_204,10,1
GEN_DEDUP_315,10,0
GEN_DEDUP_248,10,10
GEN_DEDUP_246,10,10
GEN_DEDUP_284,10,1
GEN_DEDUP_230,10,0
GEN_DEDUP_335,10,0
GEN_DEDUP_322,10,9
GEN_DEDUP_231,10,1
GEN_DEDUP_204,10,10
GEN_DEDUP_259,10,10
GEN_DEDUP_191,10,0
GEN_DEDUP_335,10,10
GEN_DEDUP_408,10,0
GEN_DEDUP_157,10,1
GEN_DEDUP_201,10,0
GEN_DEDUP_158,10,1
GEN_DEDUP_222,10,0
GEN_DEDUP_301,10,0
GEN_DEDUP_348,10,9
GEN_DEDUP_177,10,0
GEN_DEDUP_184,10,0
GEN_DEDUP_290,10,9
GEN_DEDUP_307,10,0
GEN_DEDUP_358,10,10
GEN_DEDUP_196,10,10
GEN_DEDUP_80,10,0
GEN_DEDUP_211,10,0
GEN_DEDUP_192,10,0
GEN_DEDUP_222,10,10
GEN_DEDUP_314,10,0
GEN_DEDUP_239,10,0
GEN_DEDUP_243,10,0
GEN_DEDUP_97,10,0
GEN_DEDUP_227,10,0
GEN_DEDUP_207,10,0
GEN_DEDUP_279,10,0
GEN_DEDUP_200,10,0
GEN_DEDUP_147,10,0
GEN_DEDUP_227,10,10
GEN_DEDUP_217,10,0
GEN_DEDUP_290,10,1
GEN_DEDUP_184,10,10
GEN_DEDUP_248,10,0
GEN_DEDUP_139,10,0
GEN_DEDUP_242,10,10
GEN_DEDUP_336,10,0
GEN_DEDUP_228,10,1
GEN_DEDUP_244,10,0
GEN_DEDUP_285,10,1
GEN_DEDUP_276,10,1
GEN_DEDUP_168,10,0
GEN_DEDUP_208,10,0
GEN_DEDUP_157,10,9
GEN_DEDUP_178,10,0
GEN_DEDUP_317,10,1
GEN_DEDUP_228,10,10
GEN_DEDUP_318,10,0
GEN_DEDUP_190,10,0
GEN_DEDUP_360,10,0
GEN_DEDUP_214,10,0
GEN_DEDUP_271,10,1
GEN_DEDUP_289,10,0
GEN_DEDUP_298,10,1
GEN_DEDUP_128,10,0
GEN_DEDUP_275,10,0
GEN_DEDUP_189,10,1
GEN_DEDUP_167,10,0
GEN_DEDUP_152,10,1
GEN_DEDUP_405,10,1
GEN_DEDUP_250,10,0
GEN_DEDUP_123,10,1
GEN_DEDUP_292,10,2
GEN_DEDUP_281,10,1
GEN_DEDUP_252,10,0
GEN_DEDUP_168,10,10
GEN_DEDUP_174,10,0
GEN_DEDUP_280,10,1
GEN_DEDUP_213,10,0
GEN_DEDUP_239,10,10
GEN_DEDUP_297,10,1
GEN_DEDUP_301,10,0
GEN_DEDUP_321,10,0
GEN_DEDUP_315,10,0
GEN_DEDUP_259,10,0
GEN_DEDUP_217,10,10
GEN_DEDUP_116,10,1
GEN_DEDUP_266,10,0
GEN_DEDUP_313,10,0
GEN_DEDUP_126,10,0
GEN_DEDUP_248,10,10
GEN_DEDUP_204,10,1
GEN_DEDUP_244,10,10
GEN_DEDUP_313,10,10
GEN_DEDUP_115,10,0
GEN_DEDUP_332,10,2
GEN_DEDUP_258,10,0
GEN_DEDUP_290,10,10
GEN_DEDUP_206,10,0
GEN_DEDUP_204,10,10
GEN_DEDUP_215,10,1
GEN_DEDUP_292,10,9
GEN_DEDUP_298,10,10
GEN_DEDUP_242,10,0
GEN_DEDUP_191,10,0
GEN_DEDUP_276,10,9
GEN_DEDUP_217,10,0
GEN_DEDUP_244,10,10
GEN_DEDUP_245,10,1
GEN_DEDUP_272,10,0
GEN_DEDUP_225,10,0
GEN_DEDUP_336,10,0
GEN_DEDUP_337,10,0
GEN_DEDUP_242,10,10
GEN_DEDUP_309,10,0
GEN_DEDUP_216,10,0
GEN_DEDUP_278,10,0
GEN_DEDUP_273,10,0
GEN_DEDUP_236,10,0
GEN_DEDUP_313,10,10
GEN_DEDUP_177,10,1
GEN_DEDUP_241,10,0
GEN_DEDUP_245,10,10
GEN_DEDUP_167,10,10
GEN_DEDUP_176,10,0
GEN_DEDUP_199,10,1
GEN_DEDUP_230,10,0
GEN_DEDUP_180,10,0
GEN_DEDUP_277,10,0
GEN_DEDUP_251,10,0
GEN_DEDUP_185,10,0
GEN_DEDUP_288,10,0
GEN_DEDUP_250,10,0
GEN_DEDUP_273,10,10
GEN_DEDUP_262,10,0
GEN_DEDUP_203,10,0
GEN_DEDUP_143,10,0
GEN_DEDUP_408,10,0
GEN_DEDUP_259,10,10
GEN_DEDUP_227,10,1
GEN_DEDUP_276,10,1
GEN_DEDUP_295,10,0
GEN_DEDUP_203,10,10
GEN_DEDUP_376,10,0
GEN_DEDUP_284,10,0
GEN_DEDUP_280,10,0
GEN_DEDUP_332,10,8
GEN_DEDUP_245,10,10
GEN_DEDUP_244,10,0
GEN_DEDUP_237,10,1
GEN_DEDUP_270,10,1
GEN_DEDUP_135,10,0
GEN_DEDUP_258,10,10
GEN_DEDUP_183,10,0
GEN_DEDUP_256,10,0
GEN_DEDUP_318,10,0
GEN_DEDUP_224,10,0
GEN_DEDUP_286,10,2
GEN_DEDUP_233,10,0
GEN_DEDUP_216,10,10
