filename,n_blocks,cache_hits
GEN_DEDUP_612,10,0
GEN_DEDUP_202,10,0
GEN_DEDUP_37,10,0
GEN_DEDUP_114,10,0
GEN_DEDUP_248,10,0
GEN_DEDUP_267,10,0
GEN_DEDUP_665,10,0
GEN_DEDUP_32,10,0
GEN_DEDUP_129,10,1
GEN_DEDUP_227,10,0
GEN_DEDUP_112,10,0
GEN_DEDUP_658,10,0
GEN_DEDUP_299,10,2
GEN_DEDUP_187,10,0
GEN_DEDUP_415,10,0
GEN_DEDUP_44,10,0
GEN_DEDUP_254,10,0
GEN_DEDUP_257,10,0
GEN_DEDUP_382,10,0
GEN_DEDUP_424,10,1
GEN_DEDUP_167,10,1
GEN_DEDUP_380,10,0
GEN_DEDUP_465,10,0
GEN_DEDUP_261,10,1
GEN_DEDUP_172,10,0
GEN_DEDUP_342,10,1
GEN_DEDUP_523,10,0
GEN_DEDUP_379,10,0
GEN_DEDUP_455,10,0
GEN_DEDUP_244,10,0
GEN_DEDUP_224,10,0
GEN_DEDUP_501,10,2
GEN_DEDUP_155,10,0
GEN_DEDUP_216,10,2
GEN_DEDUP_543,10,0
GEN_DEDUP_204,10,0
GEN_DEDUP_365,10,0
GEN_DEDUP_306,10,1
GEN_DEDUP_324,10,0
GEN_DEDUP_289,10,0
GEN_DEDUP_48,10,1
GEN_DEDUP_72,10,0
GEN_DEDUP_473,10,1
GEN_DEDUP_534,10,0
GEN_DEDUP_320,10,2
GEN_DEDUP_536,10,1
GEN_DEDUP_259,10,3
GEN_DEDUP_20,10,2
GEN_DEDUP_570,10,2
GEN_DEDUP_439,10,0
GEN_DEDUP_565,10,1
GEN_DEDUP_41,10,1
GEN_DEDUP_379,10,10
GEN_DEDUP_516,10,2
GEN_DEDUP_475,10,0
GEN_DEDUP_158,10,1
GEN_DEDUP_58,10,2
GEN_DEDUP_455,10,10
GEN_DEDUP_281,10,0
GEN_DEDUP_276,10,2
GEN_DEDUP_98,10,0
GEN_DEDUP_348,10,0
GEN_DEDUP_138,10,0
GEN_DEDUP_150,10,1
GEN_DEDUP_498,10,0
GEN_DEDUP_268,10,5
GEN_DEDUP_61,10,0
GEN_DEDUP_153,10,1
GEN_DEDUP_32,10,10
GEN_DEDUP_214,10,2
GEN_DEDUP_145,10,1
GEN_DEDUP_357,10,0
GEN_DEDUP_187,10,10
GEN_DEDUP_406,10,0
GEN_DEDUP_181,10,1
GEN_DEDUP_146,10,0
GEN_DEDUP_284,10,2
GEN_DEDUP_235,10,3
GEN_DEDUP_462,10,1
GEN_DEDUP_302,10,2
GEN_DEDUP_835,10,1
GEN_DEDUP_140,10,0
GEN_DEDUP_540,10,0
GEN_DEDUP_219,10,0
GEN_DEDUP_38,10,0
GEN_DEDUP_265,10,2
GEN_DEDUP_261,10,10
GEN_DEDUP_183,10,2
GEN_DEDUP_123,10,1
GEN_DEDUP_442,10,2
GEN_DEDUP_249,10,1
GEN_DEDUP_114,10,10
GEN_DEDUP_169,10,0
GEN_DEDUP_174,10,2
GEN_DEDUP_218,10,3
GEN_DEDUP_129,10,10
GEN_DEDUP_303,10,2
GEN_DEDUP_506,10,0
GEN_DEDUP_585,10,3
GEN_DEDUP_59,10,3
GEN_DEDUP_204,10,10
GEN_DEDUP_148,10,1
GEN_DEDUP_442,10,10
GEN_DEDUP_68,10,1
GEN_DEDUP_266,10,2
GEN_DEDUP_362,10,0
GEN_DEDUP_366,10,1
GEN_DEDUP_324,10,10
GEN_DEDUP_284,10,2
GEN_DEDUP_463,10,1
GEN_DEDUP_461,10,1
GEN_DEDUP_237,10,0
GEN_DEDUP_1,10,2
GEN_DEDUP_459,10,2
GEN_DEDUP_31,10,1
GEN_DEDUP_202,10,10
GEN_DEDUP_141,10,1
GEN_DEDUP_263,10,1
GEN_DEDUP_150,10,1
GEN_DEDUP_605,10,1
GEN_DEDUP_567,10,1
GEN_DEDUP_300,10,0
GEN_DEDUP_387,10,3
GEN_DEDUP_102,10,1
GEN_DEDUP_166,10,0
GEN_DEDUP_111,10,0
GEN_DEDUP_283,10,2
GEN_DEDUP_415,10,10
GEN_DEDUP_671,10,1
GEN_DEDUP_512,10,1
GEN_DEDUP_466,10,0
GEN_DEDUP_241,10,3
GEN_DEDUP_100,10,0
GEN_DEDUP_415,10,10
GEN_DEDUP_283,10,10
GEN_DEDUP_141,10,1
GEN_DEDUP_266,10,2
GEN_DEDUP_154,10,0
GEN_DEDUP_710,10,0
GEN_DEDUP_41,10,1
GEN_DEDUP_215,10,1
GEN_DEDUP_338,10,3
GEN_DEDUP_23,10,3
GEN_DEDUP_56,10,1
GEN_DEDUP_184,10,1
GEN_DEDUP_84,10,2
GEN_DEDUP_14,10,3
GEN_DEDUP_207,10,1
GEN_DEDUP_244,10,10
GEN_DEDUP_727,10,2
GEN_DEDUP_392,10,2
GEN_DEDUP_220,10,3
GEN_DEDUP_65,10,0
GEN_DEDUP_299,10,10
GEN_DEDUP_131,10,2
GEN_DEDUP_275,10,1
GEN_DEDUP_266,10,2
GEN_DEDUP_721,10,3
GEN_DEDUP_481,10,1
GEN_DEDUP_263,10,1
GEN_DEDUP_148,10,2
GEN_DEDUP_116,10,2
GEN_DEDUP_246,10,1
GEN_DEDUP_415,10,10
GEN_DEDUP_251,10,1
GEN_DEDUP_321,10,1
GEN_DEDUP_323,10,3
GEN_DEDUP_317,10,1
