filename,n_blocks,cache_hits
file_181,,0
file_251,,0
file_224,,0
file_152,,0
file_238,,0
file_210,,0
file_243,,0
file_158,,0
file_218,,0
file_229,,0
file_231,,0
file_224,,1
file_262,,0
file_350,,0
file_293,,0
file_359,,0
file_266,,0
file_254,,0
file_175,,0
file_170,,0
file_308,,0
file_255,,0
file_261,,0
file_307,,0
file_231,,1
file_279,,0
file_201,,0
file_261,,1
file_169,,0
file_324,,0
file_187,,0
file_337,,0
file_340,,0
file_240,,0
file_329,,0
file_326,,0
file_197,,0
file_233,,0
file_262,,1
file_382,,0
file_198,,0
file_286,,0
file_236,,0
file_305,,0
file_243,,1
file_304,,0
file_188,,0
file_197,,1
file_203,,0
file_131,,0
file_353,,0
file_199,,0
file_165,,0
file_333,,0
file_219,,0
file_287,,0
file_214,,0
file_212,,0
file_224,,1
file_172,,0
file_142,,0
file_261,,1
file_310,,0
file_257,,0
file_260,,0
file_413,,0
file_273,,0
file_404,,0
file_261,,1
file_246,,0
file_432,,0
file_198,,1
file_119,,0
file_239,,0
file_291,,0
file_207,,0
file_212,,1
file_334,,0
file_272,,0
file_282,,0
file_217,,0
file_250,,0
file_229,,1
file_233,,1
file_335,,0
file_171,,0
file_188,,1
file_160,,0
file_351,,0
file_250,,1
file_297,,0
file_194,,0
file_264,,0
file_172,,1
file_212,,1
file_283,,0
file_329,,1
file_262,,1
file_279,,1
file_220,,0
file_263,,0
file_197,,1
file_285,,0
file_264,,1
file_200,,0
file_225,,0
file_197,,1
file_298,,0
file_195,,0
file_253,,0
file_323,,0
file_201,,1
file_332,,0
file_257,,1
file_257,,1
file_188,,1
file_282,,1
file_250,,1
file_276,,0
file_295,,0
file_227,,0
file_171,,1
file_240,,1
file_210,,1
file_317,,0
file_247,,0
file_175,,1
file_326,,1
file_135,,0
file_175,,1
file_342,,0
file_214,,1
file_161,,0
file_167,,0
file_442,,0
file_208,,0
file_263,,1
file_303,,0
file_245,,0
file_287,,1
file_340,,1
file_171,,1
file_293,,1
file_253,,1
file_268,,0
file_189,,0
file_252,,0
file_222,,0
file_285,,1
file_135,,1
file_314,,0
file_299,,0
file_220,,1
file_229,,1
file_218,,1
file_285,,1
file_245,,1
file_239,,1
file_308,,1
file_248,,0
file_290,,0
file_329,,1
file_135,,1
file_188,,1
file_300,,0
file_318,,0
file_317,,1
file_231,,1
file_281,,0
file_249,,0
file_231,,1
file_353,,1
file_267,,0
file_252,,1
file_244,,0
file_170,,1
file_226,,0
file_266,,1
file_288,,0
file_255,,1
file_198,,1
file_358,,0
file_290,,1
file_318,,1
file_254,,1
file_236,,1
file_276,,1
file_375,,0
file_350,,1
file_313,,0
file_273,,1
file_253,,1
file_194,,1
file_257,,1
file_292,,0
file_299,,1
file_203,,1
file_259,,0
file_187,,1
file_194,,1
file_190,,0
file_305,,1
file_354,,0
file_251,,1
file_157,,0
file_213,,0
file_297,,1
file_350,,1
file_277,,0
file_246,,1
file_321,,0
file_262,,1
file_207,,1
file_323,,1
file_229,,1
file_313,,1
file_316,,0
file_307,,1
file_334,,1
file_292,,1
file_303,,1
file_100,,0
file_255,,1
file_287,,1
file_344,,0
file_290,,1
file_300,,1
file_242,,0
file_203,,1
file_223,,0
file_304,,1
file_260,,1
file_240,,1
file_254,,1
file_139,,0
file_152,,1
file_226,,1
file_205,,0
file_180,,0
file_336,,0
file_224,,1
file_299,,1
file_188,,1
file_279,,1
file_264,,1
file_288,,1
file_315,,0
file_203,,1
file_151,,0
file_241,,0
file_214,,1
file_197,,1
file_243,,1
file_194,,1
file_304,,1
file_284,,0
file_329,,1
file_240,,1
file_228,,0
file_238,,1
file_175,,1
file_374,,0
file_355,,0
file_240,,1
file_175,,1
file_194,,1
file_275,,0
file_209,,0
file_218,,1
file_242,,1
file_252,,1
file_303,,1
file_329,,1
file_149,,0
file_271,,0
file_223,,1
file_284,,1
file_224,,1
file_154,,0
file_282,,1
file_110,,0
file_159,,0
file_249,,1
file_257,,1
file_214,,1
file_288,,1
file_273,,1
file_271,,1
file_232,,0
file_189,,1
file_167,,1
file_339,,0
file_222,,1
file_209,,1
file_217,,1
